Saterland Frisian	Proto-Germanic	probability
ˈʊ_n	ˈu_n	1.0
ˈʊ_l	ˈu_lː	1.0
ˈɪ_n	ɑi̯	1.0
ˈɛɪ̯_d	ˈɑ_r	1.0
ˈɔːɪ̯	jː	1.0
ˈɔː_t	ˈɑ_t	1.0
ˈɔː_r	ˈu_r	1.0
ˈœː	ˈu	1.0
ˈuː_n	ˈu_n	1.0
ˈoːu̯_ɣ	ˈu	1.0
ˈiːu̯	ˈi	1.0
ˈiː_n	ˈi_n	1.0
ˈeːu̯	ˈe	1.0
ˈaːu̯	-	1.0
ˈaːi̯	ˈɑ_ɣ	1.0
ˈa	ˈɑ	1.0
ə_l	l	1.0
z	s	1.0
x_t	x_t	1.0
w	-	1.0
n_ˈoː	n_ˈɑ	1.0
k_s	x_s	1.0
j_ˈoː	ˈeu̯	1.0
i	e_x	1.0
h	x	1.0
b	b	1.0
f	ɸ	0.966
l	l	0.962
s	s	0.957
m	m	0.95
k	k	0.947
p	p	0.876
ɣ	ɣ	0.864
r	r	0.862
v	w	0.775
ˈɔː	ˈɑ	0.774
ˈɪ	ˈi	0.769
t	t	0.699
n	n	0.672
ˈɔ	ˈu	0.646
ɪ	i	0.6
ˈoːu̯	ˈɔː	0.592
ˈoː	ˈɑu̯	0.584
ˈaː	ˈɑ	0.58
ŋ	ɡ	0.571
ˈɛ	-	0.552
ə_n	n	0.529
ˈi	ˈiː	0.507
ˈoːu̯_n	ˈɛː_n	0.5
ˈoːu̯_n	ˈɑ_n	0.5
ˈeː	ˈɑi̯	0.488
ˈɛ	ˈe	0.448
ˈaː	ˈɑi̯	0.42
ˈɛː	ˈu	0.415
ˈɛɪ̯	ˈɔː	0.415
ɪ	ɑ	0.4
d	θ	0.4
x	x	0.399
ŋ	ŋ	0.376
ˈuː	ˈuː	0.372
ˈɛː	ˈɑ	0.364
ˈɔ	ˈɑ	0.354
ˈiː	ˈi	0.347
ə_r	r_ɑ̃	0.333
ə_r	r_ɑ	0.333
ə_r	r_u	0.333
ˈʊ	ˈu_ŋ	0.328
j	ˈe	0.328
d	ð	0.304
ˈoːu̯	ˈu	0.293
ə	ɑ_n	0.292
ˈi	ˈe	0.28
ə_n	n_ɑ	0.279
ˈuː	ˈu	0.259
j	j	0.258
ˈʊ	-	0.256
ˈiː	ˈɛː	0.253
ˈuː	ˈɔː	0.242
ˈiː	ˈe	0.242
ˈʊ	ŋ	0.238
x	ɣ_ɑ	0.23
ˈɔː	ˈe	0.226
d	d	0.223
ˈɛː	ˈi	0.221
ˈeː	ˈɑu̯	0.219
ˈɛɪ̯	ˈɛː	0.215
x	z	0.211
ˈoː	ˈɑ	0.203
ə_n	ɑ	0.192
ˈɪ	ˈi_ŋ	0.189
ˈʊ	ˈu	0.178
j	-	0.176
j	ɣ	0.175
n	nː	0.169
x	ɣ_j	0.16
ˈiː	ˈiː	0.158
ˈɛɪ̯	-	0.156
ə	u	0.148
ɣ	-	0.136
t	t_ɑ	0.134
ə	ɑ	0.131
ˈoː	ˈɑi̯	0.129
ˈuː	-	0.126
p	pː	0.124
v	β	0.122
ˈeː	ˈɑi̯_w	0.117
ˈoːu̯	ˈu_r	0.115
ˈi	ˈi	0.115
ˈɛɪ̯	ˈɑ	0.109
ə	ɔː	0.107
ˈeː	w	0.106
ˈɛɪ̯	ˈe_r	0.105
v	xʷ	0.103
ˈi	ˈeː	0.098
ə	i	0.092
ˈoː	ˈɑ_x	0.085
ə	ɔːː	0.076
ˈeː	ˈɑ	0.07
t	t_u	0.063
j	ɑː	0.062
t	tː	0.059
n	n_ɑ	0.057
n	n_i	0.057
ə	ɔ̃ː	0.054
ŋ	ɡʷ	0.053
k	kʷ	0.053
r	r_ˈi	0.052
m	mː	0.05
