Phone1	Phone2	Surprisal
b	b	0.116
b	-	3.693
d	θ	1.352
d	ð	1.669
d	d	2.181
d	ð_ɑ	4.38
d	r	5.307
f	ɸ	0.0
h	x	0.0
i	e_x	0.0
j	ˈe	1.423
j	ɣ	2.359
j	-	2.628
j	j	3.062
j	ɑː	3.732
j	ˈeu̯	3.732
j_ˈoː	ˈeu̯	0.0
j_ˈuː	ˈiu̯	0.0
k	k	0.079
k	kʷ	4.236
k_s	x_s	0.0
l	l	0.137
l	l_ɑ	4.468
l	ɑ	4.468
m	m	0.117
m	mː	3.688
n	n	0.513
n	nː	2.753
n	n_i	4.207
n	n_ɑ	4.207
n	u_n	4.549
n_ˈoː	n_ˈɑ	0.0
p	p	0.0
r	r	0.119
r	r_ɑ	4.657
r	r_ˈi	4.657
s	s	0.064
s	k	4.537
s_l	s_l	0.0
t	t	0.311
t	t_i	3.502
t	tː	4.079
t	-	4.426
v	w	0.335
v	β	2.848
v	xʷ	3.87
v_ˈoː	w_ˈɑi̯	0.0
w	-	0.0
x	x	1.325
x	ɣ_ɑ	2.12
x	z	2.248
x	ɣ_j	2.641
x_t	x_t	0.0
z	s	0.0
ŋ	ŋ	0.845
ŋ	ɡ	1.356
ŋ	ɡʷ	4.245
ə	ɑ_n	1.502
ə	u	2.508
ə	ɑ	3.095
ə	ɔːː	3.116
ə	ɔː	3.198
ə	ɔ̃ː	4.2
ə	ɛː	4.312
ə	j	5.994
ə	β_ɑ	6.747
ə_n	n	0.821
ə_n	n_ɑ	1.956
ə_n	ɑ	2.506
ə_r	r	1.0
ə_r	r_u	2.0
ə_r	r_ɑ	2.0
ɣ	ɣ	0.211
ɣ	-	2.876
ɪ	i	0.0
ˈa	ˈɑ	0.0
ˈaː	ˈɑ	0.756
ˈaː	ˈɑi̯	1.294
ˈaːi̯	ˈɑ_ɣ	0.0
ˈaːu̯	-	0.0
ˈeː	ˈɑi̯	1.037
ˈeː	ˈɑu̯	2.192
ˈeː	ˈɑi̯_w	3.09
ˈeː	w	3.24
ˈeː	ˈɑ	3.829
ˈeːu̯	ˈe	0.0
ˈi	ˈiː	0.981
ˈi	ˈe	1.832
ˈi	ˈi	3.13
ˈi	ˈeː	3.346
ˈiː	ˈi	1.528
ˈiː	ˈɛː	1.984
ˈiː	ˈe	2.046
ˈiː	ˈiː	2.659
ˈiː_n	ˈi_n	0.0
ˈiːu̯	ˈi	0.0
ˈoː	ˈɑu̯	0.235
ˈoː	ˈɑ_x	2.734
ˈoː_f	β_ɑ	0.0
ˈoː_l	ˈɑ_l	0.0
ˈoːu̯	ˈɔː	1.167
ˈoːu̯	ˈu	2.043
ˈoːu̯	ˈɛː	2.204
ˈoːu̯	ˈu_r	3.398
ˈoːu̯_n	ˈɑ_n	0.0
ˈoːu̯_ɣ	ˈu	0.0
ˈu	-	0.0
ˈuː	ˈuː	1.538
ˈuː	ˈu	1.791
ˈuː	-	1.941
ˈuː	ɛː	3.236
ˈøː	-	0.0
ˈœː	ˈu	0.0
ˈɔ	ˈu	0.631
ˈɔ	ˈɑ	1.497
ˈɔː	ˈɑ	1.155
ˈɔː	ˈu	1.822
ˈɔː	ˈɑ_ŋ	2.775
ˈɔː	ˈe	3.033
ˈɔː_t	ˈɑ_t	0.0
ˈɔːɪ̯	jː	0.0
ˈɛ	ˈe	1.158
ˈɛ	-	1.858
ˈɛ	ˈɑ	1.858
ˈɛɪ̯	ˈɔː	1.297
ˈɛɪ̯	ˈɛː	2.247
ˈɛɪ̯	-	2.531
ˈɛɪ̯	ˈɑ	3.223
ˈɛɪ̯	ˈe_r	3.291
ˈɛɪ̯_d	ˈɑ_r	0.0
ˈɛː	ˈu	1.269
ˈɛː	ˈɑ	1.459
ˈɛː	ˈi	2.175
ˈɪ	ˈi	0.057
ˈɪ	ˈĩː	4.69
ˈʊ	ˈu	1.535
ˈʊ	ˈu_ŋ	1.978
ˈʊ	-	2.222
ˈʊ	ŋ	2.421
ˈʊ_l	ˈu_lː	0.0
