Kashubian	Slovenian	probability
ʣ	d	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɾ	r	1.0
ɲ	n	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɞ_ˈ	̀	1.0
ɛ_ˈ	́	1.0
ɔ_ˈ	́	1.0
z	z	1.0
x	x	1.0
w_ʉ	uː	1.0
w_i	w	1.0
v_j	ʋ	1.0
v	ʋ	1.0
u_ˈ	́	1.0
t	t	1.0
s	s	1.0
r̝_e	r	1.0
r̝	r	1.0
r_i	ə_r	1.0
õ	oː	1.0
n_i	ə_n	1.0
n	n	1.0
m_ə	ə_m	1.0
l	l	1.0
j_ɛ	ə	1.0
j	eː	1.0
e	eː	1.0
d̥	d̥	1.0
d_w	l	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
ã_ˈ	́	1.0
a_ˈ	aː_̀	1.0
m	m	0.915
r	r	0.864
k	k	0.856
p	p	0.833
ã	-	0.804
ə	iː	0.72
w	l	0.669
f	ʋ	0.6
ʤ	ɡ	0.585
ʧ	ʧ	0.564
ʦ	t	0.529
u̯ɛ	oː	0.499
ˈ	́	0.495
ʦ	ʦ	0.471
i	iː	0.455
ʧ	-	0.436
ʤ	-	0.415
f	-	0.4
a	a	0.392
ɞ	ɔː	0.378
ˈ	̀	0.376
ɞ	a	0.37
ɔ	oː	0.356
u	oː	0.298
ɔ	aː	0.287
ə	i	0.28
u	-	0.28
ɛ	ɛ	0.268
a	-	0.266
a	eː	0.263
ɞ	aː	0.252
u̯ɛ	o	0.251
ɔ	-	0.238
i	i	0.233
ɛ	ə	0.23
u	ɔ	0.226
u	eː	0.197
ɛ	eː	0.196
ã	oː	0.196
w	w	0.17
p	-	0.167
i	ə	0.166
w	-	0.161
i	w	0.147
k	-	0.144
r	-	0.136
ˈ	-	0.129
ɛ	ɛː	0.128
u̯ɛ	ɔ	0.127
u̯ɛ	ɔː	0.123
ɛ	-	0.121
ɔ	ɔː	0.12
m	m_ə	0.085
a	aː	0.079
ɛ	e	0.056
