Sichuanese	Sichuanese	probability
ʨʰ	kʰ	1.0
ʨ	k	1.0
ʦʰ_w	ʦʰ	1.0
ɥ_e	e_ʔ	1.0
ɛ_n	ĩ	1.0
ɚ	i	1.0
ə_n	ŋ̍	1.0
ŋ	ŋ	1.0
z	l	1.0
y	h_u	1.0
w_a	ɔ	1.0
v	ɡ	1.0
tʰ	tʰ	1.0
t	t	1.0
p	p	1.0
n_a	l_a	1.0
m	b	1.0
kʰ	kʰ	1.0
k	k	1.0
i_n	j_ã	1.0
a_w	o	1.0
a_j	j̃	1.0
<#_ʨʰ	<#	1.0
<#_ɕ	<#	1.0
<#_ŋ	<#	1.0
<#_w	<#_m	1.0
<#_nʲ	<#	1.0
<#_n	<#_l	1.0
⁵⁵	⁴⁴	0.938
⁵³	⁵³	0.889
a_ŋ	ŋ̍	0.833
ɥ	-	0.75
z̩	i	0.75
x	h	0.7
n	n	0.688
w	w	0.667
i	i	0.636
a_n	ŋ̍	0.6
a	a	0.588
²¹	²⁴	0.585
ʦʰ	ʦʰ	0.571
²¹³	³³	0.522
ə	u	0.5
ɕ	ɕ	0.5
ɕ	s	0.5
s	ɕ	0.5
pʰ	pʰ	0.5
pʰ	p	0.5
f	p	0.5
f	h	0.5
j	j	0.474
o	a	0.462
²¹³	¹¹	0.435
ʦʰ	-	0.429
j	-	0.421
a	e	0.412
a_n	w_ã	0.4
ɛ	ɪ_k̚	0.333
ɛ	a_ʔ	0.333
ɛ	a	0.333
u	ɔ	0.333
u	u	0.333
n	m	0.312
<#	<#_l	0.308
ʦ	ʦ	0.3
ʦ	t	0.3
ə	a	0.3
x	-	0.3
²¹	³²	0.264
ɥ	ɛ	0.25
z̩	a_j	0.25
s	ʦ	0.25
s	s	0.25
o	ɔ	0.231
o	o_ʔ	0.231
<#	<#_ɡ	0.231
<#	<#_t	0.231
<#	<#_k	0.231
ʦ	ʨ	0.2
ʦ	-	0.2
ə	-	0.2
w	-	0.2
i	w_e	0.182
i	u_j	0.182
u	u_t̚	0.167
u	a_k̚	0.167
a_ŋ	w̃	0.167
w	u	0.133
²¹	⁴	0.113
⁵³	³³	0.111
j	ɡ	0.105
o	ɔ̃	0.077
⁵⁵	-	0.062
