Saterland Frisian	Alsatian	probability
a	ə	0.288
a	ˈiː	0.288
b	b̥	0.909
b	-	0.085
d	t	0.533
d	d̥	0.406
d	-	0.034
d	ʃ	0.034
f	f	1.0
h	h	1.0
j	j	0.231
j	ɡ̊	0.231
j	d̥	0.16
j	-	0.105
j	ˈeː	0.105
j_ə	ə	1.0
j_ˈuː	ˈiː	1.0
k	kʰ	0.344
k	k	0.152
k	-	0.148
k	ʃ	0.129
k	x	0.085
k_ə	ʃ	0.501
l	l	0.972
l	-	0.034
m	m	1.0
n	n	0.835
n	-	0.164
p	f	0.628
p	p͡f	0.194
p	p	0.169
r	ʁ	1.0
s	s	0.489
s	ʃ	0.36
s	kʰ	0.073
s	n_s	0.073
s_j	s	1.0
s_k	ʃ	1.0
t	s	0.325
t	t	0.312
t	ʦ	0.259
t	-	0.052
t	d̥	0.046
v	ʋ	0.726
v	-	0.126
v	w	0.086
v	v	0.051
w	b̥	0.166
w	e	0.166
x	x	0.335
x	-	0.251
x	ʃ	0.191
x	k	0.162
x	b̥	0.057
z	s	1.0
ŋ	ŋ	1.0
ə	-	0.478
ə	ə	0.468
ə	i	0.051
ɡ	ɡ̊	0.251
ɣ	ɡ̊	0.523
ɣ	v	0.177
ɣ	-	0.154
ɣ	f	0.075
ɣ	k	0.06
ɪ	i	1.0
ɫ	l	0.251
ˈa	ˈeː	0.219
ˈa	ˈɒ	0.219
ˈaː	ˈɒ	0.784
ˈaː	ˈəi̯	0.13
ˈaːi̯	ˈaː	0.425
ˈaːi̯	j	0.245
ˈaːi̯	ˈɒː	0.141
ˈaːu̯	ˈiː	0.501
ˈeː	ˈeː	0.331
ˈeː	ˈəi̯	0.328
ˈeː	ˈe	0.174
ˈeː	ˈai̯	0.087
ˈeː	ˈæː	0.069
ˈeːu̯	ˈæ	0.501
ˈi	ˈiː	0.326
ˈi	j	0.187
ˈi	ˈæ	0.187
ˈi	ˈei̯	0.13
ˈi	-	0.124
ˈiː	ˈi	0.37
ˈiː	ˈiː	0.154
ˈiː	ˈoː	0.142
ˈiː	ˈæː	0.094
ˈiː	ˈɒː	0.073
ˈiːu̯	ˈæ	0.501
ˈoː	ˈoː	0.278
ˈoː	ˈɒ	0.179
ˈoː	ˈʊː	0.128
ˈoː	ˈæː	0.095
ˈoː	ˈɒː	0.074
ˈoːu̯	ˈʊː	0.383
ˈoːu̯	ˈɒ	0.319
ˈoːu̯	ˈo	0.139
ˈoːu̯	ˈoː	0.071
ˈoːu̯	ˈo_ʁ	0.048
ˈu	ˈyː	0.574
ˈu	ˈʊː	0.288
ˈuː	ˈu	0.263
ˈuː	ˈyː	0.263
ˈuː	ˈiː	0.097
ˈuː	ˈi	0.074
ˈuː	ˈø	0.074
ˈyː	ˈi	0.501
ˈœː	ˈi	0.501
ˈɔ	ˈo	0.386
ˈɔ	ˈɒ	0.217
ˈɔ	ˈi	0.164
ˈɔ	ˈoː	0.113
ˈɔ	ˈe	0.078
ˈɔː	ˈɒ	0.465
ˈɔː	ˈe	0.096
ˈɔː	ˈoː	0.096
ˈɔː	ˈæː	0.083
ˈɔː	ˈɒː	0.076
ˈɔːɪ̯	ˈəi̯	0.251
ˈɛ	ˈɒː	0.213
ˈɛ	ˈɒ	0.204
ˈɛ	ˈəi̯	0.154
ˈɛ	ˈoː	0.096
ˈɛ	ˈe	0.064
ˈɛɪ̯	ˈiː	0.32
ˈɛɪ̯	ˈei̯	0.272
ˈɛɪ̯	ˈoː	0.107
ˈɛɪ̯	ˈyː	0.107
ˈɛɪ̯	ˈɒː	0.107
ˈɛː	ˈu	0.351
ˈɛː	ˈiː	0.232
ˈɛː	ˈɒ	0.232
ˈɛː	-	0.145
ˈɪ	ˈi	0.8
ˈɪ	ˈɒ	0.106
ˈɪ	ˈe	0.086
ˈʊ	ˈu	0.489
ˈʊ	ˈo	0.214
ˈʊ	ˈiː	0.113
ˈʊ	w	0.081
ˈʊ	ˈi	0.081
