Saterland Frisian	Alsatian	probability
a	-	0.525
a	ə	0.475
b	b̥	0.926
b	-	0.074
d	t	0.563
d	d̥	0.391
f	f	1.0
h	h	1.0
i	eː	1.0
j	-	0.329
j	ˈiː	0.268
j	ɡ̊	0.149
j	ˈeː	0.098
j	ˈaː	0.071
k	-	0.303
k	ʃ	0.183
k	kʰ	0.178
k	x	0.161
k	i_ʃ	0.063
k	k	0.057
k	ɡ̊	0.054
l	l	0.988
m	m	1.0
n	n	0.926
n	-	0.074
p	f	0.598
p	p͡f	0.263
p	p	0.139
r	ʁ	1.0
s	ʃ	0.471
s	s	0.444
s	kʰ	0.068
t	s	0.388
t	ʦ	0.303
t	t	0.267
v	ʋ	0.764
v	-	0.112
v	w	0.07
w	b̥	0.666
w	e	0.334
x	ʃ	0.354
x	k	0.273
x	x	0.178
x	f	0.159
z	s	0.742
z	j	0.258
ŋ	ŋ	0.901
ŋ	n	0.099
ə	ə	0.768
ə	-	0.156
ə	i	0.051
ɡ	ɡ̊	1.0
ɣ	ɡ̊	0.464
ɣ	v	0.24
ɣ	-	0.106
ɣ	j	0.08
ɣ	f	0.061
ɪ	i	0.714
ɪ	-	0.286
ˈa	ˈe	0.533
ˈa	ˈɒ	0.286
ˈa	ˈeː	0.118
ˈa	ˈu	0.062
ˈaː	ˈɒ	0.683
ˈaː	ˈəi̯	0.317
ˈaːi̯	ˈaː	0.574
ˈaːi̯	ˈæ	0.213
ˈaːi̯	ˈɒː	0.213
ˈaːu̯	ˈiː	1.0
ˈeː	ˈəi̯	0.403
ˈeː	ˈeː	0.232
ˈeː	ˈe	0.11
ˈeː	ˈei̯	0.099
ˈeː	ˈæː	0.095
ˈeː	ˈai̯	0.061
ˈeːu̯	ˈæ	1.0
ˈi	ˈiː	0.47
ˈi	ˈi	0.199
ˈi	ˈei̯	0.147
ˈi	ˈæː	0.115
ˈi	ˈæ	0.068
ˈiː	ˈi	0.43
ˈiː	ˈoː	0.181
ˈiː	ˈiː	0.117
ˈiː	ˈe	0.095
ˈiː	ˈæ	0.065
ˈiːu̯	ˈæ	1.0
ˈoː	-	0.382
ˈoː	ˈoː	0.157
ˈoː	ˈʊː	0.138
ˈoː	ˈæː	0.126
ˈoː	ˈɒ	0.116
ˈoːu̯	ˈʊː	0.315
ˈoːu̯	ˈɒ	0.287
ˈoːu̯	ˈoː	0.202
ˈoːu̯	ˈo	0.152
ˈu	ˈʊː	0.635
ˈu	ˈyː	0.365
ˈuː	ˈu	0.333
ˈuː	-	0.223
ˈuː	ˈyː	0.199
ˈuː	ˈʊː	0.059
ˈyː	ˈi	1.0
ˈœː	ˈi	1.0
ˈɔ	ˈɒ	0.298
ˈɔ	ˈo	0.262
ˈɔ	ˈi	0.241
ˈɔ	ˈe	0.148
ˈɔ	ˈoː	0.052
ˈɔː	ˈɒ	0.349
ˈɔː	ˈe	0.234
ˈɔː	ˈu	0.127
ˈɔː	ˈæː	0.124
ˈɔːɪ̯	ˈəi̯	1.0
ˈɛ	ˈɒ	0.193
ˈɛ	ˈoː	0.192
ˈɛ	ˈæ	0.192
ˈɛ	ˈe	0.138
ˈɛ	ˈɒː	0.127
ˈɛ	ˈəi̯	0.088
ˈɛ	ˈi	0.071
ˈɛɪ̯	ˈiː	0.361
ˈɛɪ̯	ˈei̯	0.161
ˈɛɪ̯	ˈɒː	0.087
ˈɛɪ̯	ˈeː	0.084
ˈɛɪ̯	ˈʊː	0.082
ˈɛɪ̯	ˈoː	0.076
ˈɛɪ̯	ˈyː	0.076
ˈɛɪ̯	ˈəi̯	0.073
ˈɛː	ˈiː	0.327
ˈɛː	ˈu	0.267
ˈɛː	-	0.264
ˈɛː	ˈɒ	0.142
ˈɪ	ˈi	0.846
ˈɪ	ˈɒ	0.102
ˈɪ	ˈe	0.052
ˈʊ	ˈu	0.555
ˈʊ	ˈi	0.181
ˈʊ	ˈeː	0.11
ˈʊ	ˈo	0.098
