Saterland Frisian	Yiddish	probability
b	b	1.0
f	f	1.0
h	h	1.0
w	-	1.0
ɡ	ɡ	1.0
ˈɪ	ˈɪ	1.0
d	-	0.061
n	n	0.991
p	p	0.201
x	χ	0.471
ɣ	ɡ	0.611
ˈa	ɡ_#>	0.21
ˈeː	ˈɛɪ̯	0.671
ˈiː	ˈaɪ̯	0.121
ˈoː	ˈɔɪ̯	0.341
ˈoːu̯	ˈɔ	0.301
ˈɔː	ˈɔ	0.271
d	d	0.202
m	m	0.892
r	ʀ	0.932
t	t	0.242
v	-	0.052
ə	-	0.102
ˈiː	ˈɔ	0.32
ˈoː	-	0.362
ˈoːu̯	ˈʊ	0.322
ˈuː	ə	0.322
ˈuː	ˈʊ	0.492
ˈɛɪ̯	ˈɛ_ʀ	0.222
ˈʊ	ˈɔ	0.142
k	χ	0.313
ˈoː	ˈɔ	0.123
ˈɔ	ˈɔ	0.3
ˈɛ	ˈɔ	0.663
ˈɛː	ˈɪ	0.423
j	j	0.064
s	ʃ	0.314
s	z	0.434
v	b	0.124
x	ɡ	0.214
ŋ	ŋ	0.344
ŋ	ŋ_ɡ	0.64
ə	ə	0.224
ɪ	ɪ	0.54
ˈa	ˈa	0.074
ˈaː	ˈa	0.924
ˈɔː	ˈʊ	0.154
m	ɛ_m	0.065
t	ʦ	0.25
v	v	0.825
x	k	0.315
z	<#_t	0.055
ə	n	0.465
ˈaːi̯	ˈɔ_ɡ	0.5
ˈaːi̯	ˈɛ	0.5
ˈi	ˈɛ	0.165
ˈɛɪ̯	ˈɔ	0.205
ˈɛɪ̯	ˈaɪ̯	0.235
z	<#_ɡ	0.106
ɪ	-	0.46
ˈa	ˈɛ	0.716
ˈaː	ˈɛɪ̯	0.076
ˈuː	ˈɔɪ̯	0.186
d	t	0.737
j	ˈaɪ̯	0.297
k	k	0.687
t	s	0.347
ə	ə_n	0.187
ˈi	ˈaɪ̯	0.477
ˈɔ	ˈa	0.7
ˈɔː	ˈa	0.497
ˈɛ	ˈɛ	0.337
ˈɛɪ̯	ˈɪ	0.337
ˈɛː	ˈa	0.577
r	ə_ʀ	0.068
t	d	0.118
ˈi	ˈɪ	0.358
ˈoːu̯	ˈa	0.378
ˈʊ	ˈʊ	0.858
j	-	0.29
j	ˈɛ	0.349
l	l	0.969
p	f	0.799
s	s	0.209
z	-	0.839
ɣ	-	0.389
ˈeː	ˈɛ	0.329
ˈiː	ˈɪ	0.559
ˈoː	ˈa	0.139
ˈɔː	ˈɛ	0.079
