Dutch	Afrikaans	probability
b	b	0.954
b	-	0.052
d	d	0.934
d	-	0.064
d_ə	t	1.0
f	f	1.0
j	j	1.0
k	k	1.0
l	l	1.0
m	m	1.0
n	n	0.594
n	-	0.365
n	ŋ	0.041
p	p	1.0
s	s	1.0
t	t	0.832
t	-	0.167
v	f	0.878
v	v	0.091
v	-	0.039
w	w	0.5
w	t	0.5
z	s	1.0
ŋ	ŋ	1.0
ə	-	0.555
ə	ə	0.443
ɦ	ɦ	1.0
ɪ	ə	1.0
ɫ	ɫ	0.946
ɫ	l	0.057
ɾ	r	1.0
ʋ	v	0.778
ʋ	w	0.218
ˈaː	ˈɑː	0.945
ˈaː	ˈɔː	0.055
ˈeː	ˈɪə̯	0.86
ˈeː	ˈəɪ̯	0.08
ˈeː	ˈi	0.059
ˈi	ˈi	1.0
ˈoː	ˈʊə̯	0.888
ˈoː	ˈɪø̯	0.071
ˈoː	-	0.04
ˈoː	ˈoːi̯	0.038
ˈoː_v	ˈʊə̯	0.514
ˈu	ˈu	0.702
ˈu	ˈuː	0.164
ˈu	ˈɔ	0.069
ˈu	ˈuːi̯	0.069
ˈyː	ˈyː	1.0
ˈøː	ˈɪø̯	0.514
ˈœy̯	ˈœɪ̯	1.0
ˈɑ	ˈa	0.958
ˈɑ	ˈɑː	0.042
ˈɑu̯	ˈœu̯	1.0
ˈɔ	ˈɔ	0.88
ˈɔ	ˈœ	0.053
ˈɔ	-	0.046
ˈɔ	ˈɔː	0.046
ˈɛ	ˈɛ	0.702
ˈɛ	ˈæː	0.093
ˈɛ	ˈɛː	0.09
ˈɛ	ˈæ	0.067
ˈɛ	ˈa	0.047
ˈɛi̯	ˈəɪ̯	0.935
ˈɛi̯	ˈœi̯	0.068
ˈɪ	ˈə	0.915
ˈɪ	ˈæ	0.055
ˈɪ	ˈɪ	0.048
ˈʏ	ˈœ	1.0
χ	χ	0.799
χ	-	0.102
χ	k	0.096
