Dutch	Afrikaans	probability
b	b	0.962
d	d	0.851
d	t	0.084
d	-	0.065
f	f	1.0
i	i	1.0
j	j	1.0
k	k	1.0
m	m	0.954
n	n	0.901
n	ŋ	0.078
p	p	1.0
s	s	1.0
t	t	1.0
v	f	0.838
v	v	0.1
v	-	0.061
w	t	0.66
w	w	0.34
z	s	1.0
ŋ	ŋ	1.0
ə	-	0.602
ə	ə	0.395
ɦ	ɦ	1.0
ɪ	ə	1.0
ɫ	ɫ	0.979
ɾ	r	0.992
ʋ	v	0.824
ʋ	w	0.176
ˈaː	ˈɑː	0.975
ˈeː	ˈɪə̯	0.813
ˈeː	ˈəɪ̯	0.097
ˈeː	ˈʊə̯	0.062
ˈi	ˈi	1.0
ˈoː	ˈʊə̯	0.748
ˈoː	ˈɪø̯	0.117
ˈoː	ˈə	0.053
ˈoː	ˈɔ	0.052
ˈu	ˈu	0.904
ˈu	ˈɔ	0.096
ˈyː	ˈyː	1.0
ˈøː	ˈɪø̯	1.0
ˈœy̯	ˈœɪ̯	0.934
ˈœy̯	ˈɔ	0.066
ˈɑ	ˈa	0.982
ˈɑu̯	ˈœu̯	1.0
ˈɔ	ˈɔ	0.893
ˈɛ	ˈɛ	0.331
ˈɛ	ˈæ	0.3
ˈɛ	ˈæː	0.242
ˈɛ	ˈa	0.073
ˈɛ	ˈɛː	0.054
ˈɛi̯	ˈəɪ̯	1.0
ˈɪ	ˈə	0.849
ˈɪ	ˈɪ	0.097
ˈʏ	ˈœ	1.0
χ	χ	0.759
χ	k	0.139
χ	-	0.103
