Portuguese	Portuguese	probability
ˈɛ_ʃ	ˈɛ_s	1.0
ˈɐ̃_#>	ˈa_n_ɔ_#>	1.0
ˈɐ_ɲ	ˈa_ɲ	1.0
ˈɐ_j	ˈe	1.0
ˈũ	ˈỹ_ŋ	1.0
ˈo_ɾ	ˈu	1.0
ˈo_w	ˈa_w	1.0
ˈe_ɾ	e	1.0
ˈa	ˈa	1.0
ʒ	ʤ	1.0
ʎ_ɐ	j_ɔ	1.0
ʃ_k	s_k	1.0
ɾ_ɨ	ɾ_e	1.0
ɾ_ɐ	ɾ_ɔ	1.0
ɾ_u_#>	#>	1.0
ɾ_u	ɾ_e	1.0
ɾ_t	ˈe_ʀ	1.0
ɾ_m	ʀ_m	1.0
ɾ_#>	#>	1.0
ɲ_u	ŋ	1.0
ɨ_#>	#>	1.0
ɣ_u	k	1.0
ɣ	ɡ	1.0
ɐ̃_j̃	e	1.0
ɐ̃	ã	1.0
ɐ_ð	a_d	1.0
w̃	ŋ	1.0
w_ɐ	ɔ	1.0
v_ˈɔ	v_ˈu	1.0
v_ɨ	w	1.0
v_ɐ	b_ɔ	1.0
v_u	w	1.0
ũ	ẽ_m	1.0
t_ɨ	ŋ	1.0
t_u	ŋ	1.0
s_u	ˈe_s	1.0
p_ˈe	p_ˈe	1.0
õ	ũ	1.0
n_ɐ	n_ˈa	1.0
n_u	ŋ	1.0
l_u	w	1.0
k	k	1.0
ĩ	ĩ	1.0
i	-	1.0
f	f	1.0
d	-	1.0
b	b	1.0
<#_ˈo	<#_ɥ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʁ	<#_ʀ	1.0
<#_ɔ	<#_u	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_l	<#_l	1.0
<#_i	<#_e	1.0
<#_d	<#_d	1.0
<#	<#_a	1.0
m	m	0.966
p	p	0.931
ˈɛ	ˈɛ	0.905
u_#>	#>	0.867
v	v	0.852
n	n	0.833
ˈɐ̃	ˈã	0.824
ɫ	w	0.818
ɡ	ɡ	0.818
ɨ	e	0.8
l	l	0.8
s	s	0.769
ɐ	ɔ	0.768
ˈẽ	ˈẽ	0.75
ʎ	j	0.75
s_ɨ	s_e	0.714
ˈi	ˈi	0.704
t	t	0.704
β	b	0.667
ʃ_#>	s_#>	0.6
ˈu	ˈy	0.588
ˈɔ	w_ˈe	0.579
ˈõ	w_ˈẽ	0.571
ɲ	ɲ	0.571
z	z	0.571
w	-	0.571
ˈe	ˈe	0.556
#>	e_#>	0.556
ð	d	0.529
ˈĩ	ˈĩ_ŋ	0.5
ˈĩ	ŋ	0.5
ʁ	ʀ	0.5
ʁ	-	0.5
ð	-	0.471
ˈõ	ˈũ	0.429
ɲ	n	0.429
z	-	0.429
w	w	0.429
ʃ	s	0.417
ʃ_#>	#>	0.4
ˈo	ˈu	0.387
u	u	0.375
ɾ	ɾ	0.356
β	-	0.333
j	-	0.333
ˈɐ	j	0.294
ˈu	ˈu	0.294
s_ɨ	s	0.286
ɾ	ʀ	0.267
j	j	0.267
ˈẽ	ˈẽ_ŋ	0.25
ʎ	-	0.25
s	-	0.231
ˈi	-	0.222
ˈe	ɾ	0.222
#>	ɔ_#>	0.222
#>	w_#>	0.222
ˈɔ	ˈu	0.211
ˈɔ	w	0.211
u	e	0.208
ɨ	i	0.2
l	-	0.2
j	ˈe	0.2
ˈo	w_ˈe	0.194
ɫ	-	0.182
ɡ	ŋ_k	0.182
ˈɐ̃	ˈũ	0.176
ˈɐ	ˈɛ	0.176
ˈɐ	ˈe	0.176
ˈɐ	ˈa	0.176
ˈɐ	-	0.176
ɐ	a	0.174
n	-	0.167
ˈo	w	0.161
ˈe	-	0.148
t	ʧ	0.148
t	-	0.148
u_#>	w_#>	0.133
j	i	0.133
ʃ	j	0.125
ʃ	-	0.125
ˈu	ˈỹ	0.118
ɾ	e	0.111
ˈɛ	-	0.095
ɾ	ˈi	0.089
ʃ	p_l	0.083
ʃ	k_l	0.083
ʃ	j_s	0.083
ʃ	f_l	0.083
u	ʀ	0.083
u	ɾ_e	0.083
u	y	0.083
u	w	0.083
u	j	0.083
ˈi	ˈĩ	0.074
ˈe	e	0.074
v	w	0.074
v	b	0.074
p	-	0.069
ɾ	ˈe	0.067
ɾ	-	0.067
j	n	0.067
ˈo	ɥ_ˈɔ	0.065
ˈo	ɥ_ˈe	0.065
ˈo	ɥ	0.065
ˈo	-	0.065
