Provençal	Provençal	probability
ˈɛ_j	ˈe_j	1.0
ˈɔ	ˈe	1.0
ˈỹ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈe_ʀ	ɾ	1.0
ˈe_s	ˈe_s	1.0
ˈã	ˈa	1.0
ˈa_w	ˈo	1.0
ˈa_#>	ˈa_ɾ_#>	1.0
ʧ	ʧ	1.0
ʤ	-	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_ɔ	ɾ_a	1.0
ɲ	ɲ	1.0
ŋ_k	ŋ_ɡ	1.0
y	-	1.0
w_t	ˈo_t	1.0
ũ	o	1.0
u_l	o_l	1.0
s_ˈe	s_ˈe	1.0
s_#>	θ_#>	1.0
p_l	ɟ͡ʝ	1.0
p	p	1.0
n	n	1.0
mː	m	1.0
k_l	ɟ͡ʝ	1.0
k_#>	k_o_#>	1.0
j_ˈe	ˈe	1.0
j_ɾ	ð_ɾ	1.0
j_#>	s_#>	1.0
ĩ	i	1.0
f	f	1.0
ẽ	-	1.0
e_#>	#>	1.0
b_w	b_w	1.0
ã	a	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_ɥ	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
ɔ	a	0.952
ˈi	ˈi	0.917
k	k	0.911
t	t	0.895
ɾ	ɾ	0.875
m	m	0.875
ˈa	ˈa	0.842
ˈu	ˈo	0.833
v	b	0.773
ˈe	ˈe	0.756
ɾ_e	ɾ_o	0.75
ˈẽ	ˈe	0.714
z	θ	0.667
w_#>	l_#>	0.667
u	o	0.667
<#_ʤ	<#_x	0.667
ˈɛ	j_ˈe	0.65
i	i	0.6
b	β	0.583
e	e	0.579
ɡ	ɡ	0.556
ˈy	ˈu	0.545
ˈũ	ˈo	0.545
ˈe_j	ˈe	0.5
ˈe_j	x	0.5
l	l	0.5
s	θ	0.469
s	s	0.469
ŋ	n	0.444
ʀ	ɾ	0.435
d	d	0.429
w	w	0.42
#>	o_#>	0.419
b	b	0.417
i	-	0.4
d	ð	0.393
l	ʝ	0.357
ɥ	ˈu	0.333
ɥ	ˈo	0.333
ɥ	w	0.333
ɡ	ɣ	0.333
z	-	0.333
w_#>	#>	0.333
u	u	0.333
<#_ʤ	<#	0.333
ˈẽ	j_ˈe	0.286
ˈy	ˈu_ɾ	0.273
ˈũ	ˈu	0.273
ŋ	n_o	0.267
ɾ_e	o	0.25
#>	e_#>	0.23
j	x	0.227
ˈy	-	0.182
ˈũ	-	0.182
j	o	0.182
d	-	0.179
ˈɛ	ˈe	0.15
l	ɟ͡ʝ	0.143
v	β	0.136
j	ˈe	0.136
j	j	0.136
j	-	0.136
#>	ɾ_#>	0.135
e	ɾ	0.132
ʀ	ɾ_t	0.13
ɾ	ˈe	0.125
m	m_b	0.125
ˈe	-	0.122
w	o	0.12
ɡ	ɣ_w	0.111
t	-	0.105
e	o	0.105
ˈɛ	ˈi	0.1
ˈɛ	j	0.1
w	ˈo	0.1
#>	t_o_#>	0.095
#>	s_#>	0.095
v	b_j	0.091
j	x_o	0.091
j	a	0.091
ŋ	ŋ	0.089
ŋ	n_t	0.089
k	ɣ_o	0.089
ʀ	ɾ_o	0.087
ʀ	ɾ_n	0.087
ʀ	r	0.087
ʀ	o	0.087
ʀ	-	0.087
ˈu	ˈu	0.083
ˈu	-	0.083
ˈi	ɾ	0.083
w	ʝ_o	0.08
w	l_o	0.08
e	-	0.079
ˈe	ɾ	0.073
ŋ	o	0.067
s	-	0.062
w	β_e	0.06
w	l	0.06
ˈa	ˈo	0.053
ˈa	o_s	0.053
ˈa	-	0.053
e	ɾ_e	0.053
e	i	0.053
