Corsican	Occitan	probability
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_o	<#_u	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɟ	<#_ʤ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʧ	<#_s	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈo	<#_ɥ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈɛ	<#_ˈe	1.0
a_#>	ɔ_#>	1.0
a_l	a_l	1.0
a_p	a_β	1.0
a_t	a_ð	1.0
bː_j	β_l	1.0
e_r	ɾ	1.0
i_#>	s_#>	1.0
j_#>	s_#>	1.0
k_u_#>	k_#>	1.0
kː_a	k_ɔ	1.0
l_u	l_#>	1.0
lː	l	1.0
n_u_#>	#>	1.0
nː	n	1.0
p_u	p_#>	1.0
p_ˈa	p_ˈa	1.0
r_ˈa	ɾ_ˈa	1.0
r_ˈɛ	ɾ_ˈe	1.0
s	s	1.0
s_k	s_k	1.0
s_t	s_t	1.0
sː	s	1.0
t_ˈa	t_ˈa	1.0
u_l	u_l	1.0
w	-	1.0
z	z	1.0
ŋ	ŋ	1.0
ŋ_k	ŋ_k	1.0
ŋ_ɡ	ŋ_k	1.0
ɡ	ɣ	1.0
ɡ_w	ɡ	1.0
ɲ	ɲ	1.0
ʃ	s	1.0
ʃː	j_s	1.0
ʤ	ʤ	1.0
ʦ	s	1.0
ʦː	ʦ	1.0
ʧ_e	ʦ_#>	1.0
ʧː	s	1.0
ˈa_#>	ˈa_#>	1.0
ˈa_l	ˈa_l	1.0
ˈa_t	ˈa_j	1.0
ˈa_tː	ˈa_t	1.0
ˈe_lː	ˈɛ_l	1.0
ˈe_s	ˈɛ_s	1.0
ˈi_lː	ˈi_l	1.0
ˈi_n	ˈi_n	1.0
ˈo_n	ˈu	1.0
ˈo_r	ˈu	1.0
ˈu_r	ˈy	1.0
ˈu_tː	ˈu_t	1.0
ˈɔ_c	ˈu_l	1.0
ˈɔ_k	ɥ_ˈɔ	1.0
ˈɔ_n	ˈu	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈɔ_v	ˈɔ_w	1.0
ˈɔ_ʃ	j_s	1.0
ˈɛ_#>	ˈe_#>	1.0
ˈɛ_kː	ˈe_k	1.0
ˈɛ_n	ˈɛ_n	1.0
ˈɛ_rː	ˈɛ_r	1.0
<#	<#_ˈa	0.111
<#	<#_a	0.111
<#	<#_e	0.611
i	e	0.591
k	ɣ	0.571
u	-	0.231
a	e	0.12
a	a	0.52
i	-	0.182
j	j	0.2
p	s	0.222
p	p	0.222
u	u	0.462
v	v	0.2
d	d	0.143
d	z	0.143
d	r	0.143
d	t	0.143
e	-	0.333
e_#>	e_#>	0.203
u_#>	e_#>	0.133
v	-	0.3
ʎ	l	0.333
ˈa_n	ˈa	0.333
ˈo	ˈa_w	0.143
ˈo	w	0.143
ˈɔ	ɥ_ˈɛ	0.053
ˈɛ	ˈɛ	0.323
c	ˈɛ_l	0.4
r	-	0.154
u	y	0.154
u	k_#>	0.154
ɟ	ʤ	0.4
ˈa	ˈa	0.914
ˈi	ˈe	0.154
ˈɛ	ˈe	0.484
e	e	0.25
l	-	0.25
l	l	0.375
l	w	0.375
m	-	0.105
m	m	0.895
n	-	0.105
n	n	0.895
o	a_w	0.5
o	e	0.5
tː	t	0.25
tː	ʧ	0.75
v	β	0.5
ʧ	s	0.5
ʧ	z	0.5
ˈɔ	ˈa_w	0.105
b	-	0.286
b	b	0.286
c	l	0.6
p	β	0.556
t	ð	0.276
t	-	0.276
ɟ	ɡ_l	0.6
ˈa	-	0.086
ˈe	ˈɛ	0.556
ˈi	ˈi	0.846
ˈo	ˈɔ	0.286
ˈu	ˈy	0.696
ˈɔ	ˈu	0.526
<#	<#_k	0.167
e	ˈi_#>	0.417
i	i	0.227
u_#>	#>	0.867
ʎ	ʎ	0.667
ˈa_n	ˈa_n	0.667
ˈe	ˈe	0.167
ˈu	ˈi	0.087
ˈu	ˈu	0.217
ˈɔ	ˈɔ	0.237
ˈɛ	e	0.097
ˈɛ	ˈe_j	0.097
a	k	0.08
a	-	0.28
e_#>	w_#>	0.078
j	l	0.8
r	r	0.288
r	ɾ	0.558
t	t	0.448
ˈe	j_ˈɛ	0.278
b	β	0.429
d	-	0.429
e_#>	#>	0.719
k	-	0.429
ˈo	ˈu	0.429
ˈɔ	u	0.079
