Portuguese	Franco-Provençal	probability
ẽ	ɛ̃	1.0
f	f	1.0
õ	ɔ̃	1.0
ɔ	o	1.0
ˈũ	ˈɔ̃	1.0
i	ˈe	0.131
j̃	o	0.691
t	-	0.41
v	-	0.121
z	ð	0.311
ð	d	0.121
ð	-	0.581
ɐ	a	0.531
ɨ	ɛ	0.091
ɨ	-	0.161
ʒ	z	0.061
ˈa	-	0.081
ˈi	-	0.061
ˈo	w	0.281
ˈɐ	j	0.161
ˈɐ̃	ˈɛː	0.051
ˈɐ̃	ˈaː	0.061
ˈɐ̃	ˈa	0.091
ˈɔ	ˈɑ̃	0.061
ˈɛ	ˈoː	0.051
ˈɛ	ˈɛ	0.231
b	b	0.872
d	-	0.152
ĩ	i	0.212
j̃	ˈɛ̃	0.192
k	t	0.112
l	-	0.112
u	ˈɛ̃	0.122
w̃	n	0.162
ɨ	o	0.382
ɲ	ˈɛ̃	0.102
ˈe	ˈɛ	0.142
ˈe	ˈi	0.22
ˈo	ˈo	0.082
ˈo	ˈø	0.122
ˈu	ˈo	0.062
ˈu	u	0.112
ˈɛ	ˈɛː	0.122
j	-	0.483
m	n	0.093
o	oː	0.643
p	p	0.843
w̃	ə	0.243
ð	t	0.163
ɾ	-	0.123
ɾ	ð	0.183
ʃ	-	0.23
ˈa	ˈe	0.13
ˈẽ	ˈɛ̃	0.843
ˈĩ	ˈĩ	0.483
ˈu	ˈu	0.153
β	ˈe_v	0.223
k	ʃ	0.434
m	-	0.074
ɣ	ɡ	0.174
ɫ	l	0.314
ɾ	ʁ	0.694
ʃ	ʃ	0.484
ʒ	ð	0.544
ˈa	ˈa	0.44
ˈi	ˈe	0.254
ˈu	ˈø	0.184
ˈɐ̃	ˈɑ̃	0.404
ˈɨ	ˈɛː	0.674
β	v	0.414
i	i	0.065
n	-	0.115
s	s	0.795
u	-	0.175
u	o	0.55
v	b	0.105
w	-	0.195
ɐ	ə	0.195
ɲ	ɲ	0.25
ʁ	ð	0.15
ʁ	ʁ	0.85
ʎ	ʎ	0.875
ʒ	-	0.05
ˈa	ˈɛː	0.075
ˈe	j	0.095
ˈe	ˈɛː	0.345
ˈi	ˈi	0.325
ˈo	ˈoː	0.115
ˈõ	w	0.15
ˈõ	ˈɔ̃	0.85
ˈɐ	-	0.115
ˈɐ	ˈi	0.125
ˈɐ̃	-	0.345
β	-	0.225
j	j	0.126
j̃	ˈi	0.116
v	v	0.676
w	w	0.536
z	d	0.126
z	s	0.126
ɐ	-	0.176
ɐ̃	-	0.466
ɣ	-	0.526
ɨ	ə	0.126
ʃ	s	0.106
ʎ	-	0.076
ʒ	ʒ	0.056
ˈe	-	0.056
ˈo	ˈu	0.086
ˈɐ	n	0.066
ˈɔ	ˈo	0.16
ˈɔ	ˈoː	0.366
ˈɨ	ˈɛ	0.326
i	-	0.297
i	e	0.507
m	l	0.057
m	m	0.777
o	o	0.357
p	-	0.157
v	f	0.067
w̃	ˈɔ̃	0.497
z	z	0.437
ð	j	0.07
ɐ̃	l	0.137
ɡ	ɡ	0.87
ɨ	ˈaː	0.067
ɨ	ɔ̃	0.07
ʃ	p	0.07
ˈe	ə	0.077
ˈẽ	ˈɑ̃	0.157
ˈĩ	ˈɛ̃	0.517
ˈo	ˈɔ	0.217
ˈɐ	ˈɛ	0.087
ˈɛ	ˈe	0.57
b	ʒ	0.128
d	d	0.848
ĩ	ĩ	0.788
j	l	0.078
l	l	0.888
s	ʃ	0.078
w	l	0.088
w	ˈe	0.108
w̃	ˈĩ	0.098
ɐ̃	ĩ	0.158
ɐ̃	ˈɛː	0.238
ɫ	-	0.248
ɲ	-	0.208
ˈa	j	0.08
ˈa	ˈaː	0.098
ˈi	ˈĩ	0.178
ˈɐ	ˈɛː	0.138
ˈɐ	ˈa	0.278
ˈɔ	ˈu	0.098
ˈɔ	w	0.168
β	ð	0.138
j	ˈe	0.109
k	k	0.399
n	m	0.069
n	n	0.719
t	t	0.59
u	j	0.069
w	ɔ	0.059
ɡ	ʃ	0.099
ɣ	k	0.109
ɣ	v	0.19
ɫ	o	0.139
ɫ	ˈɑː	0.299
ɲ	n	0.409
ʃ	k	0.069
ʒ	s	0.289
ˈi	ˈɛː	0.09
ˈu	ˈoː	0.069
ˈu	w	0.379
ˈɔ	ˈø	0.099
