Danish	Bavarian	probability
b̥	b̥	0.74
b̥	f	0.238
b̥	p͡f	0.033
b̥_j	b̥	1.0
d̥	d̥	0.718
d̥	t	0.276
e	-	0.115
f	f	0.967
f	ʃ	0.042
h	h	0.971
h	-	0.04
i	ɪ	0.574
i	i	0.279
j	-	0.454
j	x	0.259
j	k	0.094
j	ˈau̯	0.094
j	ˈe	0.094
jˀ	ŋ	0.236
k	ç	0.45
k	k	0.297
k	ŋ	0.115
k	ɡ̊	0.042
kʰ	kʰ	0.848
kʰ	f	0.074
kʰ	-	0.053
l	l	0.718
l	j	0.266
l	-	0.032
lˀ	j	0.759
lˀ	a	0.132
lˀ	i	0.097
m	m	1.0
mˀ	m	1.0
n	n	0.648
n	-	0.281
n	d̥	0.043
n	r	0.033
nˀ	n_d̥	0.471
nˀ	-	0.247
nˀ	n	0.163
nˀ	l	0.091
p	f	0.486
s	s	0.576
s	ʃ	0.331
s	-	0.059
s	x	0.034
s_k	ʃ	1.0
t	t	0.395
t	ʦ	0.275
t	x_t	0.234
t	-	0.075
v	b̥	1.0
w	b̥	0.357
w	m	0.144
w	a	0.132
w	-	0.092
w	x	0.092
wˀ	a	1.0
ð̞ˠ	s	0.431
ð̞ˠ	d̥	0.286
ð̞ˠ	t	0.135
ð̞ˠ	-	0.044
ð̞ˠ	d	0.044
ŋ	ŋ	0.784
ŋ	n	0.122
ŋˀ	ŋ	1.0
ɐ	ɐ	0.374
ɐ	a	0.283
ɐ	-	0.157
ɐ	d̥_a	0.123
ɐ	r	0.052
ɐˀ	-	0.618
ɐˀ	ɐ	0.155
ɐˀ	r	0.108
ə	-	0.418
ə	n	0.294
ə	a	0.187
ə	j	0.031
ə	ŋ	0.031
ɡ̊	ɡ̊	0.908
ɡ̊	-	0.082
ʁ	r	0.945
ʁ	-	0.057
ʋ	ʋ	0.791
ʋ	f	0.154
ʋ	ˈi	0.043
ʦʰ	d̥	0.385
ʦʰ	ʦ	0.364
ʦʰ	ʦ_ʋ	0.209
ˈa	ˈa	0.345
ˈa	ˈɒ	0.205
ˈa	ˈo	0.179
ˈa	ˈoː	0.103
ˈa	ˈɒː	0.076
ˈaː	ˈɒ	1.0
ˈe	ˈi	0.568
ˈe	ˈɛ	0.185
ˈe	ˈiː	0.08
ˈe	ˈu	0.061
ˈe	-	0.047
ˈeˀ	ˈoɐ̯	0.528
ˈeˀ	ˈeː	0.179
ˈeˀ	ˈiɐ̯	0.103
ˈeˀ	ˈɛ	0.078
ˈeˀ	ˈɛː	0.078
ˈeː	ˈo	0.056
ˈi	ˈai̯	0.425
ˈi	ˈi	0.425
ˈi	ɐ	0.074
ˈiˀ	ˈai̯	0.606
ˈiˀ	ˈeː	0.214
ˈiˀ	ˈi	0.123
ˈiˀ	ˈeɐ̯	0.049
ˈiː	ˈi	0.441
ˈiː	ˈai̯	0.202
ˈiː	ˈo	0.162
ˈiː	ˈoɐ̯	0.041
ˈo	ˈoɐ̯	0.761
ˈo	ˈuɐ̯	0.232
ˈoˀ	ˈuɐ̯	0.699
ˈoˀ	-	0.177
ˈoˀ	ˈoɐ̯	0.076
ˈoˀ	ˈau̯	0.037
ˈoː	ˈaː	0.172
ˈoː	ˈɒ	0.172
ˈoː	ˈuɐ̯	0.109
ˈoː	ˈau̯	0.098
ˈoː	ˈy	0.098
ˈu	ʋ_ˈo	0.467
ˈu	ˈu	0.172
ˈu	ˈɔ	0.162
ˈu	ˈo	0.063
ˈuˀ	ˈau̯	0.626
ˈuˀ	ˈe	0.125
ˈuˀ	ˈai̯	0.087
ˈuˀ	ˈoː	0.084
ˈuː	ˈu	0.486
ˈy	ˈai̯	0.574
ˈy	ˈu	0.279
ˈyˀ	ˈai̯	0.32
ˈyˀ	ˈiɐ̯	0.32
ˈyˀ	ˈiː	0.155
ˈyˀ	ˈe	0.098
ˈyː	ˈiː	0.644
ˈyː	ˈiɐ̯	0.125
ˈyː	ˈa	0.07
ˈæ	ˈe	1.0
ˈæˀ	ˈoː	0.236
ˈø	ˈi	0.486
ˈøː	ˈe	0.45
ˈøː	ˈoɐ̯	0.297
ˈøː	ˈa	0.18
ˈœ	ˈu	0.409
ˈœ	ˈiɐ̯	0.148
ˈœ	ˈo	0.148
ˈœ	ˈi	0.103
ˈœ	ˈʏ	0.076
ˈœˀ	ˈou̯	0.27
ˈœˀ	ˈaː	0.204
ˈœˀ	ˈiɐ̯	0.155
ˈœˀ	ˈoɐ̯	0.155
ˈœˀ	ˈɛ	0.104
ˈœː	ˈe	1.0
ˈɑ	ˈa	0.488
ˈɑ	ˈai̯	0.133
ˈɑ	ˈeː	0.133
ˈɑ_j	ˈi	1.0
ˈɑˀ	ˈɒ	0.66
ˈɑˀ	ˈoɐ̯	0.156
ˈɑː	ˈoː	1.0
ˈɒ	ˈoː	1.0
ˈɒˀ	ˈoɐ̯	0.423
ˈɒˀ	ˈoː	0.1
ˈɒː	ˈɔ	1.0
ˈɔ	ˈu	0.683
ˈɔ	ˈau̯	0.219
ˈɔˀ	ˈu	0.5
ˈɔˀ	ˈɔ	0.5
ˈɔː	ˈɔ	1.0
ˈɛ	ˈɔ	0.158
ˈɛ	ˈe	0.149
ˈɛ	ˈɛ	0.138
ˈɛ	ˈa	0.105
ˈɛ	ˈɒː	0.105
ˈɛˀ	ˈe	0.222
ˈɛˀ	ˈi	0.222
ˈɛˀ	ˈo	0.222
ˈɛˀ	ˈai̯	0.134
ˈɛˀ	ˈoɐ̯	0.134
ˈɛː	ˈoː	0.206
ˈɛː	ˈɛ	0.1
ˈʌ	ˈɛ	0.195
ˈʌ	-	0.148
ˈʌ	ˈa	0.148
ˈʌ	ˈeɐ̯	0.109
ˈʌ	ˈɔ	0.103
ˈʌˀ	ˈou̯	0.574
ˈʌˀ	ˈaː	0.279
