Danish	Bavarian	probability
b̥	b̥	0.844
b̥	f	0.104
b̥	p͡f	0.052
d̥	d̥	0.834
d̥	t	0.166
e	ŋ	1.0
f	f	1.0
h	h	0.971
i	i	0.672
i	ɪ	0.328
j	-	0.323
j	h	0.27
j	x	0.217
j	ɡ̊	0.173
jˀ	ŋ	1.0
k	-	0.667
k	k	0.109
k	ç	0.093
k	ɡ̊	0.078
k	ŋ	0.054
kʰ	kʰ	0.94
kʰ	-	0.06
l	l	0.708
l	j	0.271
lˀ	j	0.605
lˀ	a	0.349
m	m	0.976
mˀ	m	0.664
mˀ	ə	0.336
n	n	0.896
n	-	0.076
nˀ	n	0.932
p	f	1.0
s	s	0.569
s	ʃ	0.372
t	t	0.368
t	ʦ	0.353
t	x_t	0.234
w	b̥	0.346
w	ɡ̊	0.305
w	m	0.181
w	ŋ	0.102
wˀ	a	1.0
ð̞ˠ	s	0.51
ð̞ˠ	d̥	0.293
ð̞ˠ	t	0.111
ŋ	ŋ	0.532
ŋ	-	0.273
ŋ	i	0.195
ŋˀ	ŋ	1.0
ɐ	ɐ	0.438
ɐ	a	0.243
ɐ	d̥_a	0.125
ɐ	ˈoɐ̯	0.078
ɐ	t_a	0.064
ɐˀ	r	0.775
ɐˀ	ɐ	0.146
ɐˀ	-	0.079
ə	n	0.506
ə	a	0.191
ə	-	0.134
ɡ̊	ɡ̊	0.89
ɡ̊	k	0.07
ʁ	r	0.968
ʋ	ʋ	0.839
ʋ	ˈi	0.056
ʋ	ə	0.054
ʦʰ	d̥	0.599
ʦʰ	ʦ	0.362
ʨ	d̥	1.0
ˈa	ˈa	0.401
ˈa	ˈo	0.303
ˈa	ˈɒ	0.098
ˈa	ˈaː	0.066
ˈa	ˈoː	0.066
ˈa	ˈɒː	0.066
ˈaː	ˈɒ	1.0
ˈe	ˈi	0.624
ˈe	ˈɛ	0.13
ˈe	ˈɒ	0.123
ˈe	-	0.05
ˈeˀ	ˈoɐ̯	0.61
ˈeˀ	ˈeː	0.106
ˈeˀ	ˈiɐ̯	0.105
ˈeˀ	ˈɛː	0.105
ˈeː	ˈo	1.0
ˈi	ˈai̯	0.417
ˈi	ɐ	0.226
ˈi	ˈi	0.226
ˈi	ˈeː	0.131
ˈiˀ	ˈai̯	0.642
ˈiˀ	ˈi	0.156
ˈiˀ	ˈeɐ̯	0.146
ˈiˀ	ˈeː	0.055
