Sicilian	Friulian	probability
a	e	0.771
a	a	0.107
a	-	0.097
b	b	1.0
bː	b	1.0
c	p	0.833
c	ʧ	0.167
cː	l	0.854
cː	j	0.146
d	d	0.653
d	t	0.153
d	-	0.147
dː	t	1.0
f	f	1.0
i	i	0.398
i	e	0.293
i	-	0.134
i	a	0.076
i	o	0.073
j	-	0.674
j	ʤ	0.187
j	ɡ	0.056
j	l	0.055
k	c	0.43
k	k	0.348
k	-	0.143
k	ɡ	0.08
kː	c	0.844
kː	k	0.136
l	l	0.912
l	j	0.084
lː	l	1.0
m	m	0.814
m	n	0.161
mː	m	0.479
mː	r	0.475
n	n	0.853
n	-	0.052
nː	n	0.892
nː	m	0.108
o	o	1.0
p	p	0.758
p	v	0.164
p	-	0.065
r	-	0.544
r	r	0.364
r	ˈiː	0.058
s	s	1.0
sː	ˈɛ_s	0.667
sː	s	0.333
t	t	0.637
t	d	0.333
tː	t	1.0
u	o	0.861
u	u	0.102
v	v	0.843
v	f	0.093
w	w	0.635
w	l	0.162
w	o	0.126
w	-	0.077
z	z	0.805
z	s	0.195
ç	f	1.0
ŋ	ŋ	1.0
ɕ	ʧ	0.558
ɕ	s	0.356
ɖː	l	0.93
ɖː	-	0.07
ɟː	j	0.76
ɟː	-	0.24
ɡ	ɡ	0.656
ɡ	k	0.163
ɡ	ɟ	0.083
ɡ	-	0.057
ɪ	-	0.804
ɪ	i	0.124
ɲ	ɲ	1.0
ɲː	ɲ	0.701
ɲː	n	0.184
ɲː	ʤ	0.115
ɽ	r	1.0
ɾ	r	0.514
ɾ	-	0.386
ɾ	d	0.068
ʃ	s	1.0
ʃː	s	1.0
ʈ	-	0.8
ʈ	t	0.2
ʈː	t	1.0
ʊ	-	0.87
ʊ	i	0.104
ʐ	r	1.0
ʐː	r	1.0
ʤ	-	0.561
ʤ	z	0.282
ʤ	b	0.084
ʤ	ʤ	0.073
ʤː	-	0.5
ʤː	ʧ	0.5
ʦ	ʤ	1.0
ʦː	ʧ	0.539
ʦː	z	0.461
ʧː	ʧ	0.831
ʧː	t	0.169
ˈa	ˈa	0.655
ˈa	ˈaː	0.345
ˈe	ˈe	1.0
ˈi	ˈe	0.379
ˈi	ˈi	0.295
ˈi	ˈeː	0.116
ˈo	ˈu	0.666
ˈo	ˈi	0.167
ˈo	ˈɔ	0.167
ˈu	ˈo	0.388
ˈu	ˈu	0.314
ˈu	ˈoː	0.175
ˈu	ˈuː	0.085
ˈɔ	w	0.297
ˈɔ	ˈɔ	0.227
ˈɔ	ˈuː	0.131
ˈɔ	ˈo	0.093
ˈɔ	v_ˈɔ	0.058
ˈɔ	-	0.057
ˈɛ	j_ˈɛ	0.286
ˈɛ	ˈi	0.25
ˈɛ	ˈiː	0.159
ˈɛ	ˈɛ	0.153
ˈɛ	j	0.104
