Dutch	Dutch	probability
χ_ɾ	ɣ_ʀ	1.0
χ_t	x	1.0
ˈɑ_ɫ	ˈaː	1.0
ˈøː	ˈɒː	1.0
ˈyː	-	1.0
ˈeː_#>	ˈi_#>	1.0
ˈaː_n	ˈʊː_n	1.0
ʋ	β	1.0
ɾ_ˈi	ʀ	1.0
ɾ_t	ʀ_t	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɦ	ɦ	1.0
ə_ɫ	ə_l	1.0
ə_n	ə	1.0
z̥	z̥	1.0
w	-	1.0
v̥	v̥	1.0
v	v	1.0
s_χ	ʃ	1.0
s_t	s	1.0
s	s	1.0
p	p	1.0
n_#>	#>	1.0
m	m	1.0
j	j	1.0
i	i	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
t	t	0.955
ɾ	ʀ	0.932
z	z	0.929
n	n	0.917
k	k	0.917
ə	ə	0.913
ˈi	ˈeː	0.722
ŋ	ŋ	0.692
ˈɛi̯	ˈiː	0.667
ˈœy̯	ˈuː	0.615
ˈʏ	ˈœ	0.571
d_ə	j	0.571
ˈaː	ˈɒː	0.522
χ	ɣ	0.462
ˈeː	ˈɛː	0.462
ˈeː	ˈeː	0.462
ˈɪ	ˈɪː	0.458
ˈɔ	ˈɔ	0.44
ˈɑ	ˈɑ	0.438
ˈʏ	-	0.429
d_ə	j_ə	0.429
ˈɑu̯	ˈɔu̯	0.4
ˈɑu̯	ˈaː_j	0.4
ˈu	ˈʊː	0.375
ˈu	ˈøː	0.375
ˈɔ	ˈʊː	0.36
ŋ	ŋ_k	0.308
ˈaː	ˈaː	0.304
χ	ɣ̊	0.282
ˈɑ	ˈaː	0.281
ˈɛ	ˈæː	0.25
ˈu	ˈoː	0.25
ˈoː	ˈʊː	0.242
ˈœy̯	ˈœi̯	0.231
ˈɑ	ˈɑː	0.219
ˈoː	ˈu	0.212
ˈɛi̯	ˈɛː	0.2
ˈɑu̯	w	0.2
ˈɪ	ˈɪ	0.167
ˈɪ	ˈɛ	0.167
ˈi	ˈi	0.167
ˈœy̯	ˈɔu̯	0.154
ˈoː	ˈɔː	0.152
ˈɛ	ˈɪ	0.15
ˈɛ	ˈɛ	0.15
ˈɛ	ˈeː	0.15
ˈɛi̯	ˈɛːi̯	0.133
ˈɪ	ˈeː	0.125
ˈoː	ˈoː	0.121
ˈi	ˈiː	0.111
χ	k	0.103
ˈɛ	ˈɛː	0.1
ˈɛ	ˈæ	0.1
ˈɛ	ˈaː	0.1
ˈoː	ˈøː	0.091
ˈoː	ˈyː	0.091
ˈoː	-	0.091
ˈaː	ˈi	0.087
ˈaː	-	0.087
ə	j	0.087
ˈɪ	ˈi	0.083
n	ə	0.083
k	ə_k	0.083
ˈɔ	ˈɔː	0.08
ˈɔ	ˈœː	0.08
ˈeː	ˈi	0.077
z	-	0.071
ɾ	ʀ_ə	0.068
ˈɑ	ˈæ	0.062
χ	ɡ	0.051
χ	ə_ɣ̊	0.051
χ	x	0.051
