Old Norse	Northern Low Saxon	probability
a	n	0.465
a	-	0.267
a	ˈuː	0.267
b	b	0.924
b	-	0.076
c	ʃ	0.812
c	ɡ	0.144
cʰ	kʰ	1.0
cː	ɡ	1.0
d	d	0.809
d	-	0.154
f	f	0.961
h	h	0.973
i	ɐ	0.669
i	-	0.321
j	ˈaɪ̯	0.44
j	-	0.222
j	ˈɛ	0.073
j	ˈeɪ̯	0.071
j	ˈɔ	0.063
k	ɡ	0.621
k	-	0.294
k	ʃ	0.058
kʰ	kʰ	0.833
kʰ	f	0.167
kː	ɡ	0.748
kː	k	0.252
l	l	0.931
l	-	0.069
lː	l	1.0
l̥	l	1.0
m	m	0.982
mː	f	0.667
mː	m	0.333
n	n	0.865
n	-	0.135
nː	n	0.835
nː	-	0.139
p	b	0.653
p	p	0.347
pː	b	1.0
r	-	0.438
r	ɐ	0.426
r	r	0.136
rː	ɐ	0.81
rː	ç	0.133
rː	ˈeɪ̯	0.057
r̥	r	1.0
s	z	0.388
s	s	0.266
s	ʃ	0.212
s	-	0.118
sː	s	1.0
t	d	0.717
t	t	0.21
t	-	0.073
tʰ	tʰ	0.879
tʰ	b	0.121
tː	ç	0.512
tː	x	0.423
tː	t	0.052
u	-	0.348
u	n	0.305
u	ɪ	0.265
v	v	0.509
v	m	0.229
v	f	0.166
v	s	0.053
w	ˈɪ	0.516
w	-	0.484
x	v	1.0
ç	h	1.0
ð	d	0.741
ð	-	0.23
ŋ	ŋ	0.765
ŋ	-	0.162
ŋ	n	0.073
ɑ	n	0.784
ɑ	-	0.17
ɑː	aɪ̯	1.0
ɟ	ɡ	0.663
ɟ	j	0.227
ɟ	-	0.11
ɟː	ç	1.0
ɡ	ɡ	0.414
ɡ	-	0.36
ɡ	ç	0.227
ɡː	-	0.421
ɡː	ç	0.368
ɡː	ɡ	0.211
ɣ	ç	0.303
ɣ	x	0.299
ɣ	ɡ	0.147
ɣ	ŋ	0.13
ɣ	-	0.069
ɣ	d	0.051
ɾ	t	1.0
ʝː	ŋ	1.0
ʦ	d	1.0
ˈa	ˈa	0.562
ˈa	ˈoː	0.438
ˈe	ˈeː	0.302
ˈe	ˈɪ	0.236
ˈe	ˈɛ	0.116
ˈe	ˈoː	0.084
ˈe	ˈø	0.076
ˈe	ˈœː	0.071
ˈe	ˈeɪ̯	0.059
ˈe	ˈœ	0.055
ˈeː	ˈiː	0.5
ˈeː	ˈaɪ̯	0.169
ˈeː	ˈɛ	0.094
ˈeː	ˈɪ	0.088
ˈeː	ˈaʊ̯	0.079
ˈeː	ˈɛː	0.071
ˈi	ˈɪ	0.703
ˈi	ˈiː	0.153
ˈi	ˈø	0.082
ˈi	ˈeː	0.062
ˈiː	ˈiː	0.717
ˈiː	ˈaɪ̯	0.106
ˈiː	ˈɪ	0.084
ˈiː	ˈeː	0.057
ˈo	ˈaʊ̯	0.469
ˈo	ˈɔʏ̯	0.129
ˈo	ˈoː	0.11
ˈo	ˈøː	0.076
ˈo	ˈʊ	0.076
ˈo	ˈɔ	0.064
ˈoː	-	0.508
ˈoː	ˈaʊ̯	0.181
ˈoː	r	0.095
ˈoː	ˈɪ	0.065
ˈu	ˈʊ	0.414
ˈu	ˈʏ	0.223
ˈu	v_ˈʊ	0.15
ˈu	ˈœː	0.051
ˈuː	ˈuː	0.464
ˈuː	-	0.442
ˈuː	ˈyː	0.095
ˈy	ˈʏ	0.296
ˈy	ˈɪ	0.25
ˈy	ˈaʊ̯	0.187
ˈy	ˈøː	0.164
ˈy	ˈɔ	0.058
ˈyː	ˈyː	0.284
ˈyː	ˈiː	0.206
ˈyː	ˈaʊ̯	0.185
ˈyː	ˈøː	0.185
ˈyː	ˈaɪ̯	0.123
ˈøy̯	ˈɔʏ̯	0.762
ˈøy̯	ˈaʊ̯	0.238
ˈøː	ˈɔʏ̯	0.842
ˈøː	ˈeː	0.118
ˈɑ	ˈa	0.437
ˈɑ	ˈoː	0.18
ˈɑ	ˈaː	0.173
ˈɑ	-	0.093
ˈɑu̯	ˈaʊ̯	0.732
ˈɑu̯	ˈoː	0.174
ˈɑu̯	ˈøː	0.094
ˈɑː	ˈoː	0.501
ˈɑː	ˈaʊ̯	0.289
ˈɑː	ˈa	0.126
ˈɑː	-	0.051
ˈɒu̯	-	0.727
ˈɒu̯	ˈɔʏ̯	0.174
ˈɒu̯	ˈaʊ̯	0.1
ˈɔ	ˈoː	0.328
ˈɔ	ˈeː	0.194
ˈɔ	ɐ	0.168
ˈɔ	-	0.16
ˈɔ	ˈa	0.062
ˈɔː	ˈaʊ̯	1.0
ˈɛ	ˈa	0.26
ˈɛ	ˈaɪ̯	0.179
ˈɛ	ˈʏ	0.115
ˈɛ	ˈeː	0.109
ˈɛ	ˈøː	0.109
ˈɛ	ˈɛ	0.105
ˈɛ	ˈaː	0.082
ˈɛi̯	ˈaɪ̯	0.669
ˈɛi̯	ˈɪ	0.227
ˈɛi̯	ˈɛɪ̯	0.104
ˈɛː	ˈa	0.572
ˈɛː	ˈoː	0.285
ˈɛː	ˈaɪ̯	0.143
θ	d	1.0
