English	Danish	probability
b	b̥	0.899
b	b̥_j	0.085
d	d̥	0.34
d	-	0.297
d	ð̞ˠ	0.22
d	ð̞ˠ_ə	0.116
d	ə_ð̞ˠ	0.028
f	f	0.716
f	w	0.119
f	-	0.11
f	v	0.051
h	h	0.919
h	-	0.071
j	ˈɔˀ	0.243
j	ˈuˀ	0.242
j	ˈyˀ	0.148
j	-	0.148
k	k	0.417
k	j	0.417
k	w	0.062
k	-	0.062
kʰ	kʰ	1.0
l	l	0.945
l	ˈɒː	0.055
m	m	0.845
m	mˀ	0.097
m	wˀ	0.056
n	n	0.734
n	-	0.141
n	nˀ	0.077
n	m	0.028
n	ŋ	0.027
n_d	nˀ	1.0
p	b̥	0.498
p	-	0.212
p	b̥_ə	0.184
p	p	0.063
pʰ	pʰ	0.215
s	s	1.0
t	ð̞ˠ	0.458
t	t	0.435
t	s	0.04
t	nˀ	0.04
t	-	0.031
tʰ	ʦʰ	1.0
v	w	0.431
v	-	0.199
v	mˀ	0.15
v	v	0.15
v	wˀ	0.042
w	ʋ	0.506
w	-	0.293
w	ˈo	0.123
w	v	0.041
w	ˈyː	0.034
z	s_ə	0.644
z	s	0.226
ð	-	0.774
ð	d̥	0.115
ð	n	0.05
ŋ	ŋˀ	0.676
ŋ	ŋ_ə	0.323
ŋ_k	k	1.0
ə	ɐ	0.694
ə	-	0.21
ə	ə	0.079
ə	lˀ	0.024
əʊ̯	-	0.392
əʊ̯	ə	0.392
əʊ̯	w	0.111
ɡ	ɡ̊	0.866
ɡ	-	0.133
ɪ	i	0.282
ɪ	e	0.245
ɪ	ə	0.186
ɪ	ˈɛ	0.119
ɪ	-	0.076
ɫ	l	0.578
ɫ	lˀ	0.41
ɹ	ʁ	0.918
ɹ	-	0.052
ɹ	ɐˀ	0.036
ʃ	s_k	0.907
ʃ	f	0.068
ʤ	ɡ̊	1.0
ʧ	kʰ	0.45
ʧ	-	0.197
ʧ	k	0.182
ˈaɪ̯	ˈiˀ	0.235
ˈaɪ̯	ˈɛ	0.165
ˈaɪ̯	ˈiː	0.155
ˈaɪ̯	ˈuˀ	0.098
ˈaɪ̯	ˈyˀ	0.065
ˈaʊ̯	ˈuˀ	0.474
ˈaʊ̯	ˈoˀ	0.168
ˈaʊ̯	ˈu	0.168
ˈaʊ̯	ˈɔ	0.096
ˈaʊ̯	ˈuː	0.069
ˈe	ˈeˀ	0.165
ˈe	ˈœˀ	0.129
ˈe	ˈe	0.113
ˈe	ˈøː	0.055
ˈe	ˈyˀ	0.055
ˈeɪ̯	ˈa	0.19
ˈeɪ̯	ˈɔˀ	0.109
ˈeɪ̯	ˈʌ	0.109
ˈeɪ̯	jˀ	0.09
ˈeɪ̯	ˈiː	0.08
ˈiː	ˈœˀ	0.17
ˈiː	ˈɔˀ	0.083
ˈiː	ˈeˀ	0.083
ˈiː	ˈyˀ	0.072
ˈiː	ˈœ	0.072
ˈuː	ˈoˀ	0.242
ˈuː	-	0.223
ˈuː	ˈʌ	0.147
ˈuː	ˈa	0.101
ˈuː	ˈɔˀ	0.101
ˈæ	ˈɛ	0.3
ˈæ	ˈɑ	0.235
ˈæ	ˈeː	0.135
ˈæ	ˈa	0.122
ˈæ	ˈɛː	0.086
ˈɐ	ˈɔ	0.178
ˈɐ	ˈʌ	0.155
ˈɐ	ˈoˀ	0.102
ˈɐ	ˈœ	0.102
ˈɐ	ˈu	0.102
ˈɑː	ˈa	0.276
ˈɑː	ˈɛ	0.221
ˈɑː	ˈeˀ	0.168
ˈɑː	ˈɑː	0.102
ˈɑː	ˈɑˀ	0.066
ˈɒ	ˈa	0.202
ˈɒ	ˈœ	0.202
ˈɒ	ˈɑ	0.202
ˈɒ	ˈu	0.129
ˈɒ	ˈɛ	0.123
ˈɔː	ɐˀ	0.443
ˈɔː	ˈa	0.153
ˈɔː	ˈiː	0.088
ˈɔː	ˈɔˀ	0.067
ˈɔː	ˈɛ	0.066
ˈəʊ̯	ˈeˀ	0.433
ˈəʊ̯	ˈɛː	0.105
ˈəʊ̯	ˈoː	0.105
ˈəʊ̯	ˈɛˀ	0.078
ˈəʊ̯	ˈʌ	0.074
ˈɛ	ˈɑː	0.488
ˈɛ	ˈœˀ	0.226
ˈɛ	ˈɒˀ	0.064
ˈɜː	ɐˀ	0.723
ˈɜː	ˈi	0.192
ˈɪ	ˈe	0.235
ˈɪ	ˈiˀ	0.135
ˈɪ	ˈœ	0.109
ˈɪ	ˈy	0.073
ˈɪ	ˈyˀ	0.066
ˈʊ	ˈu	0.53
ˈʊ	ˈoˀ	0.461
θ	ʦʰ	0.548
θ	nˀ	0.178
θ	ʨ	0.077
θ	-	0.075
θ	ð̞ˠ	0.062
