English	Danish	probability
kʰ	kʰ	1.0
l	l	1.0
pʰ	pʰ	1.0
s	s	1.0
tʰ	ʦʰ	1.0
ð	-	1.0
ɡ	ɡ̊	1.0
ʃ	s_k	1.0
ʤ	ɡ̊	1.0
ʧ	-	1.0
ˈuː	ˈoˀ	1.0
ˈɛ	ˈɛ	1.0
ˈɜː	ɐˀ	1.0
ˈʊ	ˈoˀ	1.0
f	w	0.051
j	ɡ̊	0.331
m	m	0.681
v	-	0.541
w	-	0.111
ŋ	ŋ_ə	0.301
ˈæ	ˈɛ	0.31
ˈɑː	ˈa	0.541
θ	ʦʰ	0.631
d	d̥	0.32
j	-	0.292
v	w	0.192
ŋ	ŋˀ	0.692
ə	ə	0.132
ə	-	0.172
ɪ	i	0.472
ˈiː	ˈeˀ	0.112
ˈæ	ˈɑ	0.52
ˈəʊ̯	ˈɔˀ	0.122
n	n_ə	0.133
p	b̥	0.873
t	ð̞ˠ_ə	0.193
z	ə_#>	0.263
ɹ	ʁ	0.963
ˈaɪ̯	ˈyˀ	0.093
ˈe	ˈe	0.33
ˈiː	ˈɛˀ	0.053
ˈiː	ˈœ	0.13
ˈəʊ̯	ˈɛˀ	0.093
ˈɪ	ˈe	0.343
k	-	0.464
m	m_ə	0.214
n	nˀ	0.214
n	n	0.654
t	t	0.374
ɫ	lˀ	0.444
ˈaɪ̯	ˈe	0.224
ˈaʊ̯	ˈoˀ	0.14
ˈe	ˈeˀ	0.224
ˈiː	ˈiˀ	0.054
ˈɔː	ˈa	0.054
ˈɔː	ɐˀ	0.4
ˈɪ	ˈeˀ	0.054
ˈɪ	ˈœ	0.134
ˈɪ	ˈø	0.154
d	ð̞ˠ	0.345
h	j	0.075
h	h	0.925
m	mˀ	0.105
ˈeɪ̯	j	0.325
ˈeɪ̯	ˈɑ_jˀ	0.675
ˈəʊ̯	ˈeˀ	0.785
ˈɪ	ˈy	0.075
b	b̥	0.96
f	f	0.936
t	ð̞ˠ	0.386
ɫ	l	0.556
ˈaɪ̯	ˈɛ	0.136
ˈaʊ̯	ˈuˀ	0.86
ˈiː	ˈyˀ	0.06
ˈiː	j	0.06
ˈiː	ˈɔˀ	0.116
ˈɐ	ˈœ	0.086
ˈɔː	ˈo_ɐˀ	0.546
ˈɪ	ˈiˀ	0.126
d	ð̞ˠ_ə	0.187
j	ˈɔˀ	0.377
k	j	0.277
p	p	0.127
v	w_ə	0.267
w	ʋ	0.857
ə	ʌ	0.217
ˈaɪ̯	ˈiː	0.077
ˈaɪ̯	ˈiˀ	0.367
ˈiː	ˈœˀ	0.297
ˈæ	ˈa	0.17
ˈɐ	ˈɔ	0.197
d	-	0.148
k	k	0.258
z	s_ə	0.678
ə	ɐ	0.48
ɪ	e	0.528
ˈiː	ˈøː	0.118
z	ɐ_#>	0.059
ˈe	ə	0.149
ˈe	ˈɛ	0.149
ˈe	ˈœˀ	0.149
ˈɐ	ˈuː	0.079
ˈɐ	ˈʌ	0.639
ˈɑː	ˈɑˀ	0.459
θ	-	0.369
