Sassarese	Sassarese	probability
β_u	v_u	1.0
β_i	v_ɨ	1.0
ˈɛ_rː	ˈɛ_ʁ	1.0
ˈɛ_n	ˈẽ	1.0
ˈɔ_ɬ	ˈɔ_ɾ	1.0
ˈɔ_n	ˈõ	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_n	ˈĩ	1.0
ˈe_#>	ˈe_ɾ_#>	1.0
ˈa_ŋ	ˈɐ̃	1.0
ˈa_n	ˈɐ̃	1.0
ʧː	ʎ	1.0
ʧ	ʃ	1.0
ʦ_i	ʃ	1.0
ʤː	-	1.0
ʤ	ʒ	1.0
ʣ	j	1.0
ʒ	-	1.0
ʎː	ʎ	1.0
ɮ	-	1.0
ɡː	ɣ	1.0
ɔ	ɐ̃_w̃	1.0
ŋ	-	1.0
x	ʃ_k	1.0
w	w	1.0
v	v	1.0
u_r	w	1.0
u_n	õ	1.0
u_#>	#>	1.0
t_r	t_ɾ	1.0
t	t	1.0
s	s	1.0
rː	ɾ_n	1.0
r_a	ɾ_ɐ	1.0
pː	ʃ_p	1.0
nː	-	1.0
n_u	w̃	1.0
n_i	w̃	1.0
mː	m	1.0
lː	-	1.0
l	l	1.0
kː	k	1.0
k	k	1.0
j_#>	ʃ_#>	1.0
i_d	ˈe	1.0
i_#>	#>	1.0
fː	f	1.0
f_j	ʃ	1.0
f	f	1.0
e	-	1.0
bː	β	1.0
a_r	ɾ	1.0
a_n	ɐ̃	1.0
<#_u	<#_i	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
a	ɐ	0.897
m	m	0.864
u	u	0.829
p	p	0.824
ʦ	s	0.818
<#_i	<#_i	0.778
dː	ð	0.765
ˈi	ˈi	0.759
ɲː	ɲ	0.75
ʦː	s	0.714
sː	s	0.714
dː_u	l_u	0.714
b	b	0.714
ˈu	ˈu	0.7
ˈa	ˈa	0.69
ˈi_#>	ɾ_#>	0.667
r_i	ɾ	0.667
ɬ	ʃ	0.625
#>	ɾ_#>	0.609
xː	k	0.6
r	ɾ	0.6
n_a	ɐ	0.6
<#_ˈa	<#_ˈa	0.6
d	d	0.577
β	v	0.571
ɡ	ɣ	0.571
i	ɨ	0.545
ˈɔ	ˈo	0.5
ˈo	ˈo	0.5
ʃː	ʃ	0.5
ʃː	-	0.5
z	z	0.5
z	-	0.5
r_u	ɾ_u	0.5
r_u	u	0.5
tː	j_t	0.462
ˈe	ˈɛ	0.458
β	β	0.429
ɡ	ɡ	0.429
j	j	0.412
xː	ʃ_k	0.4
n_a	j_ɐ	0.4
<#_ˈa	<#_ɐ	0.4
tː	t	0.385
ɬ	-	0.375
n	ɲ	0.353
j	ɾ	0.353
ˈɔ	ˈɔ	0.342
ˈɛ	ˈɛ	0.333
ˈi_#>	#>	0.333
ˈe	ˈe	0.333
r_i	ɫ	0.333
n	-	0.294
ʦː	ɫ_s	0.286
sː	-	0.286
dː_u	u	0.286
b	v	0.286
d	-	0.269
#>	ʃ_#>	0.261
ɲː	ʒ	0.25
ˈɛ	ˈe	0.238
j	-	0.235
dː	l	0.235
<#_i	<#	0.222
ˈo	ˈɔ	0.214
ˈe	ˈɐ	0.208
r	-	0.2
ˈɛ	ˈɐ	0.19
ʦ	-	0.182
ˈi	ˈe_ɾ	0.172
tː	ð	0.154
d	ð	0.154
ˈu	ˈo	0.15
ˈu	-	0.15
ˈɛ	ˈɐ_j	0.143
#>	j̃_#>	0.13
ˈa	ˈɐ̃	0.121
r	w	0.12
n	ˈõ	0.118
n	ɐ	0.118
n	n	0.118
u	ɨ	0.11
i	j	0.109
i	-	0.109
ˈo	ˈõ	0.107
ˈo	-	0.107
ˈa	ˈɐ	0.103
ˈɛ	ˈẽ	0.095
m	-	0.091
i	u	0.091
p	β	0.088
p	ʃ	0.088
r	ʁ	0.08
a	-	0.074
ˈo	ˈɐ̃	0.071
ˈi	ˈe	0.069
ˈɔ	ˈu	0.053
ˈɔ	ˈo_ɾ	0.053
ˈɔ	-	0.053
ˈa	-	0.052
