Québécois French	Lombard	probability
f	f	1.0
œ̃ʏ̯̃	ˈỹː	1.0
ɲ	ɲ	1.0
ʃ	k	1.0
ʏ	ˈy	1.0
ʣ	d	1.0
a	a	0.421
ã	ã	0.211
e	ˈaː	0.061
k	k	0.961
u	ˈu	0.281
w	e	0.171
æɛ̯	ʋ	0.051
æɛ̯	ˈa	0.491
ɑ	a	0.431
ɒ̃ʊ̯̃	-	0.101
ɒ̃ʊ̯̃	ˈũː	0.661
ɔ	ˈu	0.11
ɔ	ˈɔ	0.21
ɛ	ˈeː	0.1
ɛ	ˈˈi	0.1
ɛ	a	0.101
ɛ	-	0.291
ʊ	ˈuː	0.571
a	-	0.072
ã	ˈɛ̃ː	0.142
j	ʧ	0.112
j	a	0.212
n	n	0.842
oʊ̯	ˈaː	0.142
s	ʦ	0.062
s	ʧ	0.222
t	s_t	0.2
u	ˈø	0.192
y	ˈu	0.442
z	ʧ	0.162
z	ʃ	0.312
z	z	0.402
ʁ	-	0.052
ʁ	r	0.92
ʦ	t	0.892
ẽɪ̯̃	ˈeː	0.053
ẽɪ̯̃	ˈĩː	0.193
i	-	0.163
j	j	0.413
m	n	0.13
t	t	0.603
v	ʋ	0.93
øʏ̯	-	0.443
ɡ	ɡ	0.943
ɥ	ˈu	0.063
ʒ	ʤ	0.73
ã	ˈãː	0.324
e	ˈa	0.664
i	ʋ	0.094
i	ˈe	0.214
l	j	0.184
z	d	0.124
øʏ̯	ˈyː	0.094
øʏ̯	ˈø	0.224
ɑɔ̯	ˈɔ	0.764
ɛ	ˈɛ	0.164
ɪ	-	0.394
ɪ	ˈi	0.524
a	ˈo	0.085
aœ̯	ˈøː	0.365
aœ̯	ˈyː	0.635
b	-	0.075
b	b	0.925
d	d	0.805
ẽɪ̯̃	ˈũː	0.065
l	l	0.745
n	ɲ	0.05
o	ˈu	0.395
o	ˈɔ	0.605
u	ˈɔ	0.05
w	ˈi	0.115
æɛ̯	-	0.065
œ	ˈø	0.175
œ	i	0.265
ɛɪ̯	ˈe	0.5
ɛɪ̯	ˈɛ	0.5
ɥ	ʦ	0.165
ɥ	ˈy	0.465
ã	ˈɛ	0.06
y	ˈy	0.076
y	ˈyː	0.226
y	ˈi	0.226
æɛ̯	ˈe	0.076
ɑɔ̯	u	0.236
ɛ	ˈe	0.086
d	n	0.097
d	ʦ	0.097
e	i	0.117
e	a	0.117
j	-	0.177
m	m	0.87
s	ʃ	0.067
u	o	0.077
u	ˈyː	0.117
u	u	0.117
u	ˈy	0.127
w	ˈu	0.257
øʏ̯	ˈu	0.067
ɒ̃ʊ̯̃	ũ	0.17
ɡ	ʤ	0.057
ʒ	-	0.057
a	ˈa	0.398
s	-	0.068
æɛ̯	ˈɛ	0.178
œ	ʋ	0.08
œ	ˈøː	0.098
œ	e	0.308
ɔ	u	0.658
ʦ	m	0.108
ã	ˈẽː	0.239
ẽɪ̯̃	ɲ	0.189
ẽɪ̯̃	ˈãː	0.419
i	ˈi	0.419
n	ĩ	0.059
oʊ̯	ˈɔ	0.09
oʊ̯	ˈa	0.179
oʊ̯	ˈɛ	0.589
p	p	0.979
s	s	0.559
t	s	0.119
w	-	0.289
æɛ̯	ˈaː	0.089
øʏ̯	ˈøː	0.069
øʏ̯	ˈɔ	0.069
ɑ	ˈa	0.569
ɒ̃ʊ̯̃	ˈo	0.069
ɥ	ˈi	0.129
ɥ	ˈø	0.179
ɪ	ˈe	0.059
ʊ	ˈu	0.429
ʒ	s	0.069
ʒ	ʧ	0.099
