East Frisian Low Saxon	Yiddish	probability
χ	χ	1.0
ˈʊə̯	-	1.0
ˈɪə̯	-	1.0
ˈɛə̯	ˈɔ	1.0
ˈɔː	ˈɔ	1.0
ˈɒːɒ̯	ˈa	1.0
ˈɑːʊ̯	-	1.0
ˈɑʊ̯	ˈʊ	1.0
ˈɑɪ̯	ˈɛ	1.0
ˈœːy̯	ˈʊ	1.0
ˈœy̯	ˈɪ	1.0
ˈøːø̯	ˈʊ	1.0
ˈøy̯	ˈʊ	1.0
ˈæːɪ̯	-	1.0
ˈæː	ˈɪ	1.0
ˈyː	ˈaɪ̯	1.0
ˈuːu̯	ˈɔɪ̯	1.0
ˈoːo̯	ˈɔɪ̯	1.0
ˈeːe̯	ˈɛ	1.0
ˈeː	ˈɛ	1.0
ʊ	ˈʊ	1.0
ɣ̊	k	1.0
ɡ̊	ɪ_ɡ	1.0
ə	-	1.0
ɑɪ̯	ˈaɪ̯_ʦ	1.0
ɐ_n	ʀ_n	1.0
z̥	ˈɔ_z	1.0
w	v	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
s	ʃ	1.0
r	ʀ	1.0
p_n	f_n	1.0
o	ˈa	1.0
m	m	1.0
l	ɫ	1.0
k_n	χ_n	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d_r	t_ʀ	1.0
b	b	1.0
ɡ	ɡ	0.881
ˈɑ	ˈa	0.854
ˈʊ	ˈʊ	0.85
z	z	0.847
ˈɪ	ˈɪ	0.837
v	v	0.801
ˈuː	ˈɔɪ̯	0.781
ˈɑː	ˈa	0.778
n	n	0.753
k	k	0.753
d̥	t	0.728
ˈiː	ˈaɪ̯	0.723
ˈɛ	ˈɛ	0.707
ˈʏ	ˈɪ	0.667
ˈɒː	ˈɔ	0.666
ˈɑːɑ̯	ˈa	0.652
p	f	0.648
ŋ	ŋ	0.645
ˈoː	ˈɔɪ̯	0.642
ˈɔ	ˈɔ	0.6
d	d	0.592
ˈæɪ̯	ˈɛɪ̯	0.591
ˈœ	ˈʊ	0.56
t	s	0.523
ˈœ	-	0.44
d	t	0.408
ɐ	ə_ʀ	0.407
ɐ	ʀ	0.402
ŋ	ŋ_ɡ	0.355
p	p	0.352
ˈɑːɑ̯	-	0.348
ˈøː	ˈɔɪ̯	0.334
t	t	0.334
ˈʏ	-	0.333
ˈøː	ˈɛ	0.331
ˈɛ	ˈɪ	0.293
ˈiː	ˈɪ_ʀ	0.277
d̥	d	0.272
ˈæɪ̯	ˈɪ	0.264
k	χ	0.247
ˈɑː	-	0.222
ˈuː	-	0.219
ˈoː	ˈɔ	0.214
ˈɔ	ˈʊ	0.2
ˈɔ	ˈa	0.2
ˈøː	ˈʊ	0.199
v	b	0.199
ˈɒː	ˈa	0.168
ˈɒː	-	0.166
ɐ	ʀ_ə	0.161
z	-	0.153
ˈʊ	ˈɔ	0.15
ˈæɪ̯	-	0.145
ˈoː	-	0.144
t	ʦ	0.143
ˈøː	-	0.136
ɡ	-	0.119
ˈɪ	-	0.112
n	n_ə	0.086
ˈɑ	ˈɛ	0.073
ˈɑ	ˈɔ	0.073
ˈɪ	ˈaɪ̯	0.052
n	n_d	0.051
