Afrikaans	Westphalian	probability
#>	#>	0.73
#>	n_#>	0.122
#>	ə_#>	0.087
<#	<#	1.0
b	b	0.984
d	d	0.846
d	-	0.147
f	f	0.909
f	v	0.083
j	j	0.491
k	k	0.931
k	-	0.068
m	m	1.0
n	n	0.954
p	p	0.868
p	b	0.132
r	r	0.468
r	ɐ	0.322
r	-	0.19
r_#>	#>	1.0
r_t	t	1.0
s	s	0.525
s	ʃ	0.372
s	z	0.054
s_k	ʃ	1.0
t	t	0.66
t	d	0.262
t	-	0.073
v	w	0.851
v	f	0.083
v	v	0.066
w	w	0.616
w	-	0.187
w	v	0.187
ŋ	ŋ	0.843
ŋ	ç	0.097
ŋ	n	0.059
ə	ɐ	0.538
ə	-	0.23
ə	ɪ	0.151
ə	ə	0.059
ɦ	h	0.981
ɫ	l	0.947
ɫ	ɡ_l	0.051
ˈa	ˈa	0.755
ˈa	-	0.072
ˈa	ˈaː	0.072
ˈi	ˈaɪ̯	0.683
ˈi	ˈiː	0.148
ˈi	ˈeː	0.064
ˈi	ˈø	0.063
ˈoːi̯	ˈaʊ̯	0.241
ˈu	ˈoː	0.458
ˈu	ˈøː	0.443
ˈu	ˈuə̯	0.087
ˈuː	ˈoː	0.491
ˈuːi̯	ˈaʊ̯	1.0
ˈyː	ˈyː	0.491
ˈæ	ˈa	0.372
ˈæ	ˈɪ	0.183
ˈæː	ˈɛː	0.574
ˈæː	ˈɪɛ̯	0.282
ˈœ	ˈʏ	0.784
ˈœ	ˈuːə̯	0.125
ˈœi̯	ˈiː	1.0
ˈœu̯	ˈɔ_l	0.605
ˈœu̯	ˈaʊ̯	0.251
ˈœu̯	ˈʏ	0.092
ˈœɪ̯	ˈuː	0.583
ˈœɪ̯	ˈʊ	0.278
ˈœɪ̯	ˈyː	0.088
ˈɑː	ˈɔː	0.525
ˈɑː	ˈaː	0.16
ˈɑː	ˈiɛ̯	0.063
ˈɑː	ˈɒː	0.063
ˈɑː	ˈɛː	0.063
ˈɑː	ˈœː	0.053
ˈɑː	ˈa	0.053
ˈɔ	ˈʊ	0.525
ˈɔ	ˈɔ	0.161
ˈɔ	ˈuːə̯	0.137
ˈɔ	ˈoː	0.079
ˈɔː	ˈuːə̯	0.372
ˈɔː	ˈaː	0.183
ˈə	ˈɪ	0.921
ˈə	ˈɛ	0.077
ˈəɪ̯	ˈiː	0.75
ˈəɪ̯	ˈeː	0.156
ˈəɪ̯	ˈɪ	0.08
ˈɛ	ˈɛ	0.693
ˈɛ	ˈɪɛ̯	0.184
ˈɛ	ˈʏ	0.098
ˈɛː	ˈɛ	1.0
ˈɪ	ˈɪ	0.491
ˈɪø̯	ˈa	0.361
ˈɪø̯	ˈuːə̯	0.361
ˈɪø̯	ˈɪə̯	0.204
ˈɪə̯	ˈɪɛ̯	0.383
ˈɪə̯	ˈeː	0.301
ˈɪə̯	ˈɪə̯	0.162
ˈɪə̯	ˈɛː	0.086
ˈɪə̯	ˈiə̯	0.055
ˈʊə̯	ˈaʊ̯	0.51
ˈʊə̯	ˈɔː	0.1
ˈʊə̯	ˈœː	0.072
ˈʊə̯	ˈuə̯	0.066
ˈʊə̯	ˈyːœ̯	0.066
ˈʊə̯	ˈøː	0.056
χ	x	0.613
χ	ç	0.189
χ	ɣ	0.097
