Afrikaans	Westphalian	probability
b	b	1.0
d	d	0.839
d	-	0.158
f	f	0.913
f	v	0.087
j	j	0.491
k	k	0.834
k	k_n	0.092
k	-	0.065
l	l	1.0
m	m	1.0
n	n	0.953
n	-	0.03
n	l	0.029
p	p	0.947
p	b	0.052
r	r	0.387
r	-	0.305
r	ɐ	0.267
s	s	0.554
s	ʃ	0.276
s	ʃ_k	0.11
s	z	0.054
s_k	ʃ	1.0
t	t	0.669
t	d	0.21
t	-	0.077
t	d_n	0.041
v	w	0.844
v	f	0.084
v	v	0.07
w	w	0.708
w	-	0.14
w	v	0.085
ŋ	ŋ	0.859
ŋ	ç	0.077
ŋ	n	0.06
ə	ɐ	0.545
ə	-	0.244
ə	ɪ	0.145
ə	ə	0.057
ɦ	h	1.0
ɫ	l	0.932
ɫ	ɡ_l	0.065
ˈa	ˈa	0.76
ˈa	-	0.082
ˈa	ˈaː	0.054
ˈa	ˈɛː	0.038
ˈa	ˈaʊ̯	0.038
ˈi	ˈaɪ̯	0.624
ˈi	ˈiː	0.188
ˈi	ˈɪɛ̯	0.063
ˈi	ˈø	0.061
ˈi	ˈeː	0.06
ˈoːi̯	ˈaʊ̯	0.241
ˈu	ˈoː	0.483
ˈu	ˈøː	0.402
ˈu	ˈuə̯	0.094
ˈuː	ˈoː	0.491
ˈuːi̯	ˈaʊ̯	1.0
ˈyː	ˈyː	0.491
ˈæ	ˈa	0.372
ˈæ	ˈɪ	0.183
ˈæː	ˈɛː	0.574
ˈæː	ˈɪɛ̯	0.282
ˈœ	ˈʏ	0.683
ˈœ	ˈuːə̯	0.221
ˈœi̯	ˈiː	0.491
ˈœu̯	ˈɔ_l	0.641
ˈœu̯	ˈaʊ̯	0.232
ˈœu̯	ˈʏ	0.092
ˈœɪ̯	ˈuː	0.514
ˈœɪ̯	ˈʊ	0.324
ˈœɪ̯	ˈyː	0.088
ˈɑː	ˈɔː	0.558
ˈɑː	ˈaː	0.166
ˈɑː	ˈɛː	0.065
ˈɑː	ˈɒː	0.056
ˈɑː	ˈa	0.055
ˈɔ	ˈʊ	0.48
ˈɔ	ˈɔ	0.164
ˈɔ	ˈuːə̯	0.148
ˈɔ	ˈoː	0.074
ˈɔ	-	0.061
ˈɔː	ˈuːə̯	0.372
ˈɔː	ˈaː	0.183
ˈə	ˈɪ	0.924
ˈə	ˈɛ	0.075
ˈəɪ̯	ˈiː	0.728
ˈəɪ̯	ˈeː	0.168
ˈəɪ̯	ˈɪ	0.096
ˈɛ	ˈɛ	0.718
ˈɛ	ˈɪɛ̯	0.184
ˈɛ	ˈʏ	0.071
ˈɛː	ˈɛ	0.491
ˈɪ	ˈɪ	0.491
ˈɪø̯	ˈuːə̯	0.361
ˈɪø̯	ˈɪə̯	0.361
ˈɪø̯	ˈa	0.204
ˈɪə̯	ˈɪɛ̯	0.406
ˈɪə̯	ˈeː	0.281
ˈɪə̯	ˈɪə̯	0.13
ˈɪə̯	ˈɛː	0.082
ˈɪə̯	ˈiə̯	0.068
ˈʊə̯	ˈaʊ̯	0.546
ˈʊə̯	ˈœː	0.103
ˈʊə̯	ˈɔː	0.074
ˈʊə̯	ˈuə̯	0.068
ˈʊə̯	ˈøː	0.059
χ	x	0.602
χ	ç	0.205
χ	ɣ	0.101
χ	-	0.04
χ	ɡ	0.037
