Romansch	Ladin	probability
#>	#>	0.958
<#	<#	1.0
<#_v	<#	1.0
a	a	0.45
a	e	0.231
a	ˈɛ	0.136
b	b	0.893
b	-	0.102
d	d	0.93
d	t	0.066
eː	e	0.514
f	f	0.967
i	e	0.348
i	-	0.258
i	a	0.148
i	u	0.148
i	i	0.082
j	j	0.653
j	-	0.245
j	w	0.077
k	k	0.909
k	ʨ	0.089
l	l	0.935
m	m	0.923
n	n	0.93
n_#>	#>	0.514
o	o	1.0
p	p	1.0
r	r	0.896
r	-	0.051
r_#>	#>	1.0
s	s	0.83
s_#>	#>	0.514
t	t	0.961
t_#>	#>	1.0
u	o	0.639
u	-	0.129
u	u	0.129
u	i	0.098
v	v	0.83
v	b	0.068
v	-	0.056
w	-	0.438
w	w	0.299
w	k	0.103
w	ˈɔ	0.078
w	ɡ	0.052
w_#>	#>	1.0
z	z	1.0
ŋ	ŋ	0.786
ŋ	ɲ	0.172
ə	a	0.647
ə	e	0.174
ə	-	0.113
ɡ	ɡ	0.806
ɡ	d	0.111
ɡ	-	0.082
ɲ	ɲ	1.0
ʃ	ʃ	0.732
ʃ	ʒ	0.222
ʎ	d_l	0.509
ʎ	j	0.141
ʎ	l	0.126
ʎ	ˈɛ_j	0.093
ʎ	-	0.071
ʒ	ʒ	1.0
ʥ	ʒ	0.266
ʥ	ʥ	0.266
ʥ	j	0.158
ʥ	-	0.104
ʥ	d	0.104
ʥ	ɡ	0.085
ʦ	ʦ	0.675
ʦ	t	0.224
ʧ	ʨ	0.494
ʧ	ʧ	0.423
ʧ	ʃ	0.077
ʨ	ʨ	0.509
ʨ	t	0.26
ʨ	k	0.135
ʨ	-	0.052
ˈa	ˈa	0.468
ˈa	ˈe	0.296
ˈa	ˈɛ	0.164
ˈaː	ˈe	0.623
ˈaː	ˈa	0.189
ˈaː	ˈɛ	0.154
ˈe	ˈe	0.646
ˈe	w	0.114
ˈe	-	0.087
ˈe	a	0.062
ˈe	ˈɛ	0.06
ˈeː	ˈɛ	0.53
ˈeː	ˈe	0.461
ˈi	ˈi	0.585
ˈi	ˈu	0.158
ˈi	ˈe	0.129
ˈi_v	ˈi	1.0
ˈi_ə	ˈɛ	1.0
ˈi_ʎ	ˈi	1.0
ˈiː	ˈi	0.734
ˈiː	ˈu	0.257
ˈo	w	0.2
ˈo	ˈo	0.2
ˈoː	w	0.135
ˈu	ˈo	0.663
ˈu	ˈɔ	0.167
ˈu	ˈu	0.113
ˈuː	ˈo	1.0
ˈɔ	ˈɔ	0.541
ˈɔ	ˈa	0.236
ˈɔ	w	0.211
ˈɔː	ˈɔ	0.667
ˈɔː	ˈa	0.333
ˈɛ	ˈɛ	0.865
ˈɛː	ˈɛ	1.0
