Logudorese	Ligurian	probability
a	a	0.817
a	-	0.146
ă	e	1.0
b	v	0.428
b	b	0.164
b	k_w	0.095
b	p	0.073
b	-	0.066
b	z	0.055
b	ɡ	0.052
d	d	0.953
e	-	0.517
e	e	0.371
ĕ	j	0.861
ĕ	-	0.139
f	f	1.0
i	e	0.289
i	i	0.238
i	-	0.187
i	u	0.187
j	-	0.626
j	i	0.188
j	z	0.101
j	e	0.084
k	k	0.582
k	s	0.238
k	ʧ	0.06
k	ɡ	0.054
l	l	0.636
l	r	0.208
l	-	0.131
m	m	0.753
m	ŋ	0.232
n	ŋ	0.487
n	n	0.377
n	-	0.088
o	u	0.438
o	w	0.283
o	-	0.214
o	j	0.065
ŏ	i	0.389
ŏ	u	0.389
ŏ	ˈiː	0.221
p	p	0.751
p	ʧ	0.169
p	v	0.08
r	-	0.526
r	r	0.34
r	j	0.094
s	s	0.686
s	-	0.236
t	t	0.892
t	-	0.088
u	u	0.84
u	-	0.131
ŭ	i	1.0
v	k	0.914
v	b	0.086
w	w	1.0
z	-	0.763
z	z	0.109
z	ʤ	0.078
ð	-	0.472
ð	t	0.193
ð	d	0.18
ð	ɥ	0.155
ŋ	n	0.543
ŋ	ŋ	0.457
ɖ	l	0.483
ɖ	-	0.457
ɡ	z	0.652
ɡ	ɡ	0.192
ɡ	ʤ	0.156
ɣ	ʒ	0.282
ɣ	ɡ	0.245
ɣ	z	0.182
ɣ	s	0.17
ɣ	-	0.085
ɲ	ɲ	0.325
ɲ	n	0.266
ɲ	-	0.252
ɲ	ˈy	0.156
ʃ	ʃ	0.525
ʃ	-	0.475
ʣ	ʤ	1.0
ʦ	s	0.841
ʦ	t	0.159
ˈa	ˈa	0.635
ˈa	ˈaː	0.196
ˈa	ˈiː	0.071
ˈe	ˈe	0.474
ˈe	ˈeː	0.168
ˈe	ˈɛː	0.147
ˈe	ˈɛ	0.08
ˈe	ˈi	0.057
ˈe	e	0.055
ˈi	ˈi	0.307
ˈi	ˈe	0.279
ˈi	ˈiː	0.11
ˈi	ˈeː	0.091
ˈi	ˈɛ	0.051
ˈo	ˈu	0.295
ˈo	ˈɔː	0.268
ˈo	ˈøː	0.133
ˈo	ˈø	0.099
ˈo	ˈɔ	0.092
ˈu	ˈy	0.264
ˈu	ˈu	0.234
ˈu	ˈuː	0.207
ˈu	ˈyː	0.203
ˈu	ˈø	0.057
β	v	0.847
β	ʤ	0.101
β	-	0.051
