English	Scots	probability
b	b	0.923
b	tʰ	0.077
d	d	1.0
f	f	0.944
h	h	1.0
j	j	1.0
k	k	1.0
kʰ	kʰ	1.0
l	l	0.988
m	m	0.878
m	-	0.122
n	n	1.0
p	p	1.0
pʰ	pʰ	1.0
s	s	1.0
t	t	1.0
tʰ	tʰ	0.927
tʰ	b	0.073
v	v	0.974
w	w	0.804
w	ʍ	0.174
z	z	0.938
z	s	0.062
ð	ð	1.0
ŋ	ŋ	1.0
ə	ə	0.528
ə	r	0.409
əʊ̯	e	1.0
ɜː	ˈe	1.0
ɡ	ɡ	1.0
ɪ	əi̯	0.427
ɪ	ɪ	0.278
ɪ	i	0.161
ɪ	ə	0.134
ɫ	l	0.634
ɫ	ɫ	0.272
ɫ	-	0.094
ɹ	r	0.94
ʃ	ʃ	0.858
ʃ	s	0.142
ʤ	ɡ	1.0
ʧ	ʧ	0.812
ʧ	k	0.188
ˈaɪ̯	ˈəi̯	0.632
ˈaɪ̯	ˈɪ_x	0.203
ˈaɪ̯	ˈaːɪ̯	0.085
ˈaɪ̯	ˈiː	0.054
ˈaʊ̯	ˈʉ	1.0
ˈe	ˈɛ	0.579
ˈe	ˈei̯	0.235
ˈe	ˈiː	0.087
ˈeɪ̯	ˈe	0.543
ˈeɪ̯	ˈeː	0.236
ˈeɪ̯	ˈɑː	0.101
ˈeɪ̯	ˈəi̯	0.074
ˈiː	ˈiː	0.607
ˈiː	ˈei̯	0.131
ˈiː	ˈɛ	0.084
ˈiː	iː	0.069
ˈiː	ˈi	0.059
ˈuː	ˈø	0.687
ˈuː	ˈiː	0.185
ˈuː	ˈʉ	0.108
ˈæ	ˈɑ	0.475
ˈæ	ˈɑː	0.299
ˈæ	ˈɛ	0.121
ˈæ	ˈʌ	0.059
ˈɐ	ˈʌ	0.559
ˈɐ	ˈʉ	0.155
ˈɐ	ˈɔ	0.148
ˈɑː	ˈɛ_r	0.476
ˈɑː	ˈɑː	0.268
ˈɑː	ˈe	0.149
ˈɑː	ˈɛ	0.062
ˈɒ	ˈɔ	0.385
ˈɒ	ˈɑ	0.281
ˈɒ	ˈɑː	0.139
ˈɒ	ˈe	0.098
ˈɒ	ˈɪ	0.098
ˈɔː	ˈɔ_r	0.684
ˈɔː	ˈɑ	0.079
ˈɔː	ˈɑː	0.064
ˈɔː	ˈɔ	0.052
ˈəʊ̯	ˈe	0.487
ˈəʊ̯	ˈɑː	0.204
ˈəʊ̯	ˈʌʉ̯	0.159
ˈəʊ̯	ˈeː	0.059
ˈəʊ̯	ˈɑ	0.058
ˈɛ	ˈe	0.556
ˈɛ	ˈɛ	0.367
ˈɛ	ˈei̯	0.077
ˈɜː	ˈɪ_r	0.816
ˈɜː	ˈɔ	0.184
ˈɪ	ˈɪ	0.709
ˈɪ	ˈe	0.067
ˈɪ	ˈei̯	0.06
ˈɪ	ˈi	0.06
ˈɪ	ˈɛ	0.053
ˈʊ	ˈɔ	0.298
ˈʊ	ˈʉ	0.264
ˈʊ	ˈø	0.259
ˈʊ	ˈɪ	0.179
θ	θ	0.937
θ	d	0.063
