Ligurian	Ladin	probability
b	b	1.0
f	f	1.0
y	u	1.0
ɔː	u	1.0
ɥ	o	1.0
ɲ	ɲ	1.0
i	j	0.131
j	-	0.201
n	n	0.911
z	ʤ	0.181
ʒ	-	0.081
ʧ	p	0.401
ʧ	k	0.461
ˈi	ˈe	0.091
ˈu	-	0.091
ˈy	l_ˈu	0.291
ˈyː	ˈu	0.851
r	r	0.862
w	o	0.202
ŋ	ŋ	0.122
ʃ	f	0.352
ˈe	ˈe	0.662
ˈeː	ˈa	0.062
ˈeː	e	0.102
ˈu	ˈɔ	0.382
ˈø	a	0.102
m	m	0.973
t	t	0.863
u	l	0.083
v	p	0.063
v	f	0.083
v	-	0.103
ɡ	ɡ	0.473
ʤ	d	0.243
ˈaː	ˈo	0.083
ˈe	ˈɛ	0.3
ˈeː	-	0.103
ˈeː	ˈɛ	0.173
ˈiː	j	0.123
ˈiː	-	0.133
ˈy	ˈu	0.633
l	j_l	0.054
p	p	0.934
w	ˈo	0.14
ˈaː	ˈe	0.354
ˈiː	ˈi	0.744
ˈuː	l_ˈo	0.074
ˈø	ˈɛ	0.134
ˈøː	ˈɔ	0.274
ˈɔː	ˈa_w	0.064
ˈɛ	e	0.14
ˈɛː	ˈe	0.214
a	-	0.065
a	a	0.935
d	t	0.055
j	o	0.075
j	j	0.465
k	k	0.435
u	-	0.765
ŋ	n	0.835
ɡ	ʨ	0.055
l	l	0.946
t	d	0.066
z	z	0.116
ʤ	ʥ	0.06
ˈaː	ˈɛ	0.216
ˈeː	j	0.106
ˈeː	j_ˈɛ	0.316
ˈuː	ˈo	0.926
ˈy	ˈe	0.076
ˈø	w	0.526
ˈøː	w	0.726
d	d	0.847
e	ˈe	0.057
j	r	0.147
s	s	0.477
z	ʒ	0.577
ɡ	-	0.307
ʃ	s	0.37
ʒ	ʒ	0.427
ʧ	ʧ	0.137
ˈa	ˈa	0.97
ˈaː	ˈa	0.307
ˈɔː	w	0.077
ˈɛː	ˈɛ	0.637
d	-	0.098
e	-	0.068
e	e	0.818
i	i	0.28
k	ʨ	0.498
s	ʧ	0.068
s	ʨ	0.138
w	-	0.658
ʃ	ʃ	0.278
ʒ	w_ʃ	0.078
ʤ	ɡ	0.068
ˈi	ˈi	0.78
ˈu	ˈo	0.438
ˈø	ˈɔ	0.238
ˈɔ	ˈɔ	0.968
i	-	0.29
i	e	0.299
j	e	0.069
r	-	0.09
s	ʃ	0.129
s	ʦ	0.179
u	r	0.079
v	v	0.709
z	s	0.069
ɡ	ˈɛ_k	0.079
ʒ	ʃ	0.389
ʤ	-	0.509
ˈi	ˈɛ	0.129
ˈyː	ˈi	0.149
ˈɔː	ˈɔ	0.859
ˈɛ	ˈɛ	0.39
ˈɛ	r	0.449
ˈɛː	ˈa	0.149
