Romansch	Ligurian	probability
a	a	0.561
a	ˈaː	0.425
b	b	0.818
b	-	0.176
d	d	0.591
d	-	0.227
d	t	0.064
e	e	0.494
eː	ˈe	0.494
f	f	0.746
f	v_e	0.149
f	v_u	0.065
f_j	f	1.0
f_l	ʃ	1.0
i	e	0.459
i	u	0.329
i	y	0.129
i	i	0.07
j	j	0.585
j	-	0.353
j	ˈɛ	0.055
j_l	l	0.494
j_n	ŋ	1.0
j_r	e	1.0
j_ˈɛ	ˈøː	0.776
j_ˈɛ	ˈiː	0.173
k	k	0.8
k	ʧ	0.056
k	ɡ_u	0.055
k	ɡ	0.05
k_l	ʧ	0.244
l	l	0.532
l	-	0.35
l	u	0.051
l_j	l	1.0
l_ˈa	ˈaː	1.0
m	m	0.907
m	ŋ	0.085
n	ŋ	0.563
n	n	0.409
n_d	n	1.0
o	u	0.392
o	-	0.223
o	ɔː	0.223
p	p	1.0
p_l	ʧ	0.494
r	r	0.565
r	-	0.305
r	u	0.085
r_ə	a	0.494
r_ˈe	ˈeː	0.494
s	s	0.617
s	-	0.179
s	s_u	0.111
t	t	0.576
t	t_u	0.157
t	t_e	0.104
t	-	0.075
u	w	0.488
u	u	0.149
u	ˈuː	0.125
u	ɥ	0.096
u	i	0.064
v	v	0.96
w	-	0.288
w	u	0.281
w	ɡ_u	0.201
w	w	0.137
w	d_u	0.072
w_k	k	0.121
w_n	ŋ	1.0
w_r	r	0.494
z	z	0.494
ŋ	ŋ	0.384
ŋ	ŋ_ɡ	0.384
ŋ	n	0.165
ə	a	0.699
ə	e	0.084
ə_r	e	0.727
ə_r	r	0.265
ə_s	e	1.0
ɡ	ɡ	0.741
ɡ	-	0.135
ɡ	ʤ	0.087
ɡ_l	ʤ	0.494
ɲ	ɲ	1.0
ʃ	s	0.27
ʃ	ʒ_e	0.266
ʃ	ʒ	0.164
ʃ	z	0.139
ʃ	ʃ	0.117
ʎ	ʤ	0.438
ʎ	ʤ_u	0.353
ʎ	l	0.137
ʎ	-	0.069
ʒ	ʒ	0.494
ʥ	ʤ	0.391
ʥ	z	0.246
ʥ	ɡ	0.214
ʥ	-	0.119
ʦ	s	0.415
ʦ	z	0.315
ʦ	t	0.194
ʧ	s	0.726
ʧ	ʧ	0.182
ʧ	ʒ	0.082
ʨ	k	0.695
ʨ	t_u	0.099
ʨ	k_u	0.086
ʨ	t	0.059
ˈa	ˈa	0.437
ˈa	ˈe	0.226
ˈa	ˈaː	0.117
ˈa	ˈɛː	0.085
ˈa	-	0.051
ˈa_l	ˈaː	0.244
ˈa_r	ˈaː	1.0
ˈa_w	ˈɔː	0.629
ˈa_w	ˈaː	0.361
ˈaː	ˈaː	0.86
ˈaː	-	0.069
ˈaː	ˈa	0.069
ˈe	ˈe	0.537
ˈe	-	0.179
ˈe	ˈɛː	0.089
ˈe	ˈeː	0.071
ˈe	ˈø	0.07
ˈe	ˈɛ	0.056
ˈe_l	l	1.0
ˈe_w	a	1.0
ˈeː	ˈɛː	0.5
ˈeː	ˈe	0.25
ˈeː	ˈeː	0.25
ˈi	ˈi	0.405
ˈi	ˈyː	0.153
ˈi	ˈiː	0.138
ˈi	ˈe	0.085
ˈi	ˈy	0.085
ˈi	-	0.054
ˈi_ə	ˈeː	1.0
ˈiː	j	0.185
ˈiː	ˈi	0.185
ˈiː_r	ˈiː	1.0
ˈo	ˈø	0.574
ˈo	ˈuː	0.284
ˈoː	ˈøː	0.494
ˈu	ˈu	0.494
ˈu	ˈuː	0.165
ˈu	ˈy	0.145
ˈu	w	0.069
ˈu_l	ˈuː	1.0
ˈuɔ̯	ˈø	1.0
ˈuː	ˈuː	1.0
ˈɔ	ˈøː	0.265
ˈɔ	ˈɔ	0.201
ˈɔ	ˈa	0.149
ˈɔ	ˈɔː	0.149
ˈɔ	ˈaː	0.096
ˈɔ	ˈø	0.082
ˈɔː	ˈɔː	0.758
ˈɔː	ˈa	0.129
ˈɛ	ˈe	0.406
ˈɛ	ˈeː	0.29
ˈɛ	ˈɛ	0.109
ˈɛ	ˈø	0.079
ˈɛ	ˈɛː	0.079
ˈɛː	ˈɛː	1.0
