Northern Low Saxon	Faroese	probability
b	b̥	0.668
b	p	0.116
b	-	0.114
b	ʰp	0.057
b	tː	0.041
d	-	0.356
d	d̥	0.243
d	t_ʊ	0.113
d	t	0.091
d	tʰ	0.081
f	f	0.698
f	-	0.168
f	v	0.094
f	v_ʊ	0.042
h	h	1.0
i	ʊ	0.484
j	ˈaːi̯	0.234
k	ʰkː	0.319
k	ʰʧ	0.319
kʰ	kʰ	0.862
kʰ	-	0.077
kʰ	ʧʰ	0.038
l	l	0.609
l	l̥	0.16
l	l_ʊ	0.077
l	-	0.057
l	nː	0.033
m	m	0.507
m	m_ʊ	0.195
m	v_a	0.094
m	m_a	0.072
m	n	0.047
n	n	0.471
n	a	0.258
n	nː	0.113
n	-	0.08
n	n̥	0.039
p	ʰp	0.484
r	ɹ	0.888
r	r	0.058
r	-	0.052
s	s	0.946
s	s_t	0.038
s	sː	0.038
t	t	0.563
t	d̥	0.252
t	n	0.094
t	ʰtː	0.066
tʰ	tʰ	0.862
tʰ	ʧʰ	0.116
v	v	0.711
v	-	0.279
x	ʰtː	0.436
x	w	0.158
x	v	0.158
x	j	0.109
x	-	0.105
z	s	0.931
z	ʃ	0.068
ç	v_ʊ	0.206
ç	ɡ̊_ʊ	0.206
ç	ʤ̊	0.136
ç	ɡ̊	0.136
ç	w	0.097
ŋ	ŋ	0.552
ŋ	-	0.165
ŋ	ɲ	0.095
ŋ	a	0.095
ŋ	ɡ̊	0.074
ɐ	ɹ	0.3
ɐ	ɪ_ɹ	0.224
ɐ	ʊ_ɹ	0.131
ɐ	ˈœ_t	0.063
ɐ	ɹ_a	0.06
ɐ_d	ɹ	1.0
ə	ˈøː	0.484
ɡ	ɡ̊	0.53
ɡ	k	0.225
ɡ	k_ʊ	0.086
ɡ	ʰkː	0.067
ɡ	ʤ̊	0.067
ɪ	ŋ	0.236
ɪ	ɛ	0.236
ɪ	a	0.236
ʃ	s	0.403
ʃ	ʃ	0.309
ʃ	s_k	0.2
ʃ	f	0.078
ʒ	-	1.0
ˈa	ˈɛːa̯	0.306
ˈa	ˈa	0.291
ˈa	ˈɔ	0.193
ˈa	ˈeː	0.066
ˈa	ˈa_ɹ	0.055
ˈaɪ̯	ˈʊ̯iː	0.248
ˈaɪ̯	ˈʊ	0.156
ˈaɪ̯	ˈai̯	0.136
ˈaɪ̯	ˈɛːa̯	0.09
ˈaɪ̯	ˈuː	0.071
ˈaʊ̯	ˈɔːu̯	0.294
ˈaʊ̯	ˈɛːi̯	0.234
ˈaʊ̯	ˈɔ̯aː	0.157
ˈaʊ̯	ˈoː	0.074
ˈaʊ̯	ˈa	0.057
ˈaː	ˈa_ɹ	0.66
ˈaː	ˈɔ	0.28
ˈaː	ˈɪ	0.041
ˈeɪ̯	ˈɔːu̯	0.319
ˈeɪ̯	ˈɛ	0.319
ˈeː	ˈøː	0.241
ˈeː	ˈɔ	0.139
ˈeː	ˈeː	0.114
ˈeː	ˈɔ̯aː	0.099
ˈeː	ˈiː	0.099
ˈiː	ˈʊ̯iː	0.63
ˈiː	ˈeː	0.141
ˈiː	ˈɪ	0.078
ˈiː	ˈɛːa̯	0.062
ˈiː	ʊ̯ˈiː	0.059
ˈoː	ˈɔ̯aː	0.38
ˈoː	ˈa	0.175
ˈoː	j	0.119
ˈoː	ˈɛːa̯	0.104
ˈoː	ˈɛːi̯	0.069
ˈuː	ˈʉːu̯	0.683
ˈuː	ˈʊ	0.216
ˈuː	w	0.086
ˈyː	ˈʊ̯iː	0.683
ˈyː	ˈɛ	0.218
ˈø	ˈɪ	0.319
ˈø	ˈɛ	0.154
ˈøː	ˈɔ	0.229
ˈøː	ˈɪ	0.229
ˈøː	ˈɛːi̯	0.146
ˈøː	ˈøː	0.146
ˈøː	ˈiː	0.146
ˈœ	ˈœ	1.0
ˈœː	ˈʊ	0.484
ˈœː	ˈɛ	0.055
ˈɔ	ˈœ	0.211
ˈɔ	ˈɔ	0.202
ˈɔ	ˈuː	0.135
ˈɔ	ˈɪ	0.135
ˈɔ	ˈa	0.135
ˈɔʏ̯	ˈøː	0.467
ˈɔʏ̯	ˈɔːi̯	0.346
ˈɔʏ̯	ˈɔ	0.12
ˈɔʏ̯	ˈʊ	0.038
ˈɔː	ˈɔ	0.484
ˈɛ	j	0.397
ˈɛ	ˈeː	0.287
ˈɛ	ˈɛːa̯	0.189
ˈɛ	ˈɛ	0.081
ˈɛɪ̯	ˈai̯	0.366
ˈɛɪ̯	j	0.177
ˈɪ	ˈɪ	0.329
ˈɪ	ˈiː	0.177
ˈɪ	ˈɛ	0.15
ˈɪ	ˈʊ̯iː	0.118
ˈɪ	ˈaːi̯	0.059
ˈʊ	ˈʊ	0.554
ˈʊ	ˈʊ_t	0.194
ˈʊ	ˈœ	0.112
ˈʊ	ˈʏ	0.082
ˈʊ	ˈɔ	0.046
ˈʏ	ˈɪ	0.591
ˈʏ	ˈuː	0.14
ˈʏ	ˈa	0.14
ˈʏ	ˈʊ	0.044
