Aragonese	Italian	probability
d	d	1.0
f	f	1.0
p	p	1.0
ŋ	ŋ	1.0
ʝ	-	1.0
a	-	0.051
i	i	0.51
t	t	0.811
u	ˈo	0.161
ɲ	ɲː	0.931
ʎ	lː	0.291
ʎ	ʎː	0.391
ʧ	-	0.051
θ	ʧ	0.751
l	l_e	0.062
m	m	0.962
ɡ	k	0.062
ɾ	-	0.082
θ	-	0.052
b	b	0.263
e	-	0.063
e	i	0.173
e	e	0.63
k	k	0.953
l	j	0.23
r	r	0.843
w	w	0.853
ð	t	0.833
ɣ	-	0.093
ʃ	sː	0.113
ˈe	ˈe	0.373
i	e	0.384
o	o	0.974
t	tː	0.114
u	o	0.444
ˈi	ˈi	0.974
β	-	0.124
a	a	0.85
j	-	0.475
n	-	0.055
s	s	0.95
u	-	0.395
ˈa	ˈa	0.945
ˈo	ˈɔ	0.15
ˈu	ˈɔ	0.165
e	a	0.056
i	ˈe	0.106
j	j	0.446
l	l	0.656
w	v_e	0.056
w	ˈu	0.076
ð	d	0.126
b	v	0.737
n	n_e	0.07
n	n_t	0.07
r	rː	0.157
ʃ	ʃː	0.887
ʎ	-	0.167
ˈe	ˈɔ	0.087
ˈe	ˈɛ	0.407
ˈu	ˈu	0.707
θ	ʧ_e	0.197
e	o	0.078
n	n	0.78
ɡ	ɡ	0.888
ɣ	ɡ	0.588
ɾ	r_e	0.318
ˈe	e	0.08
ˈu	ˈo	0.128
β	v	0.408
ɣ	k	0.319
ɲ	nː	0.069
ɾ	e_r	0.069
ɾ	r	0.499
ʎ	kː_j	0.119
ʧ	ʤ	0.949
ˈo	ˈo	0.79
β	p	0.449
