French	French	probability
ʁ_#>	#>	1.0
ɲ	ɲ	1.0
ɥ_i	ˈø	1.0
ɛ_ʁ	ˈa_r	1.0
œ	ˈø	1.0
ø_#>	#>	1.0
z	z	1.0
w_a	ˈe	1.0
v_w	v	1.0
v_a	v_ˈa	1.0
t_ʁ	s_e	1.0
t_#>	t_a_#>	1.0
s_ɛ	s_ˈɛ	1.0
s_ə	s	1.0
s_#>	s_#>	1.0
p_l	p_j	1.0
p	p	1.0
m	m	1.0
l_ɛ	l_ˈa	1.0
l_i	l_ˈɛ	1.0
k_l	ʧ	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ɛ	ˈɛ	1.0
i_ʁ	e	1.0
f	f	1.0
e_p	s_p	1.0
e_k	s_k	1.0
b	b	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_ˈa	1.0
v	v	0.931
d	d	0.857
ʒ	ʤ	0.846
l	l	0.826
y	ˈy	0.818
ʁ	r	0.787
ɡ	ɡ	0.778
s	s	0.767
i	ˈi	0.72
j	j	0.706
e_#>	ˈe_#>	0.7
ɔ̃	ˈu_ŋ	0.667
t	t	0.667
ʃ	k	0.636
ɔ	ˈɔ	0.636
œ_ʁ	ˈu_r	0.6
f_#>	v_#>	0.6
n	ŋ_a	0.533
ø	ˈø_ɡ	0.5
ø	-	0.5
<#_a	<#_ˈa	0.5
<#_a	<#_a	0.5
n	n	0.467
o	ˈɛ_l	0.438
ə	e	0.429
e	ˈa	0.429
œ_ʁ	r	0.4
f_#>	#>	0.4
a_ʁ	j_r	0.4
a_ʁ	j	0.4
u	ˈu	0.391
w	ˈɛ	0.389
#>	a_#>	0.357
ɑ̃	ˈɛ_ŋ	0.353
a	a	0.353
t	s	0.333
ɛ	ˈɛ	0.321
j	-	0.294
ɛ̃	ˈa_ŋ	0.286
ə	a	0.286
ə	-	0.286
e	s	0.286
e	-	0.286
ʃ	k_a	0.273
ɛ	ˈa	0.25
ɑ̃	ˈa_ŋ	0.235
ɔ	u	0.227
ɡ	ʤ	0.222
w	ˈu	0.222
u	u	0.217
a	ˈa	0.206
e_#>	ˈa_#>	0.2
a_ʁ	dː	0.2
ɛ̃	ˈi_ŋ	0.19
ɛ̃	ŋ	0.19
o	ˈɔ_s	0.188
o	ˈɔ	0.188
o	ˈa_w	0.188
#>	t_#>	0.184
y	-	0.182
ɛ	ˈe	0.179
ɑ̃	ŋ	0.176
l	j	0.174
ɔ̃	ŋ	0.167
ɔ̃	-	0.167
w	ˈe	0.167
w	-	0.167
s	s_a	0.167
i	i	0.16
ʒ	-	0.154
a	j	0.147
ɛ̃	ˈa	0.143
d	-	0.143
ɔ	ˈu	0.136
u	ˈy	0.13
u	ˈu_j	0.13
i	ˈe	0.12
ɑ̃	ˈɛ	0.118
ɑ̃	ˈa	0.118
ɛ	-	0.107
e_#>	#>	0.1
ɛ̃	ˈi	0.095
ɛ̃	ɲ	0.095
ʃ	-	0.091
a	z	0.088
a	w_ˈa	0.088
u	ˈɔ_l	0.087
#>	e_#>	0.082
ɛ	ˈɔ	0.071
ɛ	ˈi	0.071
v	-	0.069
s	ʧ	0.067
#>	s_#>	0.061
a	ˈe	0.059
a	-	0.059
w	ˈə	0.056
#>	z_#>	0.051
#>	n_#>	0.051
