Corsican	Brazilian Portuguese	probability
dː	-	1.0
mː	m	1.0
rː	h	1.0
ɡ	ɡ	1.0
ʎ	ʎ	1.0
ʦ	s	1.0
ʦː	s	1.0
a	a	0.141
e	ˈe	0.111
e	i	0.491
k	ɡ	0.271
n	n	0.291
nː	n	0.791
s	ʃ	0.231
sː	ʃ	0.371
v	b	0.071
v	v	0.91
w	w	0.81
z	-	0.051
ʃː	ʃ	0.431
ʒ	m	0.471
ʤ	-	0.441
ˈɔ	ˈɔ	0.231
a	-	0.082
a	ɐ	0.72
b	v	0.2
d	h	0.172
e	e	0.062
e	-	0.202
i	u	0.12
j	-	0.352
l	w	0.312
m	-	0.062
s	s	0.722
t	ʧ	0.082
ŋ	-	0.862
ʧː	t	0.172
ˈe	ˈe	0.482
ˈu	ˈõ	0.122
ˈu	ˈu	0.382
ˈɔ	ˈo	0.472
i	e	0.233
i	i	0.273
k	k	0.653
l	l	0.463
lː	l	0.823
sː	s	0.343
ˈa	ˈa	0.453
ˈe	ˈɛ	0.423
ˈɛ	ˈi	0.083
ˈɛ	ˈẽ	0.23
c	ʃ	0.274
d	d	0.444
f	f	0.84
i	ẽ	0.094
kː	k	0.444
lː	-	0.14
m	m	0.884
n	j̃	0.104
n	w̃	0.114
p	b	0.224
sː	j_ʃ	0.24
t	w	0.064
u	u	0.684
z	s	0.084
ɟ	-	0.14
ʤ	v	0.154
ˈi	ˈi	0.304
ˈu	ˈo	0.064
ˈɛ	ˈe	0.364
bː	ɾ	0.5
bː	v	0.5
c	ʎ	0.685
d	-	0.275
f	-	0.055
f	ʃ	0.105
j	j	0.425
k	-	0.055
o	u	0.335
t	t	0.345
tː	j_t	0.145
tː	-	0.195
tː	ʧ	0.295
z	z	0.695
ʃ	e_ʃ	0.565
ʣ	ʒ	0.5
ʣ	j	0.5
ʤ	ʒ	0.405
ʧ	z	0.235
ˈe	ˈẽ	0.055
ˈo	ˈɔ	0.105
ˈo	ˈɐ̃	0.135
ˈo	ˈõ	0.175
ˈu	ˈũ	0.275
d	ʤ	0.096
i	-	0.116
j	ɾ	0.126
kː	ɡ	0.556
n	-	0.466
o	o	0.566
p	p	0.6
r	-	0.06
tː	j_ʧ	0.056
ŋ	h	0.116
ˈu	ˈẽ	0.056
ˈɔ	o	0.056
ˈɔ	ˈõ	0.176
b	b	0.757
l	-	0.217
tː	d	0.07
u	-	0.187
ɟ	ɡ	0.137
ɟ	ʒ	0.637
ʃ	s	0.217
ʃ	ʃ	0.217
ˈo	ˈu	0.107
r	ɦ	0.178
t	d	0.458
u	i	0.058
ʧ	j_ʃ	0.278
ʧ	s	0.378
ʧː	s	0.828
ˈa	ˈɐ̃	0.438
ˈi	ˈĩ	0.598
ˈo	ˈo	0.458
ˈu	-	0.08
ˈɛ	-	0.058
ˈɛ	ˈɛ	0.178
i	ĩ	0.109
nː	õ	0.209
o	ˈa	0.099
p	ʃ	0.129
r	h	0.299
r	ɾ	0.449
tː	t	0.239
w	-	0.19
z	j̃	0.139
ɲ	j̃	0.959
ʃː	s	0.569
ʒ	ʒ	0.529
ʧ	ʃ	0.109
