Eastern Lombard	Asturian	probability
ˈa_d	ˈa_ð	1.0
ʤ	ʝ	1.0
ʋ	b	1.0
z_e	e	1.0
y	e_m	1.0
w	w	1.0
u	o	1.0
r_ˈɛ	ɾ_ˈe	1.0
r_a	ɾ_a	1.0
p_j	ʎ	1.0
p	p	1.0
m	m	1.0
k_ˈo	k_ˈa	1.0
k_r	k_ɾ	1.0
j_ˈø	ˈi	1.0
a	a	0.933
k	k	0.928
ˈu	ˈo	0.864
ˈa	ˈa	0.844
n	n	0.827
ˈy	ˈu	0.775
ɡ	ɣ	0.769
r	ɾ	0.734
f	f	0.693
ɲ	ɲ	0.653
s	s	0.625
e	e	0.622
l	l	0.612
ŋ	ŋ	0.604
ˈo	ˈo	0.586
t	t	0.576
j	ʝ	0.572
e_r	ɾ_e	0.571
d	ð	0.571
ˈe	ˈe	0.563
z	ʃ	0.558
o	o	0.542
b	b	0.512
ˈɔ	w_ˈe	0.471
o	-	0.458
ˈɛ	j_ˈe	0.446
z	-	0.442
i	i	0.44
e_r	ɾ_u	0.429
ˈɛ	ˈe	0.427
ŋ	-	0.396
ˈi	ˈi	0.387
b	β	0.386
ˈø	ˈu	0.379
ʧ	ʝ	0.362
ɲ	n	0.347
ˈɔ	ˈo	0.335
i	e	0.321
ˈø	w_ˈe	0.305
s	θ	0.282
e	ɾ	0.271
d	-	0.269
ʧ	-	0.241
i	-	0.24
ɡ	-	0.231
ˈy	ˈo	0.225
l	ʎ	0.218
ˈo	w_ˈe	0.217
j	l	0.214
j	j	0.214
ʧ	ʎ	0.205
ˈe	j_ˈe	0.2
ˈo	ˈu	0.197
t	ð	0.195
ʧ	ʧ_e	0.191
ˈi	j	0.19
ˈø	ˈo	0.172
f	ˈe_β	0.16
d	ˈe	0.16
t	-	0.155
ˈi	ˈi_ɾ	0.154
ˈø	w	0.143
ˈe	ˈe_n	0.128
ˈɔ	o	0.118
ˈi	ˈe	0.115
ˈe	ˈi	0.109
n	ɲ	0.107
b	f_e	0.102
l	-	0.091
r	ɾ_u	0.086
f	-	0.082
l	m_ˈo	0.08
ˈɛ	ˈi	0.077
ˈɔ	-	0.076
r	-	0.075
ˈu	ˈo_n	0.073
ˈi	β_ˈe	0.068
ˈa	ˈa_n	0.068
s	t	0.066
r	r	0.066
n	-	0.066
f	β	0.065
ˈu	-	0.063
t	ʧ	0.058
e	ˈe	0.057
ˈa	ˈe	0.053
a	e	0.051
ˈɛ	ɾ	0.05
