Gan	Gan	probability
⁵	²¹	1.0
⁴²	⁵⁵	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʔ_⁵	²¹	1.0
ɵ_t̚	e	1.0
ɨ_t̚	u	1.0
ɨ	ə	1.0
ɥ	ɥ	1.0
ɛ_t̚	ɛ	1.0
ɕ	ɕ	1.0
ɔ_ʔ	o	1.0
ɔ	a	1.0
ŋ̍	v_u	1.0
ŋ	ŋ	1.0
¹¹	²¹³	1.0
²⁴	²¹	1.0
²	²¹	1.0
z̩	z̩	1.0
y	y	1.0
w	w	1.0
t̚_⁵	²¹	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
o	o	1.0
n	n	1.0
m	m	1.0
l	n	1.0
kʰ	kʰ	1.0
k	k	1.0
j_²¹³	j_²¹³	1.0
j_u	u	1.0
h	x	1.0
a_ŋ	ə_n	1.0
<#_u	<#_w_ə	1.0
a	a	0.893
³⁵	²¹	0.857
²¹³	⁵³	0.848
i	i	0.824
j	j	0.812
ɵ	a	0.667
tʰ	tʰ	0.667
j_ɛ	j_a	0.667
f	f	0.636
u	o	0.615
ɛ	ɛ	0.6
nʲ	nʲ	0.429
ɛ	ə	0.4
u	u	0.385
tʰ	t	0.333
j_ɛ	ə	0.333
nʲ	z	0.286
nʲ	-	0.286
ɵ	w_a	0.222
j	-	0.188
f	x_w	0.182
f	x	0.182
i	j_ə	0.176
²¹³	²¹³	0.152
³⁵	²¹³	0.143
ɵ	ɚ	0.111
a	ɛ	0.107
