Bulgarian	Bulgarian	probability
ˈ	-	1.0
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʒ	ʒ	1.0
ʃ_t	ʦ	1.0
ɡ̊_#>	x_#>	1.0
ɡ	ɦ	1.0
ɛ_n	n_iː	1.0
ɛ_m	m̩	1.0
ɐ_ɫ	l̩	1.0
ɐ_r	r̩	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
u_ˈ	u	1.0
tʲ	c	1.0
t	t	1.0
s_ɫ	s_l	1.0
s_#>	s_#>	1.0
s	s	1.0
rʲ	-	1.0
r_ɛ	r̝_ɛ	1.0
r_ɐ	r_a	1.0
r_t	t	1.0
r_#>	r_iː_#>	1.0
pʲ	-	1.0
p	p	1.0
o	o	1.0
nʲ	ɲ	1.0
mʲ	m	1.0
lʲ_a	l_ɛː	1.0
lʲ	l	1.0
l	l	1.0
j_ɐ	t	1.0
j	j	1.0
i_ˈ	iː	1.0
d̥	d̥	1.0
dʲ	ɟ	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
a_ˈ	ɛ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_j	1.0
k	k	0.917
v	v	0.913
ɫ	l	0.905
m	m	0.895
d	d	0.864
n	n	0.846
i	ɪ	0.75
ɛ	ɛ	0.729
a	a	0.721
<#_t	<#_t	0.714
ɔ	o	0.704
ʦ	ʦ	0.667
r	r	0.619
ɐ_k	k	0.6
vʲ	v_j	0.6
u	-	0.6
f	v_iː	0.6
ɐ	a	0.522
ɐ_k	ɛ_k	0.4
vʲ	v	0.4
u	ou̯	0.4
f	f	0.4
ʦ	-	0.333
<#_t	<#_c	0.286
ɤ	u	0.238
ɤ	-	0.238
ɔ	uː	0.222
ɐ	-	0.217
ɤ	r̩	0.19
ɤ	ou̯	0.19
ɐ	ɛ	0.174
a	aː	0.163
n	ɲ	0.154
i	-	0.15
ɛ	-	0.146
ɤ	ɛ	0.143
r	r̝̊	0.143
r	r̝	0.143
d	-	0.136
a	iː	0.116
m	-	0.105
i	iː	0.1
ɫ	d_l	0.095
r	iː	0.095
ɐ	u	0.087
v	-	0.087
ɛ	j_ɛ	0.083
k	-	0.083
ɔ	ɛ	0.074
