Alsatian	West Frisian	probability
b̥	b	1.0
h	h	1.0
v	-	1.0
w	v	1.0
ŋ	ŋ	1.0
ʦ	t	1.0
ˈei̯	j	1.0
ˈyː	ˈuː	1.0
ˈæ	ˈɛ	1.0
ˈæː	ˈiə̯	1.0
ˈøː	ˈuə̯	1.0
ˈɒː	ˈa	1.0
k	ɣ_ə	0.291
l	l	0.871
n	n	0.951
ə	-	0.101
ɡ̊	-	0.151
ʁ	r	0.861
ˈiː	j	0.351
ˈo	ˈɔ	0.491
ˈu	ˈyː	0.081
ˈɒ	-	0.101
i	k_ə	0.372
j	j	0.172
kʰ	k	0.772
t	d	0.22
t	t	0.442
ʃ	ə_#>	0.052
ˈe	ˈɪ	0.692
ˈu	ˈuː	0.102
f	f	0.713
i	ɪ_ŋ	0.133
j	ˈɛi̯	0.53
x	k_ə	0.263
ʃ	χ	0.173
ʋ	-	0.103
ˈi	ˈɪ	0.53
ˈiː	j_ˈuə̯	0.293
ˈoː	ˈoə̯	0.383
ˈu	ˈɪ	0.173
d̥	-	0.274
i	ə	0.494
k	χ	0.424
t	d̥	0.304
ˈeː	ˈiə̯	0.414
ˈi	ˈɔ	0.064
ˈiː	j_ˈɪ	0.094
ˈiː	ˈiə̯	0.104
ˈoː	ˈɪə̯	0.084
ˈoː	ˈiə̯	0.534
ˈəi̯	ˈiə̯	0.814
d̥	t	0.145
k	k	0.285
ˈʊː	ˈɪə̯	0.235
ˈʊː	ˈuə̯	0.415
l	l_ə	0.096
s	s	0.556
ˈeː	ˈɪə̯	0.586
ˈi	ˈi	0.196
ˈu	ˈoə̯	0.056
ˈu	ˈɔ	0.256
ˈɒ	ˈa	0.6
ˈəi̯	ˈaː	0.186
d̥	d	0.557
f	p	0.287
s	t	0.397
x	χ	0.737
ʋ	ʋ	0.897
ˈiː	j_ˈɔ	0.07
ˈu	ˈy	0.057
ˈu	ˈu	0.237
kʰ	ʦ	0.228
ʃ	s_k	0.358
ˈe	ˈɛ	0.308
ˈiː	ˈiː	0.088
j	-	0.299
m	m	0.969
ə	ə	0.899
ɡ̊	ɡ	0.849
ʁ	-	0.139
ʃ	s	0.349
ˈi	ˈiː	0.189
ˈo	ˈoə̯	0.509
ˈɒ	ˈaː	0.109
ˈɒ	ˈɔː	0.169
ˈʊː	ˈoː	0.349
