Alsatian	West Frisian	probability
b̥	b	0.88
b̥	v	0.067
b̥	-	0.057
d̥	d	0.409
d̥	t	0.258
d̥	-	0.258
e	-	0.251
f	f	0.748
f	p	0.209
f	-	0.046
h	h	1.0
i	ə	0.496
i	ɪ	0.199
i	-	0.167
i_ʃ	ə	1.0
j	j	0.463
j	ˈɛi̯	0.351
j	ˈɪə̯	0.144
k	k	0.323
k	ɣ	0.281
k	χ	0.175
k	-	0.116
kʰ	k	0.595
kʰ	ʦ	0.266
kʰ	-	0.133
l	l	0.977
l	n	0.035
l_t	t	1.0
m	m	0.957
m	v	0.051
n	n	0.86
n	-	0.107
n	ŋ	0.035
n_d̥	n	1.0
n_s	s	1.0
p	p	0.501
p͡f	t	0.5
p͡f	p	0.5
s	s	0.567
s	t	0.339
s	ɕ	0.065
s	z	0.032
t	t	0.612
t	d	0.239
t	-	0.144
v	z	0.322
v	n	0.201
v	v	0.185
v	-	0.115
w	v	0.85
w	ˈø	0.081
x	χ	0.786
x	k	0.167
ŋ	ŋ	1.0
ə	ə	0.775
ə	-	0.198
ə	ˈoə̯	0.032
ɡ̊	ɡ	0.776
ɡ̊	-	0.095
ɡ̊	ɣ	0.093
ɡ̊	k	0.041
ʁ	r	0.877
ʁ	-	0.119
ʃ	s	0.769
ʃ	χ	0.12
ʃ	k	0.097
ʋ	ʋ	0.597
ʋ	v	0.255
ʋ	-	0.143
ʦ	t	0.912
ʦ	ʦ	0.085
ˈaː	ˈɪ	0.66
ˈaː	ˈɛi̯	0.165
ˈe	ˈɪ	0.474
ˈe	ˈɛ	0.266
ˈe	ˈɛi̯	0.101
ˈe	ˈaː	0.095
ˈe	-	0.053
ˈei̯	j	0.922
ˈei̯	ə	0.05
ˈeː	ˈiə̯	0.334
ˈeː	ˈɪə̯	0.163
ˈeː	ˈa	0.117
ˈeː	ˈeː	0.117
ˈeː	j	0.113
ˈi	ˈɪ	0.481
ˈi	ˈɔ	0.09
ˈi	ˈi	0.09
ˈi	ˈiː	0.07
ˈi	ˈøə̯	0.054
ˈiː	ˈiː	0.183
ˈiː	ˈiə̯	0.169
ˈiː	ˈuː	0.125
ˈiː	j	0.109
ˈiː	j_ˈɔ	0.103
ˈo	ˈɔ	0.611
ˈo	ˈaː	0.14
ˈo	ˈuə̯	0.14
ˈo	ˈoə̯	0.1
ˈo_ʁ	ˈoə̯	0.501
ˈoː	ˈiə̯	0.294
ˈoː	ˈoə̯	0.201
ˈoː	ˈɔ	0.115
ˈoː	ˈɪə̯	0.112
ˈoː	ˈaː	0.085
ˈoː_t	ˈɪə̯	1.0
ˈu	ˈɔ	0.281
ˈu	ˈuː	0.154
ˈu	ˈoə̯	0.102
ˈu	ˈɪ	0.102
ˈu	ˈy	0.099
ˈyː	ˈuː	0.824
ˈyː	ˈyː	0.138
ˈæ	ˈeː	0.177
ˈæ	ˈaː	0.167
ˈæ	ˈi	0.167
ˈæ	ˈɛ	0.167
ˈæ	-	0.11
ˈæː	-	0.199
ˈæː	ˈeː	0.199
ˈæː	ˈiː	0.199
ˈæː	ˈiə̯	0.188
ˈæː	ˈɪə̯	0.124
ˈø	ˈu	0.501
ˈøi̯	ˈuː	0.501
ˈøː	ˈuə̯	1.0
ˈœ	ˈɪə̯	1.0
ˈɒ	ˈa	0.368
ˈɒ	ˈɔː	0.24
ˈɒ	ˈaː	0.128
ˈɒ	ˈɛi̯	0.05
ˈɒ	ˈɛː	0.05
ˈɒ_l	ˈɔː	1.0
ˈɒː	ˈa	0.254
ˈɒː	ˈiə̯	0.135
ˈɒː	ˈɛː	0.135
ˈɒː	ˈaː	0.093
ˈɒː	ˈɛi̯	0.093
ˈəi̯	ˈiə̯	0.302
ˈəi̯	ˈaː	0.169
ˈəi̯	ˈɛi̯	0.109
ˈəi̯	ˈɛː	0.109
ˈəi̯	ˈi	0.106
ˈɛ	ˈɪə̯	0.501
ˈʊː	ˈuə̯	0.467
ˈʊː	ˈɪə̯	0.276
ˈʊː	ˈoː	0.155
ˈʊː	ˈɛ	0.066
