Westphalian	Swiss German	probability
b	b̥	0.886
b	-	0.063
b	f	0.054
d	t	0.478
d	d̥	0.377
d	-	0.064
d	tː	0.049
d	ɡ̊	0.031
f	f	0.908
f	b̥	0.087
h	h	1.0
j	j	1.0
k	χ	0.615
k	-	0.22
k	k	0.107
k	ɡ̊	0.038
k	h	0.033
l	l	0.967
l	-	0.033
m	m	0.909
m	mː	0.05
m	-	0.045
n	n	0.425
n	ə	0.331
n	-	0.212
n_d	ŋ	1.0
p	f	0.47
p	p͡f	0.286
p	fː	0.098
p	p	0.091
r	r	1.0
s	s	0.754
s	ʃ	0.16
s	χ_s	0.08
t	t	0.378
t	ʦ	0.259
t	sː	0.243
t	s	0.107
v	b̥	0.415
v	-	0.163
v	f	0.163
v	m	0.114
v	ʋ	0.11
w	ʋ	1.0
x	ɡ̊	0.736
x	χ	0.263
z	s	0.594
z	r	0.392
ç	ɡ̊	0.423
ç	χ	0.313
ç	χ_t	0.238
ŋ	ŋ	0.853
ŋ	ɡ̊	0.141
ɐ	r	0.428
ɐ	ə	0.417
ɐ	d̥_ə	0.062
ɐ	rː	0.047
ɐ	-	0.043
ə	ə	0.514
ə	-	0.418
ə	i	0.061
ɡ	ɡ̊	1.0
ɣ	ɡ̊	0.85
ɣ	-	0.076
ɪ	i	1.0
ʃ	ʃ	0.967
ʃ	ʃː	0.042
ˈa	ˈɒ	0.479
ˈa	ˈa	0.198
ˈa	ˈɒː	0.138
ˈa	ˈæ	0.089
ˈa	ˈø	0.05
ˈaɪ̯	ˈyː	0.462
ˈaɪ̯	ˈeː	0.136
ˈaɪ̯	ˈæː	0.104
ˈaɪ̯	ˈiə̯	0.077
ˈaɪ̯	ˈy	0.077
ˈaʊ̯	ˈoː	0.374
ˈaʊ̯	ˈau̯	0.223
ˈaʊ̯	ˈou̯	0.21
ˈaʊ̯	ˈɒ	0.095
ˈaʊ̯	ˈuə̯	0.074
ˈaː	ˈɒ	0.839
ˈaː	ˈɒː	0.132
ˈeː	ˈei̯	0.339
ˈeː	ˈæi̯	0.213
ˈeː	ˈɛi̯	0.186
ˈeː	ˈiə̯	0.122
ˈeː	ˈøi̯	0.122
ˈiə̯	ˈy	0.491
ˈiɛ̯	ˈø	0.491
ˈiː	ˈiː	0.531
ˈiː	ˈi	0.156
ˈiː	ˈiə̯	0.094
ˈiː	ˈei̯	0.072
ˈiː	ˈyː	0.071
ˈoː	ˈuə̯	0.874
ˈoː	ˈyə̯	0.11
ˈuə̯	ˈo	0.574
ˈuə̯	ˈuə̯	0.282
ˈuː	ˈuː	0.692
ˈuː	ˈu	0.168
ˈuː	ˈøi̯	0.118
ˈuːə̯	ˈu_r	0.263
ˈuːə̯	ˈo	0.216
ˈuːə̯	ˈoː	0.174
ˈuːə̯	r_ˈu	0.042
ˈyə̯	ˈø	1.0
ˈyː	ˈyː	0.693
ˈyː	ˈo	0.278
ˈyːœ̯	ˈy	0.491
ˈø	ˈy	0.491
ˈøː	ˈyə̯	0.626
ˈøː	ˈøː	0.245
ˈøː	ˈyː	0.092
ˈœː	ˈøː	0.491
ˈɒː	ˈɒː	0.241
ˈɔ	ˈɒ	0.339
ˈɔ	ˈo	0.257
ˈɔ	ˈu	0.223
ˈɔ	ˈou̯	0.065
ˈɔ	ˈa	0.06
ˈɔː	ˈɒː	0.592
ˈɔː	ˈoː	0.3
ˈɔː	ˈo	0.102
ˈɛ	ˈæ	0.542
ˈɛ	ˈe	0.105
ˈɛ	ˈy	0.105
ˈɛ	ˈɒː	0.105
ˈɛ	ˈiə̯	0.08
ˈɛː	ˈæ	0.794
ˈɛː	ˈɒː	0.162
ˈɪ	ˈi	0.733
ˈɪ	ˈy	0.071
ˈɪ	ˈiː	0.06
ˈɪ	ˈiə̯	0.057
ˈɪ	ˈɛi̯	0.049
ˈɪə̯	ˈi	0.297
ˈɪə̯	ˈæː	0.297
ˈɪə̯	ˈɒ	0.297
ˈɪə̯	ˈyː	0.068
ˈɪɛ̯	ˈæ	0.393
ˈɪɛ̯	ˈi	0.199
ˈɪɛ̯	ˈæː	0.151
ˈɪɛ̯	ˈe	0.114
ˈɪɛ̯	ˈeː	0.114
ˈʊ	ˈu	0.426
ˈʊ	ˈuː	0.426
ˈʊ	ˈo	0.141
ˈʏ	ˈo	0.28
ˈʏ	ˈu	0.28
ˈʏ	ˈy	0.171
ˈʏ	ˈø	0.171
