Westphalian	Swiss German	probability
b	b̥	1.0
f	f	1.0
h	h	1.0
j	j	1.0
r	r	1.0
ə	ə	1.0
ɪ	i	1.0
ʃ	ʃ	1.0
ˈaː	ˈɒ	1.0
ˈeː	ˈæi̯	1.0
ˈoː	ˈuə̯	1.0
ˈuː	ˈuː	1.0
ˈuːə̯	ˈu_r	1.0
ˈyː	ˈyː	1.0
ˈøː	ˈyə̯	1.0
ˈɛː	ˈæ	1.0
ˈɪ	ˈi	1.0
ˈʏ	ˈy	1.0
d	t	0.521
n	ə	0.311
t	t	0.221
ˈaɪ̯	ˈæː	0.1
ˈiː	ˈi	0.11
ˈɔ	ˈo	0.761
d	d̥	0.412
p	p͡f	0.332
s	s	0.792
z	<#_ɡ̊	0.322
ŋ	ŋ	0.842
p	fː	0.113
t	ʦ	0.283
ŋ	-	0.13
ˈɛ	ˈæ	0.893
n	-	0.184
t	r_ʦ	0.054
t	d̥	0.074
x	χ	0.294
ɐ	ə_r	0.34
ʋ	-	0.184
ˈa	ˈɒː	0.194
ˈaɪ̯	ˈeː	0.164
ˈaʊ̯	ˈau̯	0.514
ˈɔː	ˈɒː	0.4
ˈʊ	ˈuː	0.184
k	k	0.125
k	χ	0.875
l	l	0.985
ç	χ_t	0.165
ɐ	r	0.625
ɡ	ɡ̊ː	0.105
ɡ	ɡ̊	0.895
ˈʊ	ˈu	0.785
m	m	0.956
t	sː	0.326
ʋ	ʋ	0.816
ˈaɪ̯	ˈyː	0.736
ˈaʊ̯	ˈoː	0.486
ˈɔː	ˈoː	0.6
ˈɪɛ̯	ˈæː	0.196
ˈɪɛ̯	ˈæ	0.656
s	ʃ	0.17
v	-	0.067
v	b̥	0.187
v	ʋ	0.7
x	ɡ̊	0.67
ç	ɡ̊	0.737
ˈɛ	ˈe	0.107
d	tː	0.068
z	s	0.678
ç	χ	0.098
n	n	0.449
p	f	0.549
ˈa	ˈɒ	0.759
ˈiː	ˈiː	0.89
ˈɔ	ˈɒ	0.239
ˈɪɛ̯	ˈi	0.149
