Proto-Germanic	German	probability
b	b	0.933
b	-	0.067
d	tʰ	0.526
d	d̥	0.247
d	d	0.119
d	t	0.092
e	-	0.648
e	ə	0.276
e	eː	0.076
i	-	0.786
i	ə	0.186
iː	-	1.0
j	-	0.882
jː	ˈaɪ̯	1.0
k	kʰ	0.352
k	-	0.307
k	ç	0.177
k	x	0.08
k	k	0.074
kʷ	ç	0.543
kʷ	ʁ	0.211
kʷ	k	0.133
kʷ	kʰ	0.113
kː	k	1.0
l	l	0.972
lː	l	1.0
m	m	0.916
m	n	0.068
mː	m	1.0
n	n	0.937
nː	n	1.0
p	f	0.741
p	p͡f	0.259
pː	f	0.66
pː	p͡f	0.34
r	ɐ	0.556
r	ʁ	0.422
s	z	0.34
s	ʃ	0.338
s	s	0.184
s	-	0.122
sː	s	1.0
t	s	0.374
t	t	0.33
t	ʦ	0.279
tː	ʦ	0.672
tː	t	0.328
u	-	0.858
u	ə	0.142
w	v	0.773
w	-	0.227
wː	ˈaʊ̯	0.836
wː	ˈɔʏ̯	0.164
x	h	0.598
x	-	0.167
x	ç	0.114
x	x	0.083
xʷ	v	0.607
xʷ	-	0.239
xʷ	ç	0.153
z	-	1.0
ð	t	0.944
ð	-	0.056
ŋ	ŋ	0.844
ŋ	ɪ	0.136
ɑ	-	0.92
ɑ	ə	0.08
ɑi̯	ˈa	1.0
ɑː	-	1.0
ɑ̃	-	1.0
ɔː	ə	0.6
ɔː	-	0.271
ɔː	ɐ	0.085
ɔːu̯	-	1.0
ɔːː	ə	0.66
ɔːː	ɐ	0.194
ɔːː	-	0.147
ɔ̃ː	ə	0.944
ɔ̃ː	ˈaʊ̯	0.056
ɛː	ɐ	1.0
ɡ	-	0.761
ɡ	ç	0.239
ɡʷ	-	1.0
ɣ	ɡ	0.675
ɣ	k	0.152
ɣ	ɡ̊	0.093
ɣ	ç	0.054
ɸ	f	1.0
ˈe	ˈɛ	0.445
ˈe	ˈeː	0.192
ˈe	ˈɪ	0.117
ˈe	ˈiː	0.054
ˈeu̯	ˈiː	0.739
ˈeu̯	ˈyː	0.093
ˈeu̯	ˈɪ	0.093
ˈeu̯	ˈʊ	0.075
ˈeː	ˈiː	1.0
ˈi	ˈɪ	0.694
ˈi	ˈiː	0.086
ˈi	ˈaɪ̯	0.075
ˈi	-	0.05
ˈiu̯	ˈɔʏ̯	1.0
ˈiː	ˈaɪ̯	0.932
ˈiː	ˈiː	0.068
ˈĩː	ˈaɪ̯	1.0
ˈu	ˈɔ	0.32
ˈu	ˈʊ	0.298
ˈu	ˈʏ	0.128
ˈu	ˈoː	0.103
ˈuː	ˈaʊ̯	0.763
ˈuː	ˈuː	0.12
ˈuː	ɐ	0.061
ˈuː	ˈɔʏ̯	0.056
ˈɑ	ˈa	0.613
ˈɑ	ˈaː	0.196
ˈɑ	ˈɛ	0.097
ˈɑi̯	ˈaɪ̯	0.715
ˈɑi̯	ˈeː	0.16
ˈɑi̯	ˈɛ	0.071
ˈɑu̯	ˈaʊ̯	0.371
ˈɑu̯	ˈoː	0.341
ˈɑu̯	ˈøː	0.134
ˈɑu̯	ˈɔʏ̯	0.107
ˈɑː	ˈeː	1.0
ˈɔ	ˈyː	1.0
ˈɔː	ˈuː	0.586
ˈɔː	ˈyː	0.209
ˈɔː	ˈɛ	0.082
ˈɔː	ˈɔʏ̯	0.065
ˈɔː	ˈʊ	0.058
ˈɛː	ˈaː	0.434
ˈɛː	ˈoː	0.402
ˈɛː	ˈa	0.095
ˈɛː	ˈɛː	0.069
β	b	0.657
β	b̥	0.31
θ	d	0.701
θ	d̥	0.172
θ	t	0.065
