Jin	Jin	probability
⁵⁴	-	1.0
⁵³	⁴¹	1.0
ʨ	ʨ	1.0
ʦ	ʦ	1.0
ʔ_²	²⁴	1.0
ʐ	ʐ	1.0
ɻ	ɤ	1.0
ɤ	o	1.0
ɣ	ŋ	1.0
ə̃	ə	1.0
ɕ	ɕ	1.0
ŋ	n	1.0
æ̃	a_n	1.0
³¹	⁴¹	1.0
²	²⁴	1.0
z̩	z̩	1.0
y	y	1.0
x_w	ɸ	1.0
x	x	1.0
w_a	o	1.0
ũ	ə	1.0
t	t	1.0
s_ɤ	ʂ	1.0
s	s	1.0
pʰ͡x	p	1.0
o	a	1.0
m	m	1.0
l	l	1.0
kʰ͡x	kʰ	1.0
k	k	1.0
j_ə	ɤ	1.0
j	j	1.0
ĩ	i	1.0
i	i	1.0
h	x	1.0
f	ɸ	1.0
<#_v	<#_w	1.0
ɒ̃	a_n	0.889
w	w	0.88
p	p	0.833
ʨʰ	ʨʰ	0.667
tʰ͡x	tʰ	0.667
a	a	0.64
ʦʰ	ʦʰ	0.6
u	u	0.6
n	nʲ	0.6
ɥ	j	0.571
ə	ə	0.562
⁴⁵	⁴⁵	0.56
e	ẽ	0.545
¹¹	¹³	0.529
¹¹	³³	0.471
e	e	0.455
ɥ	ɥ	0.429
ə_ʔ	ɤ	0.429
ʦʰ	ʦ	0.4
u	-	0.4
n	l̃	0.4
⁴⁵	²¹	0.36
a	ɒ	0.36
ʨʰ	ʨ	0.333
tʰ͡x	t	0.333
ə	-	0.312
ə_ʔ	o	0.286
ə_ʔ	i	0.286
p	pʰ	0.167
ə	e	0.125
w	-	0.12
ɒ̃	æ	0.111
⁴⁵	²⁴	0.08
