Xiang	Xiang	probability
ʐ	ȵ	1.0
ʂ	ʑ	1.0
ɕ_ɥ	ɕˠ	1.0
ŋ	ʔ	1.0
æ	ɨ_ɐ	1.0
¹³	˦	1.0
³³	˦	1.0
²⁴_#>	#>	1.0
²⁴	ɐ_t̚	1.0
²¹	˥˩	1.0
w_¹³	u_˦	1.0
tʰ	tʰ	1.0
pʰ	pʰˠ	1.0
õ	u_ɑ_n	1.0
nʲ	ɳ	1.0
l̃	n	1.0
l	l	1.0
k	k	1.0
j_ə	ɨ	1.0
<#_ʨ	<#	1.0
<#_ɤ	<#_ȵ_i	1.0
<#_w	<#_m	1.0
<#_nʲ	<#	1.0
⁴¹	˧˥	0.9
⁴⁵	˥˩	0.833
ɕ	s	0.833
j	i	0.792
t	d	0.714
w	u	0.7
o	ɑ	0.667
kʰ	kʰ	0.667
ʦʰ	ʦʰ	0.6
ɤ	ə_k̚	0.6
ẽ	n	0.6
x	h	0.571
ɸ	p	0.556
ɒ	e	0.556
<#	<#_ɦ	0.556
n	ŋ	0.545
z̩	ɨ	0.5
z̩	i_e	0.5
y	ɨ_ʌ	0.5
u	u_t̚	0.5
u	u_o	0.5
p	p	0.5
m	mˠ	0.5
m	m	0.5
ɒ	ɑ	0.444
<#	<#_ŋ	0.444
x	ɦ	0.429
i	i_ɪ	0.429
ʦʰ	ʨʰ	0.4
ɤ	æ_k̚	0.4
ẽ	ɛ_n	0.4
ʨ	k	0.375
ʨʰ	ʦʰ	0.333
ʨʰ	kʰ	0.333
ʨʰ	-	0.333
ɸ	b	0.333
s	ɕ	0.333
p	bˠ	0.333
o	k̚	0.333
kʰ	kʰˠ	0.333
e	ʉ	0.333
e	u	0.333
e	-	0.333
ʦ	ʦ	0.308
y	ɨ	0.3
n	n	0.295
t	t	0.286
a	ʌ	0.281
a	ɑ	0.281
ə	ɨ	0.28
ʨ	ɡ	0.25
ʨ	kˠ	0.25
ə	ɨ_u	0.24
s	ʥ	0.222
a	a	0.219
i	e_i	0.214
i	e	0.214
ə	ə	0.2
ə	u	0.2
y	i_u	0.2
⁴⁵	-	0.167
ɕ	ɦˠ	0.167
p	pˠ	0.167
n	m	0.159
ʦ	ʨ	0.154
ʦ	ʈ	0.154
ʦ	ɖˠ	0.154
ʦ	ɖ	0.154
i	i_æ	0.143
ʨ	ɡˠ	0.125
j	e	0.125
a	ʉ_ɐ	0.125
ɸ	hˠ	0.111
s	ʤ	0.111
s	ʃˠ	0.111
s	ʃ	0.111
s	sˠ	0.111
⁴¹	ɪ_˧˥	0.1
w	w	0.1
w	u_k̚	0.1
w	o_k̚	0.1
a	ɐ	0.094
j	-	0.083
ə	e	0.08
ʦ	ʈˠ	0.077
