Proto-Balto-Slavic	Slovak	probability
ɡ_á	ɡ̊	1.0
ɡ_a	x	1.0
ɛ	ˈɛ	1.0
ŋˀ	ˈu	1.0
ŋ	-	1.0
z	z	1.0
w	ʋ	1.0
úːˀ	ˈi	1.0
úː	ˈi	1.0
ú	-	1.0
u_s	iː	1.0
u	-	1.0
t_ei̯	c	1.0
t_a	t	1.0
sʲ	s	1.0
rˀ	-	1.0
r_í	r	1.0
óːˀ	ˈaː	1.0
óː	ɛ	1.0
oːˀ	ˈa	1.0
o	-	1.0
nˀ	ˈuː	1.0
n_d	d	1.0
m_b	b̥	1.0
l_a	ɫ	1.0
k_a	k	1.0
j_áu̯	ˈu	1.0
j	-	1.0
í_lˀ	ˈɫ̩	1.0
iːˀ	ˈi	1.0
iː	ˈi	1.0
i_r	ˈr̩ː	1.0
i_n	æ	1.0
i	-	1.0
éi̯ˀ	ˈi	1.0
eːˀ	ˈɛ	1.0
eː	e	1.0
ei̯	ˈi	1.0
d_i	ɪ̯a	1.0
d_a	d̥	1.0
b	b	1.0
ái̯	ˈɛ	1.0
á_s	iː	1.0
á_rˀ	r_ˈa	1.0
aːˀ	a	1.0
aː	ˈa	1.0
au̯	ˈu	1.0
ai̯ˀ	j_ˈɛ	1.0
ai̯	ˈɛ	1.0
a_s	iː	1.0
í	-	0.866
m	m	0.852
ɡ	ɦ	0.826
éː	-	0.783
zʲ	z	0.778
oː	-	0.774
r	r	0.77
ʃ	x	0.754
p	p	0.686
e	-	0.652
á	-	0.58
áːˀ	a	0.579
t	t	0.546
a	-	0.542
d	d	0.536
é	ˈɛ	0.535
n	n	0.493
s	s	0.469
d	d̥	0.464
a	ˈɔ	0.458
áːˀ	ˈa	0.421
l	ʎ	0.404
k	k	0.401
e	ɛ	0.348
p	-	0.314
s	-	0.285
á	ˈɔ	0.28
l	ɫ	0.278
é	r_ˈɛ	0.255
l	l	0.247
ʃ	s	0.246
s	i	0.245
n	-	0.233
t	c	0.232
oː	l̩	0.226
t	-	0.223
éː	ˈeː	0.217
k	ʦ	0.216
é	-	0.21
k	-	0.201
k	ʧ	0.182
ɡ	ʒ	0.174
r	ˈr̩	0.162
m	-	0.148
n	ɲ	0.145
zʲ	ɦ	0.143
á	ʊ̯ˈɔ	0.14
í	ɪ̯ɛ	0.134
n	ˈæ	0.129
zʲ	z̥	0.079
l	-	0.071
r	-	0.069
