Icelandic	Swedish	probability
c	k	1.0
cʰ	ɕ	1.0
h	h	1.0
k	k	1.0
kʰ	kʰ	1.0
l	l	1.0
l̥	l	1.0
sː	sː	1.0
tʰ	tʰ	1.0
x	ɡ	1.0
ɟ̊	j	1.0
ɟ̊ː	ɡː	1.0
ɡ̊ː	ɡː	1.0
ɣ	ɡ	1.0
ʰk	kː	1.0
ʰp	p	1.0
ʰt	tː	1.0
ˈai̯	ˈɛ	1.0
ˈau̯	ˈɛ	1.0
ˈaː	ˈɑː	1.0
ˈaːi̯	ˈøː	1.0
ˈaːu̯	ˈoː	1.0
ˈi	ˈɪ	1.0
ˈou̯	ˈɔ	1.0
ˈuː	ˈʉː	1.0
ˈœː	ˈʉː	1.0
ˈœːy̯	ˈøː	1.0
ˈɑu̯	ˈa	1.0
ˈɑːu̯	ˈoː	1.0
ˈɔː	ˈoː	1.0
ˈɛi̯	ˈɛ	1.0
ˈʏ	ˈɵ	1.0
ˈʏː	ˈʉː	1.0
f	v	0.081
m	m	0.61
nː	nː	0.941
r̥	-	0.161
ç	j	0.671
ɡ̊	ɡ	0.91
ˈɛːi̯	ˈeː	0.651
p	p	0.812
ʏ	-	0.632
ˈu	ˈʊ	0.282
j	ˈeː	0.073
j	-	0.43
v	v	0.883
ɡ̊	-	0.063
ʏ	ɛ	0.313
ˈiː	ˈyː	0.093
b̥	b	0.974
n̥	kʰ_n	0.134
r	r	0.824
ð	-	0.224
ɪ	ɛ	0.964
ʏ	a	0.054
ˈa	d_#>	0.094
ˈoːu̯	ˈuː	0.614
ˈœ	ˈa	0.914
ˈɔ	ˈɔ	0.84
ˈɛ	ˈɛ	0.884
ˈɪ	ˈœ	0.104
θ	ɕ	0.064
d̥	-	0.165
d̥	d	0.835
t	-	0.215
ˈɛː	ˈɑː	0.375
ˈɪː	ˈeː	0.185
ˈɪː	ˈɛ	0.815
a	-	0.066
n̥	n	0.866
r	-	0.176
t	t	0.526
ð	d	0.776
ˈa	ɡ_#>	0.076
ˈiː	ˈuː	0.16
ˈoːu̯	ˈʉː	0.386
ˈœ	ˈœ	0.086
ˈɔ	ˈɵ	0.16
ˈɛ	-	0.116
θ	tʰ	0.936
a	a	0.887
j	j	0.497
m	mː	0.357
s	s	0.97
v	-	0.117
ˈiː	ˈiː	0.747
ˈɪ	ˈʏ	0.287
n	n	0.988
p	-	0.188
ˈa	ˈa	0.788
ˈu	ˈɵ	0.718
ˈɛː	ˈɛː	0.158
ˈɛː	ˈæː	0.248
ˈɪ	ˈɪ	0.608
f	f	0.919
nː	n	0.059
r̥	r	0.839
t	tː	0.259
ç	h	0.329
ˈɛː	ˈiː	0.219
ˈɛːi̯	ˈœː	0.349
