Brazilian Portuguese	Friulian	probability
a	a	0.399
a	ˈaː	0.215
a	-	0.207
a	ˈa	0.056
b	b	0.459
b	v	0.245
b	-	0.238
d	d	0.782
d	t	0.218
e	e	0.339
e	i	0.156
e	a	0.149
e	ˈi	0.107
e	-	0.07
e	ˈe	0.07
e	u	0.059
ẽ	i	0.478
ẽ	l	0.242
ẽ	-	0.208
ẽ	n	0.072
f	f	1.0
h	d	0.417
h	r	0.408
h	ˈa_r	0.085
h	-	0.07
i	i	0.514
i	e	0.441
ĩ	u	0.5
ĩ	ŋ	0.5
j	-	0.645
j	ˈɔ	0.089
j	ˈa	0.079
j	j	0.072
j̃	n	0.71
j̃	ɲ	0.161
j̃	-	0.129
k	k	0.443
k	c	0.426
k	ʧ	0.056
l	l	0.904
l	j	0.096
m	m	0.802
m	-	0.097
m	ʤ	0.053
n	n	0.849
n	-	0.08
o	o	0.608
o	u	0.306
o	-	0.086
õ	o	1.0
p	p	0.91
s	s	0.551
s	ʧ	0.345
t	t	0.787
t	n_t	0.143
u	-	0.789
u	i	0.109
v	v	0.699
v	f	0.12
v	b	0.086
v	-	0.057
w	l	0.495
w	w	0.399
w	-	0.06
w̃	n	0.874
w̃	ŋ	0.126
z	ʧ	0.338
z	z	0.315
z	-	0.192
z	d	0.08
z	s	0.075
ɐ	e	0.797
ɐ	-	0.17
ɐ̃	a	0.666
ɐ̃	o	0.334
ɡ	ɡ	0.492
ɡ	-	0.314
ɡ	k	0.125
ɦ	r	0.742
ɦ	-	0.258
ɾ	r	0.795
ɾ	-	0.179
ʃ	s	0.829
ʃ	p	0.09
ʃ	k	0.056
ʎ	l	0.395
ʎ	j	0.38
ʎ	-	0.192
ʒ	ʤ	0.569
ʒ	-	0.222
ʒ	ɡ	0.128
ʒ	z	0.072
ʤ	t	0.635
ʤ	d	0.365
ʧ	t	0.485
ʧ	n_t	0.255
ʧ	ʧ	0.115
ʧ	c	0.11
ˈa	ˈaː	0.561
ˈa	ˈa	0.414
ˈe	ˈe	0.359
ˈe	ˈɛ	0.15
ˈe	-	0.147
ˈe	ˈeː	0.12
ˈe	i	0.06
ˈẽ	ˈɛ	0.307
ˈẽ	ˈi	0.287
ˈẽ	ˈe	0.252
ˈẽ	-	0.063
ˈẽ	ˈa	0.055
ˈi	ˈi	0.498
ˈi	ˈiː	0.238
ˈi	-	0.096
ˈi	j	0.079
ˈi	ˈa	0.063
ˈĩ	ˈi	0.97
ˈo	ˈo	0.265
ˈo	w	0.216
ˈo	-	0.203
ˈo	ˈuː	0.073
ˈo	ˈoː	0.065
ˈo	ˈɔ	0.058
ˈo	ˈa	0.055
ˈõ	ˈɔ	0.743
ˈõ	ˈo	0.147
ˈõ	ˈi	0.11
ˈu	ˈuː	0.402
ˈu	ˈu	0.311
ˈu	-	0.173
ˈu	ˈo	0.062
ˈu	ˈɔ	0.051
ˈũ	ˈu	0.803
ˈũ	ˈo	0.197
ˈɐ̃	ˈa	0.877
ˈɐ̃	ˈo	0.094
ˈɔ	ˈoː	0.391
ˈɔ	w	0.276
ˈɔ	ˈa	0.119
ˈɔ	ˈuː	0.106
ˈɔ	ˈe	0.07
ˈɛ	ˈɛ	0.576
ˈɛ	ˈiː	0.195
ˈɛ	j	0.082
ˈɛ	ˈeː	0.054
