Westphalian	Ripuarian	probability
b	b	0.898
b	-	0.053
b	f	0.053
d	d	0.598
d	t	0.283
d	k	0.09
d	-	0.029
f	f	1.0
h	h	1.0
j	j	1.0
k	k	0.469
k	-	0.237
k	ɕ	0.17
k	x	0.084
k	h	0.039
l	l	0.994
l	-	0.028
m	m	0.935
m	-	0.041
m	v	0.038
n	n	0.554
n	ə	0.329
n	ŋ	0.092
n	-	0.03
p	p	0.636
p	f	0.342
r	ʀ	1.0
s	z	0.525
s	s	0.473
t	t	0.339
t	ʦ	0.281
t	s	0.263
t	-	0.06
t	k	0.05
v	v	0.598
v	-	0.168
v	m	0.113
v	ʋ	0.079
w	ʋ	1.0
x	j	0.62
x	x	0.243
x	-	0.072
x	ɕ	0.056
x_t	x	1.0
z	s	0.415
z	z	0.202
z	ʀ	0.202
ç	ɕ	1.0
ŋ	ŋ	0.824
ŋ	j	0.091
ŋ	-	0.066
ɐ	ɐ	0.908
ɐ	-	0.063
ɐ	ʀ	0.037
ə	-	0.846
ə	ə	0.154
ɡ	ɣ	0.53
ɡ	ɕ	0.185
ɡ	-	0.17
ɣ	k	0.297
ɣ	x	0.166
ɣ	ŋ	0.081
ɪ	ə	0.699
ɪ	ɪ	0.145
ʃ	ʃ	1.0
ˈa	ˈa	0.612
ˈa	ˈaː	0.211
ˈa	ˈɛː	0.102
ˈa	ˈɛ	0.045
ˈa	ˈu	0.04
ˈaɪ̯	ˈeː	0.664
ˈaɪ̯	ˈiː	0.191
ˈaɪ̯	ˈeɪ̯	0.081
ˈaɪ̯	ˈøː	0.055
ˈaʊ̯	ˈuː	0.461
ˈaʊ̯	ˈoː	0.347
ˈaʊ̯	ˈaʊ̯	0.179
ˈaː	ˈaː	0.407
ˈaː	ˈa	0.163
ˈaː	ˈɛː	0.163
ˈaː	ˈɛ	0.105
ˈeː	ˈeː	0.842
ˈeː	ˈiː	0.157
ˈiə̯	ˈe	1.0
ˈiɛ̯	ˈɛ	0.238
ˈiː	ˈiː	0.526
ˈiː	ˈɪ	0.144
ˈiː	ˈeɪ̯	0.076
ˈiː	ˈɛ	0.072
ˈiː	ˈeː	0.06
ˈoː	ˈoː	1.0
ˈuə̯	ˈu	0.322
ˈuə̯	ˈoː	0.157
ˈuː	ˈuː	0.367
ˈuː	ˈaʊ̯	0.142
ˈuː	ˈyː	0.136
ˈuː	ˈʊ	0.091
ˈuː	ˈoː	0.087
ˈuːə̯	ˈɔ	0.441
ˈuːə̯	ˈo	0.268
ˈuːə̯	ˈʊ	0.268
ˈyə̯	ˈœ	0.488
ˈyː	ˈyː	0.638
ˈyː	ˈøː	0.185
ˈyː	ˈʏ	0.067
ˈyːœ̯	ˈʏ	0.488
ˈø	ˈœ	1.0
ˈøː	ˈøː	0.852
ˈøː	ˈyː	0.099
ˈœː	ˈoː	0.784
ˈœː	ˈyː	0.123
ˈɒː	ˈaː	0.488
ˈɔ	ˈa	0.444
ˈɔ	ˈɔ	0.23
ˈɔ	ˈu	0.135
ˈɔ	ˈaʊ̯	0.091
ˈɔː	ˈoː	0.658
ˈɔː	ˈaː	0.095
ˈɔː	ˈuː	0.095
ˈɔː	ˈɔ	0.095
ˈɔː	ˈøː	0.057
ˈɛ	ˈɛ	0.283
ˈɛ	ˈɛː	0.168
ˈɛ	ˈaː	0.111
ˈɛ	ˈe	0.111
ˈɛ	ˈeː	0.111
ˈɛː	ˈɛː	0.715
ˈɛː	ˈaː	0.196
ˈɪ	ˈe	0.385
ˈɪ	ˈɪ	0.283
ˈɪ	ˈɛ	0.125
ˈɪ	ˈeː	0.072
ˈɪ	ˈa	0.068
ˈɪə̯	ˈaː	0.322
ˈɪə̯	ˈɛ	0.322
ˈɪə̯	ˈɪ	0.18
ˈɪə̯	ˈʏ	0.067
ˈɪɛ̯	ˈɛ	0.339
ˈɪɛ̯	ˈɛː	0.295
ˈɪɛ̯	ˈiː	0.218
ˈɪɛ̯	ˈɪ	0.093
ˈʊ	ˈɔ	0.419
ˈʊ	ˈo	0.307
ˈʊ	ˈuː	0.246
ˈʏ	ˈœ	0.367
ˈʏ	ˈʏ	0.242
ˈʏ	ˈo	0.156
ˈʏ	ˈɛ	0.147
