Insular North Frisian	Wymysorys	probability
ˈɛː	-	1.0
ˈøː	-	1.0
ˈyː	ˈɑi̯	1.0
ˈaː	ˈi̯ø	1.0
ˈaʊ̯	-	1.0
ˈaɪ̯	-	1.0
ʁ̥	-	1.0
ɾ	t	1.0
ɪ	ɪ	1.0
ɣ̥	ɡ̊	1.0
ɡ	ɡ	1.0
x	x	1.0
tʰ	ʦ	1.0
s_k	ʃ	1.0
r	r	1.0
pʰ	f	1.0
n_ɪ	ŋ	1.0
m	m	1.0
lʲ	w_d̥	1.0
kʰ	k	1.0
h	h	1.0
e	v_ə	1.0
d	s	1.0
b	b	1.0
aɪ̯	ˈɛ_ʦ	1.0
f	f	0.929
v	v	0.908
n	n	0.889
ɐ	ɛ	0.837
p	f	0.796
ˈa	ˈɑ	0.792
l	w	0.74
ð	d	0.736
ˈua̯	ˈu	0.718
j	-	0.697
ŋ	ŋ	0.681
ˈuː	ˈø	0.594
ç	-	0.587
ə	-	0.536
ˈoː	-	0.512
ʃ	ʃ	0.5
ʃ	z	0.5
nʲ	n_d̥	0.5
nʲ	d_a	0.5
ˈɔː	ˈɑ	0.474
ˈʊ	ˈu	0.47
k	x	0.465
t	t	0.45
s	z	0.449
ˈə	ˈai̯	0.436
ˈʏ	ˈɑi̯	0.433
ˈɛ	ˈɘ̟	0.42
ç	x	0.413
ˈɔ	ˈʏ	0.409
ˈuː	ˈɑ	0.406
t	s	0.406
ˈœ	ˈu	0.405
ˈɔ	ˈu	0.386
ə	a	0.368
ˈɔː	ˈɔ	0.337
ŋ	ɡ̊	0.319
ˈə	ˈɘ̟	0.318
ˈeː	ˈɔ	0.312
j	j	0.303
ˈoː	ˈɑi̯	0.291
ˈua̯	ˈɔ	0.282
s	ʃ	0.274
ˈʏ	-	0.265
ˈiː	ˈai̯	0.264
ð	t	0.264
ˈiː	ˈa	0.262
l	l	0.26
k	k	0.253
ˈeː	ˈi	0.222
ˈʊ	-	0.219
ˈʊ	ˈɘ̟	0.212
ˈœ	ˈʏ	0.208
ˈa	ˈɔ	0.208
ˈɔ	ˈa	0.205
p	p	0.204
ˈoː	ˈʏ	0.197
ˈɔː	-	0.189
ˈeː	ˈɛ	0.179
ˈə	ˈɘ̟_n	0.177
ˈɛ	ˈa	0.173
k	ç	0.173
s	s	0.17
ˈœ	ˈɑ	0.164
ɐ	r	0.163
ˈiː	ˈɑ	0.156
ˈʏ	ˈɑ	0.151
ˈʏ	ˈu	0.151
t	ʦ	0.144
ˈœ	ˈɘ̟	0.13
ˈeː	ˈa	0.121
ˈɛ	-	0.119
ˈeː	-	0.112
ˈiː	ˈi	0.109
ˈiː	ˈɑi̯	0.105
ˈiː	ˈei̯	0.105
ˈʊ	ˈʏ	0.098
ə	u	0.096
ˈœ	-	0.093
v	-	0.092
ˈɛ	ˈɑ	0.091
ˈɛ	ˈɛ	0.084
n	-	0.079
f	f_ˈi	0.071
ˈə	-	0.069
s	-	0.063
ˈɛ	ˈi	0.059
k	ʧ	0.056
ˈɛ	ˈei̯	0.055
ˈeː	ˈɪ	0.054
k	c	0.053
