North Frisian	American English	probability
b	b	1.0
dʲ	d	1.0
f	f	1.0
h	h	1.0
tʲ	ʔ	1.0
x	-	1.0
ɡ	ɡ	1.0
ˈai̯	ˈɪ	1.0
ˈɔ	ˈɔ	1.0
ˈɛ	ˈi	1.0
w	-	0.381
z	-	0.661
ˈa	d_#>	0.231
ˈi	ˈɪ	0.31
ˈɒ	ˈɑ	0.321
ˈɔu̯	ˈu	0.161
ˈʊ	ˈʊ	0.11
d	-	0.172
nʲ	n_d	0.52
r	-	0.072
r	ɚ	0.312
t	θ	0.212
ˈeː	ˈæ	0.052
ˈeː	ˈɑ	0.062
ˈiː	ˈoʊ̯	0.332
ˈyː	ˈaɪ̯	0.12
ˈøː	ˈʌ	0.512
ˈɒː	ˈeɪ̯	0.112
d	θ	0.073
j	-	0.773
l	-	0.053
lʲ	ɫ	0.3
t	ʔ	0.303
v	v	0.203
ˈaː	ˈɪ	0.123
ˈeː	ˈɛ	0.153
ˈiː	ˈɛ	0.053
ˈyː	ˈaʊ̯	0.543
ˈɒː	ˈɛ	0.43
ˈʊ	ˈɪ	0.223
ˈʏ	ˈɪ	0.343
i	i	0.834
n	n	0.894
s	s	0.884
t	tʰ	0.184
t	t	0.254
v	w	0.744
ŋ	ŋ	0.654
ˈi	ˈi	0.074
ˈuː	ˈi	0.934
ˈœ	ˈʌ	0.164
ˈɛː	ˈɛ	0.874
d	d	0.755
k	-	0.115
ə	-	0.795
ˈa	ˈɝ	0.105
ˈeː	ˈɪ	0.445
ˈɛi̯	ˈeɪ̯	0.085
ˈɛi̯	ˈi	0.915
i	-	0.166
k	kʰ	0.286
n	n_d	0.066
p	pʰ	0.126
p	p	0.86
ŋ	-	0.346
ˈuː	-	0.066
ˈɛː	ˈi	0.126
j	j	0.07
l	ɫ	0.947
lʲ	ɫ_d	0.7
r	ɹ	0.617
ʃ	ʃ	0.957
ˈa	ˈɪ	0.297
ˈaː	ˈʌ	0.877
ˈiː	ˈi	0.467
ˈyː	ˈɛ	0.257
ˈɔː	ˈeɪ̯	0.167
ˈɔː	ˈɛ	0.267
ˈɔː	ˈɑ	0.367
ˈʊ	ˈʌ	0.667
ˈʏ	ˈʌ	0.657
k	k	0.558
m	m	0.98
nʲ	n	0.48
ə	ə	0.158
ˈa	ˈʌ	0.138
ˈa	ˈɑ	0.228
ˈeː	ˈi	0.248
ˈi	ˈʌɪ̯	0.128
ˈi	ˈaɪ̯	0.488
ˈiː	ˈaɪ̯	0.148
ˈøː	ˈaʊ̯	0.488
ˈœ	ˈoʊ̯	0.088
ˈɒː	ˈæ	0.458
j	ˈɔ	0.119
w	ˈaɪ̯	0.619
z	<#_w	0.339
ˈyː	ˈoʊ̯	0.079
ˈœ	ˈʊ	0.169
ˈœ	ˈæ	0.579
ˈɒ	ˈæ	0.679
ˈɔu̯	ˈʌ	0.839
ˈɔː	ˈæ	0.199
