Sicilian	Galician	probability
a	ɐ	0.706
a	a	0.152
a	-	0.107
b	b	0.85
b	β	0.15
bː	β	1.0
c	ʧ	0.512
c	k	0.488
cː	ʎ	1.0
d	d	0.724
d	-	0.104
d	ð	0.068
d	t	0.056
dː	-	1.0
f	f	1.0
i	e	0.392
i	i	0.24
i	-	0.224
i	ˈi	0.061
i	ˈe	0.053
j	-	0.236
j	j	0.229
j	ʃ	0.17
j	d	0.168
j	ɾ	0.141
j	e	0.057
k	k	0.627
k	ɣ	0.321
k	-	0.053
kː	k	0.925
kː	-	0.075
l	l	0.812
l	-	0.178
lː	l	1.0
m	m	0.98
mː	m	1.0
n	n	0.441
n	-	0.266
n	ŋ	0.181
n	ɲ	0.112
nː	n	1.0
o	ɔ	0.762
o	o	0.238
p	p	0.699
p	β	0.279
r	ɾ	0.778
r	l	0.107
r	r	0.083
s	s	0.985
sː	s	0.764
sː	ʃ	0.146
sː	β	0.09
t	t	0.496
t	ð	0.465
tː	j	0.522
tː	t	0.385
tː	ð	0.092
u	o	0.845
u	u	0.086
u	i	0.068
v	b	0.509
v	β	0.399
v	v	0.059
w	w	0.593
w	o	0.148
w	ɣ	0.148
z	ɾ	0.493
z	ʃ	0.386
z	ʎ	0.121
ç	ʧ	0.925
ç	-	0.075
ŋ	ŋ	1.0
ɕ	θ	0.913
ɖː	l	0.948
ɖː	b	0.052
ɟː	ʎ	0.75
ɟː	β	0.25
ɡ	ɡ	0.553
ɡ	ɣ	0.447
ɪ	-	0.657
ɪ	ɪ	0.213
ɪ	ˈe	0.073
ɲ	ɲ	1.0
ɲː	ɲ	0.905
ɲː	n	0.095
ɽ	ɾ	0.927
ɽ	-	0.073
ɾ	ɾ	0.803
ɾ	-	0.144
ʃ	e_s	0.935
ʃ	s	0.065
ʃː	j_ʃ	0.449
ʃː	θ	0.418
ʃː	s	0.091
ʈ	ð	0.759
ʈ	t	0.241
ʈː	t	1.0
ʊ	ʊ	0.785
ʊ	-	0.131
ʊ	ɪ	0.074
ʐ	r	1.0
ʐː	r	1.0
ʤ	ʃ	0.668
ʤ	θ	0.257
ʤ	b	0.076
ʤː	-	1.0
ʦ	θ	0.892
ʦ	t	0.108
ʦː	θ	0.892
ʦː	s	0.082
ʧː	t	1.0
ˈa	ˈa	0.718
ˈa	ˈɑ	0.167
ˈa	ˈe	0.053
ˈe	ˈe	0.749
ˈe	ˈɛ	0.251
ˈi	ˈe	0.531
ˈi	ˈi	0.441
ˈo	ˈo	1.0
ˈu	ˈu	0.396
ˈu	ˈo	0.366
ˈu	ˈɔ	0.105
ˈu	u	0.06
ˈɔ	ˈo	0.491
ˈɔ	ˈɔ	0.416
ˈɔ	ɐ	0.061
ˈɛ	ˈɛ	0.555
ˈɛ	ˈe	0.361
