Aromanian	Ladin	probability
e	e	1.0
e̯a	-	1.0
f	f	1.0
z	ʒ	1.0
ç	f	1.0
ŋ	-	1.0
ɨ	-	1.0
ʎ	l	1.0
ʧ	-	1.0
d	d	0.801
i	-	0.311
j	-	0.261
k	p	0.11
n	n	0.761
w	f	0.911
ʤ	ʒ	0.831
ˈi	ˈe_j	0.061
ˈu	ˈu	0.281
b	-	0.22
i	a	0.202
m	-	0.2
m	m	0.782
n	ŋ	0.072
o̯ˈa	ˈo	0.672
p	f	0.122
s	s	0.752
u	ɲ	0.472
ɡ	-	0.412
ʃ	s	0.542
ˈe	ˈe	0.462
ˈi	-	0.092
ˈi	ˈe	0.172
ˈu	ˈo	0.362
ˈɨ	ˈa	0.942
a	-	0.3
d	-	0.173
e̯ˈa	ˈa	0.073
p	p	0.763
r	-	0.223
u	e	0.253
ə	-	0.13
ɲ	ɲ	0.293
b	ɡ	0.224
e̯ˈa	ˈe	0.464
j	j	0.264
l	w	0.064
v	-	0.134
ʦ	ʨ	0.314
ʦ	-	0.524
ˈi	ˈɛ	0.324
ˈo	ˈo	0.304
ˈo	ˈɔ	0.44
e̯ˈa	ˈe_j	0.215
i	j	0.175
j	v	0.475
t	-	0.265
u	o	0.275
ə	a	0.865
ʣ	d	0.465
b	b	0.556
i	e	0.216
k	ɡ	0.056
k	-	0.136
r	l	0.256
t	d	0.336
v	v	0.866
ʣ	-	0.106
ˈa	ˈɔ	0.06
ˈa	-	0.246
ˈa	ˈɛ	0.356
ˈu	ˈɔ	0.256
a	a	0.7
k	d	0.07
l	-	0.107
n	-	0.167
p	-	0.057
ɲ	m	0.707
ˈo	w_ˈɛ	0.257
k	k	0.338
o̯ˈa	ˈɔ	0.328
p	v	0.058
r	r	0.488
s	ʃ	0.248
ɡ	ɡ	0.588
ʃ	-	0.458
ʦ	ʧ	0.108
ˈe	ˈɛ	0.538
ˈɨ	ˈɛ	0.058
e̯ˈa	ˈɛ	0.249
i	d_e	0.09
k	ʨ	0.29
l	l	0.829
t	t	0.399
w	-	0.089
ʣ	ʒ	0.429
ʤ	-	0.169
ˈa	ˈa	0.269
ˈi	ˈi	0.339
