Bellunese	Aromanian	probability
a	ə	0.629
a	-	0.217
a	i	0.058
b	b	0.886
b	ɡ	0.112
d	d	0.51
d	t	0.235
d	ʣ	0.115
d	ʃ	0.07
d	ʦ	0.059
e	i	0.586
e	-	0.095
e	ə	0.07
e	e̯ˈa	0.065
e	t_i	0.058
f	f	0.474
f	ç	0.354
f	p	0.082
f	w	0.072
i	i	0.488
i	j	0.179
i	ˈi	0.179
i	e̯ˈa	0.056
j	l	0.359
j	ɡ_ʎ	0.175
j	ʎ	0.153
j	-	0.092
j	a	0.08
j	o̯ˈa	0.068
j	j	0.067
j_ˈe	ˈe	0.505
j_ˈe	ˈa	0.44
k	k	0.9
k	-	0.063
k_w	p	0.513
l	l	0.512
l	r	0.205
l	-	0.15
l	r_i	0.095
m	m	0.856
m	ɲ	0.133
n	n	0.971
o	u	0.522
o	-	0.207
o	w	0.066
o	i	0.065
p	p	0.699
p	k	0.161
p	ɲ	0.072
p	-	0.054
r	r	0.917
r	-	0.081
s	s	0.618
s	ʃ	0.23
s	ʦ	0.076
t	t	0.522
t	t_i	0.243
t	p_t	0.174
u	-	0.574
u	u	0.295
v	-	0.326
v	j	0.307
v	v	0.215
v	p	0.067
w	-	0.288
w	l	0.251
w	ʦ	0.148
w_a	ə	1.0
z	ʦ	0.47
z	-	0.157
z	ʃ	0.157
z	z	0.115
z	s	0.085
ð	ʣ	0.602
ð	ʤ	0.359
ŋ	n	0.589
ŋ	m	0.135
ŋ	-	0.097
ŋ	n_i	0.085
ŋ	ŋ	0.059
ɡ	k	0.532
ɡ	ɡ	0.163
ɡ	b	0.1
ɡ	ʤ	0.093
ɡ	-	0.078
ɡ_o	k	1.0
ɲ	ɲ	0.45
ɲ	ɨ	0.297
ɲ	n	0.19
ʤ	ɡ	0.135
ʧ	k_ʎ	1.0
ˈa	ˈa	0.669
ˈa	ˈɨ	0.182
ˈa	a	0.069
ˈe	e̯ˈa	0.446
ˈe	ˈi	0.311
ˈe	ˈe	0.125
ˈe	i	0.092
ˈi	ˈi	0.787
ˈi	ˈu	0.161
ˈi	ˈə	0.055
ˈi_v	ˈi	1.0
ˈo	ˈu	0.47
ˈo	ˈo	0.258
ˈo	o̯ˈa	0.188
ˈu	ˈu	0.759
ˈu	o̯ˈa	0.163
ˈu	ˈo	0.066
ˈɔ	ˈo	0.523
ˈɔ	o̯ˈa	0.177
ˈɔ	ˈu	0.154
ˈɔ	ˈa_v	0.117
ˈɛ	ˈe	0.435
ˈɛ	ˈa	0.18
ˈɛ	j	0.095
ˈɛ	-	0.081
ˈɛ	e̯ˈa	0.069
ˈɛ	ˈɨ	0.062
ˈɛ	ˈi	0.06
θ	ʦ	0.697
θ	ʧ	0.146
θ	k	0.084
θ	f	0.072
