Danish	Danish	probability
ˈʌˀ	-	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈø	1.0
ˈɑˀ	ˈa	1.0
ˈøː	-	1.0
ˈøˀ	-	1.0
ˈø	ˈɘ̟	1.0
ˈy	-	1.0
ˈuː	-	1.0
ˈoː	-	1.0
ˈo	-	1.0
ˈiˀ_#>	n_#>	1.0
ˈiˀ	ˈai̯	1.0
ˈi	ˈi	1.0
ˈeː	-	1.0
ʁ_ˈɛ	r_ˈɘ̟	1.0
ʁ_ˈɑ	r	1.0
ʁ	r	1.0
ə_n	ə_t	1.0
ɕ	-	1.0
ŋˀ	ŋ_ɡ̊	1.0
ŋ	ŋ	1.0
w_ə	n	1.0
w_#>	x_#>	1.0
s_#>	s_#>	1.0
n_ə	n	1.0
m	m	1.0
lˀ	w	1.0
kʰ	k	1.0
jˀ	-	1.0
h	h	1.0
f_ˈø	f	1.0
f	f	1.0
d̥_#>	ʦ_#>	1.0
b̥_#>	f_#>	1.0
<#_ˈɔ	<#	1.0
<#_ʁ	<#_r	1.0
<#_n	<#_n	1.0
s_ɡ̊	ʃ	0.889
ˈu	ˈu	0.818
l	w	0.808
b̥	b	0.765
ˈoˀ	ˈʏ	0.727
ˈuˀ	ˈɑi̯	0.667
ʋ	v	0.667
d̥	t	0.667
ˈɔˀ	ˈø	0.6
ˈœˀ	-	0.6
ˈyː	ˈi	0.6
ˈyˀ	-	0.6
ˈe	ˈɘ̟	0.6
ˈiː	-	0.571
n	n	0.565
nˀ	n	0.545
ˈæ	ˈɔ	0.533
ɡ̊	ɡ	0.526
ə	a	0.523
ð̞ˠ	s	0.522
ˈœ	ˈu	0.5
ˈœ	-	0.5
ʦʰ	ʦ	0.5
w	-	0.5
<#	<#_v	0.5
s	z	0.484
ˈæ	ˈɑ	0.467
ˈeˀ	ˈa	0.455
nˀ	n_d̥	0.455
ˈɛ	-	0.444
ˈɑ	-	0.444
ˈiː	ˈai̯	0.429
ˈɔˀ	-	0.4
ˈœˀ	ˈu	0.4
ˈyː	-	0.4
ˈyˀ	ˈɑi̯_ɛ	0.4
#>	r_#>	0.4
ɐ	ɛ	0.393
s	ʃ	0.387
ʦʰ	d	0.375
ˈeˀ	ˈɑ	0.364
ɐ	r	0.357
ð̞ˠ	t	0.348
ˈʌ	ˈɑ	0.333
ˈʌ	ˈu	0.333
ˈʌ	-	0.333
ˈɛ	ˈa	0.333
ˈɑ	ˈa	0.333
ˈuˀ	-	0.333
j	ˈɑ	0.333
ˈoˀ	-	0.273
ə	-	0.273
n	-	0.261
ɐ	-	0.25
w	v_ɛ	0.25
w	v	0.25
d̥	x_t	0.25
<#	<#_ˈɑ	0.25
<#	<#_h	0.25
ˈɛ	ˈɔ	0.222
ˈɑ	ˈɑ	0.222
ʋ	-	0.222
j	x	0.222
ɡ̊	k	0.211
ɡ̊	-	0.211
ˈe	ˈɛ	0.2
ˈe	-	0.2
l	l	0.192
ˈu	-	0.182
ˈeˀ	ˈei̯	0.182
n	n_d	0.174
j	ɡ̊	0.167
j	-	0.167
#>	d̥_#>	0.15
ð̞ˠ	-	0.13
s	s	0.129
ʦʰ	t	0.125
#>	n_#>	0.125
b̥	p	0.118
b̥	f	0.118
ʋ	v_ˈɘ̟	0.111
s_ɡ̊	ʧ	0.111
j	ç	0.111
#>	ɡ̊_#>	0.1
#>	ə_#>	0.1
d̥	ʦ	0.083
#>	f_#>	0.075
ə	ɡ̊	0.068
ə	ə	0.068
ɡ̊	c	0.053
