Pennsylvania German	Insular North Frisian	probability
ˈaɪ̯_ʦ	aɪ̯	1.0
ʃ_ʋ	s	1.0
ɣ	-	1.0
ŋ	ŋ	1.0
t	t	1.0
p	p	1.0
n_ə	nʲ	1.0
n_d̥	nʲ	1.0
m	m	1.0
l_d̥	lʲ	1.0
j	j	1.0
h	h	1.0
f_ə	p	1.0
eː	n	1.0
d_ə	ɾ	1.0
b	b	0.974
ʋ	v	0.874
l	l	0.872
ɡ	ɡ	0.861
n	n	0.84
f	f	0.834
ɑ	ɐ	0.81
ɾ	r	0.807
ʦ	tʰ	0.733
ʃ	s	0.72
x	x	0.617
ə	ə	0.606
ˈaʊ̯	ˈʏ	0.578
ç	k	0.561
ɪ	ɪ	0.556
d̥	t	0.556
k	kʰ	0.518
d	d	0.498
s	s	0.464
ˈɛ	ˈɛ	0.455
ɪ	-	0.444
d̥	ɾ	0.444
ˈɪ	ˈɪ	0.443
ˈɛː	ˈɛː	0.436
ˈaɪ̯	ˈɪ	0.434
ɡ̊	ç	0.433
ˈaː	-	0.42
ɡ̊	-	0.412
s	t	0.398
ˈiː	-	0.386
x	k	0.383
ˈɔ	ˈɔ	0.375
ˈɔ	-	0.375
ˈɔː	-	0.371
ˈɛ	-	0.358
ˈʊ	ˈʊ	0.338
ˈɛː	-	0.337
ˈiː	ˈɛ	0.331
ˈɔː	ˈoː	0.318
ˈoː	ˈɔa̯	0.317
ˈɔː	ˈɔː	0.311
ˈuː	ˈʊ	0.3
ˈuː	ˈɔ	0.3
ˈaː	r	0.299
ç	ç	0.298
ˈa	ˈa	0.287
ˈaː	ˈuː_ɐ	0.28
ʃ	s_k	0.28
ˈeː	-	0.272
ʦ	t	0.267
ˈɪ	ˈɛ	0.261
ə	-	0.259
ˈaʊ̯	-	0.255
ˈɔ	ˈʊ	0.25
ˈʊ	ˈœ	0.248
ˈoː	ˈuː	0.24
d	tʰ	0.232
ˈɛː	ˈaː	0.227
k	-	0.224
ˈaɪ̯	ˈiː	0.216
ˈuː	ˈœ	0.2
ˈuː	-	0.2
ˈeː	ˈiː	0.199
ˈoː	-	0.192
ɑ	ʁ̥	0.19
d	ɾ	0.19
ˈɛ	ˈeː	0.187
ˈʊ	ˈʏ	0.185
ˈa	ˈɔː	0.182
ˈeː	ˈeː	0.179
ˈeː	ˈɛ	0.178
ˈiː	ˈiː	0.177
k	k	0.174
ˈaʊ̯	ˈyː	0.167
f	p	0.166
ˈɪ	ˈʊ	0.16
n	-	0.16
ɡ̊	x	0.154
ç	ŋ	0.141
ɡ	-	0.139
ə	ə_n	0.135
ˈaɪ̯	ˈʏ	0.134
ɾ	ʁ̥	0.132
ˈaɪ̯	ˈyː	0.131
ˈa	ˈœ	0.128
ˈoː	ˈɔː	0.126
ˈoː	ˈeː	0.126
ˈa	ˈʊ	0.126
ˈiː	ˈeː	0.106
s	-	0.098
ˈɪ	-	0.095
ˈeː	ˈiː_n	0.09
l	l_ə	0.088
ˈʊ	ˈɔ	0.087
ˈʊ	ˈoː	0.087
ˈa	-	0.087
ˈaɪ̯	ˈɛ	0.084
k	ç	0.084
ˈeː	ˈaɪ̯	0.081
ʋ	-	0.075
ˈa	ˈɔa̯	0.063
ˈa	ˈuː_ɐ	0.063
ˈa	ˈuː	0.063
ɾ	-	0.06
d	t	0.056
ˈʊ	-	0.054
ʋ	v_ˈeː	0.051
