Kashubian	Ukrainian	probability
e	i	1.0
m	m	1.0
r	r	1.0
u	-	1.0
u̯ɛ	ɔ	1.0
x	x	1.0
ŋ	-	1.0
ɔ	ɔ	1.0
ə	ˈɪ	1.0
ɲ	nʲ	1.0
ʂ	r	1.0
ʒ	ʒ	1.0
ʣ	d	1.0
ʤ	ɦ	1.0
ˈi	ˈɪ	1.0
ˈõ	ˈu	1.0
ˈə	ˈɪ	1.0
a	ɐ	0.351
d	-	0.11
i	ˈɪ_j	0.31
n	n_e	0.391
ɛ	ɛ	0.921
ʐ	rʲ	0.261
ʦ	t_e	0.341
ʧ	ʧ	0.501
i	j	0.252
l	ɫ	0.422
p	b	0.312
s	s	0.72
t	t	0.822
ɡ	ɦ	0.942
ʦ	ʦ	0.062
ʦ	t	0.172
ˈe	ˈi	0.612
b	bʲ	0.313
k	kʲ	0.083
s	<#_i	0.063
w	ɫ	0.803
z	z	0.803
ˈa	ɐ	0.103
ˈa	ˈɑ	0.553
ˈɛ	ˈɛ	0.33
n	nʲ	0.14
v	ʋ	0.954
ʃ	ʒ	0.264
ˈɔ	ˈi	0.454
f	-	0.5
f	w	0.5
j	j	0.885
k	ɦ	0.15
ʦ	tʲ	0.295
ˈa	ˈi	0.345
ˈɞ	ɐ	0.25
ˈɞ	ˈɔ	0.325
k	k	0.696
u̯ˈɛ	ˈɔ	0.166
u̯ˈɛ	ˈi	0.226
ʃ	ʃ	0.736
ˈɛ	ˈɔ	0.246
ˈɞ	i	0.286
b	b	0.687
j	ʋʲ	0.077
k	k_ɔ	0.07
s	sʲ	0.217
w	ɔ_ɫ	0.197
z	zʲ	0.197
ˈu	ˈi	0.957
ˈɛ	ˈɑ	0.057
ˈɛ	ˈi	0.367
i	e_j	0.438
l	lʲ	0.578
p	p	0.688
t	d	0.178
ɡ	-	0.058
ˈe	ˈɛ	0.388
ˈɔ	ˈɔ	0.108
ˈɔ	ɔ	0.438
a	ˈɑ	0.649
d	d	0.89
n	n	0.469
u̯ˈɛ	ɔ	0.609
ɛ	ˈi	0.079
ʐ	-	0.739
ʦ	ʦʲ	0.129
ʧ	k	0.499
ˈɞ	ˈɑ	0.139
