Zeelandic	Zeelandic	probability
ˈɒː	ˈɑ	1.0
ˈɑu̯_d̥	ˈaː_l	1.0
ˈɑu̯	l	1.0
ˈɑ_x	ˈaː_χ	1.0
ˈæi̯	ˈeː	1.0
ˈu	-	1.0
ˈoː	-	1.0
ˈiːə̯	ˈi	1.0
ˈeː_t	s	1.0
ɾ_ə	ɐ	1.0
ɫ	l	1.0
ɪ	-	1.0
ə_ɾ	ɐ	1.0
ə_n_#>	#>	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
x_ə	k	1.0
w	-	1.0
s_x	ʃ	1.0
s_#>	ʃ_#>	1.0
s	ʃ	1.0
n_ə	ŋ	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
k_ə	χ	1.0
k_#>	#>	1.0
j	j	1.0
iː	e	1.0
i	ə	1.0
d_ˈɔ	d	1.0
b	b	1.0
<#_ˈʊə̯	<#_h_ˈɜɪ̯	1.0
<#_ɾ	<#_ʀ	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#	<#_h	1.0
n	n	0.949
d	d	0.917
d̥	d̥	0.84
ŋ	ŋ	0.818
z	z	0.81
v	f	0.8
ʋ	v	0.696
ˈuː	-	0.667
x_#>	ɕ_#>	0.667
ˈiː	ˈɜɪ̯	0.625
v̥	v̥	0.625
ˈɪə̯	ˈeː	0.583
p	f	0.538
ˈɔ	ˈo	0.526
ˈʏ	-	0.5
ˈøː	ˈu	0.5
ˈøː	-	0.5
ˈi	ˈæːɪ̯	0.5
ˈeː	ˈiə̯	0.5
ˈeː	-	0.5
ˈæ	-	0.467
x	ɡ	0.458
ˈɛː	ˈoː	0.45
ə	-	0.446
t	t	0.444
ˈʊə̯	ˈaː	0.438
k	ɕ	0.438
ˈɑ	ˈaː	0.429
ˈɪə̯	-	0.417
ˈyː	ˈæːʊ̯	0.417
ˈɪ	ˈɑ	0.389
ə	ə_n	0.385
ˈʊə̯	ˈəʊ̯	0.375
v̥	ə_f	0.375
ˈɔ	-	0.368
t	s	0.361
ɾ	ʀ	0.357
ɾ	ɐ	0.357
ˈɪ	ˈə	0.333
ˈɑ	ˈɑ	0.333
ˈyː	ˈɑʊ̯	0.333
ˈuː	ˈu	0.333
x_#>	#>	0.333
x	-	0.333
k	k	0.312
p	p	0.308
ʋ	w	0.304
ˈʏ	ˈuː	0.25
ˈʏ	ˈo	0.25
ˈyː	-	0.25
ˈiː	ˈɑɪ̯	0.25
ˈi	ˈɑ	0.214
ˈɛː	ˈaː	0.2
ˈæ	ˈɛ	0.2
ˈæ	ˈə	0.2
v	v	0.2
t	ʦ	0.194
z	ʃ	0.19
ˈʊə̯	-	0.188
ŋ	-	0.182
ˈɪ	-	0.167
d̥	t	0.16
p	pʰ	0.154
ˈɛː	ˈɜɪ̯	0.15
ˈɑ	-	0.143
ˈi	ˈe	0.143
ˈi	-	0.143
ə	ə	0.138
ˈæ	ˈiː	0.133
ˈiː	-	0.125
x	ɕ	0.125
k	χ	0.125
k	ɡ̊	0.125
ɾ	-	0.119
ˈɪ	ˈe	0.111
ˈɔ	ˈɔ	0.105
ˈɛː	ˈɛː	0.1
ˈɛː	ˈəʊ̯	0.1
ˈɑ	ˈæ	0.095
x	ˈuə̯_ɕ	0.083
d	-	0.083
ɾ	ˈiː_ɐ	0.071
n	ŋ	0.051
