Middle High German	Westphalian	probability
ˈɛ_r	ˈɛː	1.0
ˈɛ_h	ˈaɪ̯	1.0
ˈɑː	ˈɔː	1.0
ˈøy̯	-	1.0
ˈæː	ˈaɪ̯	1.0
ˈyə̯	ˈøː	1.0
ˈu_r	ˈuːə̯	1.0
ˈoː	ˈaʊ̯	1.0
ˈou̯	ˈaʊ̯	1.0
ˈiə̯_r	ˈiː_ɐ	1.0
ˈiə̯	ˈaɪ̯	1.0
ˈeː	-	1.0
ʦ	t	1.0
ʃː	ʃ	1.0
ʃ_t	ʃ_t	1.0
ʃ	ʃ	1.0
ɡ̊	ç	1.0
ɡ_ə	ɡ	1.0
ɛ	aɪ̯	1.0
ə_r	ɐ	1.0
ɑ	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː_ə	k	1.0
xː	k	1.0
x	-	1.0
v	f	1.0
tː	d	1.0
s̻ː_ə	t	1.0
s̻ː	t	1.0
s̻_ə	t	1.0
s̻	t	1.0
s_ə	z	1.0
rː	ˈyː	1.0
r_ˈi	r_ˈɪ	1.0
r_ə	ɐ	1.0
p͡f	p	1.0
p	ʃ_p	1.0
oː	-	1.0
nː	n	1.0
n_t	n	1.0
n_d	n	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kː_ə	k	1.0
kː	-	1.0
kʰ	k	1.0
k_ə	k	1.0
k	k	1.0
j	j	1.0
i	ɪ	1.0
fː	p	1.0
f_ə	p	1.0
d̥	d̥	1.0
b_ə	v	1.0
b	b	0.882
d	d	0.864
ˈuə̯	ˈoː	0.82
ˈei̯	ˈeː	0.817
s	s	0.815
h	h	0.812
ˈi	ˈɪ	0.773
ˈiː	ˈiː	0.765
ˈu	ˈʊ	0.734
ɡ	x	0.731
w	v	0.671
ˈuː	ˈuː	0.657
ˈe	ˈɛ	0.64
ˈɛ	ˈɪɛ̯	0.637
ə	-	0.632
ˈo	-	0.61
ˈɑ	ˈa	0.608
x_t	ç	0.585
b̥	ʋ	0.57
ˈyː	-	0.548
t	d̥	0.523
f	p	0.521
f	-	0.479
ˈyː	ˈyː	0.452
b̥	v̥	0.43
x_t	x_t	0.415
r	ɐ	0.413
ˈy	-	0.399
ˈy	ˈʏ	0.382
ˈe	ˈiɛ̯	0.36
ˈuː	ˈʊ	0.343
r	r	0.339
t	t	0.303
ˈo	ˈʊ	0.27
ɡ	ŋ	0.269
ə	ə	0.265
w	ʋ	0.255
r	-	0.249
ˈɛ	ˈɛ	0.242
h	-	0.188
s	z	0.185
ˈei̯	-	0.183
ˈuə̯	-	0.18
t	d	0.174
ˈi	-	0.171
ˈy	ˈyə̯	0.153
ˈu	ˈuːə̯	0.152
d	-	0.136
ˈɑ	ˈaː	0.133
ˈɛ	-	0.121
ˈo	ˈɔ	0.119
ˈiː	ˈɪ	0.118
ˈiː	-	0.118
b	v	0.118
ˈu	-	0.114
w	-	0.074
ˈɑ	ˈɔː	0.071
ˈɑ	-	0.071
ˈɑ	ˈɛ	0.068
ˈy	ˈyːœ̯	0.065
ˈi	ˈɪə̯	0.056
ˈɑ	ˈɔ	0.05
ə	k	0.05
