Proto-Slavic	Slovenian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʎ	l	1.0
ɨ̌	ìː	1.0
ɨ̂ː	íː	1.0
ɡ_ŭ	k	1.0
ɡ	ɡ	1.0
ɛ̌	ɛ	1.0
ɛ̂ː	éː	1.0
ɛː	èː	1.0
z	z	1.0
x	x	1.0
v	ʋ	1.0
ŭ̂	-	1.0
ŭ_#>	#>	1.0
t_o	t_ɔ	1.0
t_ĭ_#>	t_#>	1.0
t	t	1.0
s_ŭ_#>	s_#>	1.0
s	s	1.0
r_ŭ	ə_r	1.0
r	r	1.0
p	p	1.0
ôː_l	l_áː	1.0
ôː	óː	1.0
ô	óː	1.0
oˀ_r	r_àː	1.0
o_#>	óː_#>	1.0
n	n	1.0
m_ĭ	ə_m	1.0
m	m	1.0
l_ŭ	w	1.0
k_t	ʧ	1.0
k	k	1.0
ǐ	ìː	1.0
ĭ̌	ə́	1.0
ĭ̂	ɔ́ː	1.0
ĭˀ	ɔ́ː	1.0
ĭ_#>	#>	1.0
i	i	1.0
d_ŭ	t	1.0
d_l	l	1.0
d	d	1.0
b_ŭ_#>	p_#>	1.0
b	b	1.0
ǎ	a	1.0
aˀ	àː	1.0
a	a	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_ô	<#_o	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#	<#_j	1.0
ẽ	éː	0.6
ê	e	0.6
o	ɔ̀ː	0.556
l	l	0.526
ɛˀ	éː	0.5
ɛˀ	èː	0.5
ǒ	òː	0.5
o	ɔ	0.444
ŭ	-	0.429
ẽ	ɛ̀ː	0.4
ê	éː	0.4
e	ɛ̀ː	0.385
ĭ	ə́	0.333
ĭ	ə	0.333
ĭ	-	0.333
e	ɛ	0.308
ŭ	ʋ	0.286
ŭ	w	0.286
ǒ	ɔ́	0.25
ǒ	ɔ	0.25
l	w	0.211
l	èː	0.158
e	j_ɛ	0.154
e	éː	0.154
l	ə	0.105
