Lower Sorbian	Upper Sorbian	probability
a	a	1.0
b	b	1.0
bʲ	bʲ	1.0
d	d	1.0
e	ɛ	1.0
i	i	1.0
j	j	1.0
kʲ	kʲ	1.0
l	l	1.0
m	m	1.0
mʲ	mʲ	1.0
n	n	1.0
p	p	1.0
pʲ	pʲ	1.0
r	ʀ	1.0
rʲ	ʀʲ	1.0
s	s	1.0
t	t	1.0
v	β	1.0
vʲ	ɥ	1.0
w	w	1.0
z	z	1.0
ɔ	ɔ	1.0
ɡ	ɦ	1.0
ɲ	ɲ	1.0
ʐ	ʒ	1.0
ʑ	ʤ	1.0
ʨ	ʧ	1.0
ˈi	ˈi	1.0
ˈu	ˈu	1.0
ˈɨ	ˈɪ	1.0
ɕ	ʃ	0.122
x	x	0.193
ɛ	ˈɛ	0.683
ʦ	ʧ	0.673
ˈa	ˈe	0.213
k	k	0.834
ɕ	ʧ	0.834
ʂ	ʀ	0.854
ˈa	ˈa	0.54
ˈe	ˈɛ	0.604
ˈɔ	ˈo	0.314
ˈɛ	ˈɛ	0.104
ɨ	ɪ	0.815
k	x	0.166
ʂ	ʃ	0.146
ˈe	ˈe	0.396
ˈɔ	ˈɔ	0.686
x	xʲ	0.807
ɛ	ɛ	0.317
ɨ	i	0.147
ʦ	ʦ	0.327
ˈa	ˈɔ	0.247
ˈɛ	ˈo	0.127
ˈɪ	ˈe	0.778
ˈɛ	ˈɔ	0.769
ˈɪ	ˈa	0.189
