Min Bei	Min Bei	probability
⁵⁵	⁴⁵	1.0
⁵⁴	¹¹	1.0
ɥ_ŋ	ŋ	1.0
ɔ_ŋ	ɒ̃	1.0
ŋ_⁵⁴	¹¹	1.0
ŋ_³³	¹¹	1.0
ŋ_²¹	¹¹	1.0
u_j	æ̃	1.0
tʰ	tʰ͡x	1.0
pʰ	-	1.0
m	m	1.0
l	l	1.0
j_u	ə_w	1.0
i_ŋ	j_e	1.0
e	ə_w	1.0
a_j	ə̃	1.0
a	a	1.0
<#_ŋ	<#	1.0
<#_x	<#	1.0
ŋ	ŋ	0.92
ʦʰ	ʦʰ	0.8
ʦ	ʦ	0.75
²⁴	ʔ_²	0.75
kʰ	kʰ͡x	0.75
<#	<#_x	0.75
³³	¹¹	0.741
n	n	0.714
e_j	ĩ	0.714
²¹	⁵³	0.697
w	w	0.667
a_ŋ	æ̃	0.667
x	x	0.625
s	s	0.615
j_a	j_a	0.6
i	z̩	0.6
⁴²	ʔ_²	0.571
ɛ	ə_ʔ	0.5
ɛ	a_j	0.5
o	w_ɤ	0.5
o	w	0.5
k	ʨ	0.5
p	p	0.455
t	t	0.444
⁴²	⁴⁵	0.429
œ	ỹ	0.429
u	ə	0.4
j_a	ĩ	0.4
i	i	0.4
s	ɕ	0.385
ɔ	ũ	0.375
x	f	0.375
j	j	0.364
j	e	0.364
y	ɥ	0.333
t	ʦ	0.333
k	k	0.333
a_ŋ	ɒ̃	0.333
u	ə_w	0.3
u	u	0.3
œ	ə	0.286
œ	ũ	0.286
n	ʐ	0.286
e_j	ə̃	0.286
p	pʰ͡x	0.273
p	f	0.273
j	-	0.273
³³	⁴⁵	0.259
ʦ	ʨʰ	0.25
ɔ	ə̃	0.25
²⁴	²	0.25
kʰ	ʨʰ	0.25
<#	<#_v	0.25
²¹	¹¹	0.242
y	y	0.238
t	ʦʰ	0.222
ʦʰ	ʨʰ	0.2
w	v	0.2
y	w_ə	0.19
k	ʨʰ	0.167
y	w	0.143
w	-	0.133
ɔ	ɒ̃	0.125
ɔ	w_a	0.125
ɔ	-	0.125
y	-	0.095
ŋ	-	0.08
²¹	ɻ_¹¹	0.061
