Mainland North Frisian	Mainland North Frisian	probability
ˈʊ_n	ɑi̯	1.0
ˈʊ_m	mː	1.0
ˈʊ_l	ˈu_lː	1.0
ˈɔ_j	jː	1.0
ˈɔ	ˈu	1.0
ˈɒː_d	ˈɑ_t	1.0
ˈœi̯	-	1.0
ˈu	-	1.0
ˈaː	-	1.0
ʃ	s_k	1.0
ʀ_n	r_n	1.0
ɡ	ɣ	1.0
ɛi̯	e_x	1.0
ə_v̥	β_ɑ	1.0
ə_l	l_ɑ	1.0
ç	ɣ	1.0
z̥	n_θ	1.0
x	x	1.0
w	ɣ	1.0
v̥	β_ɑ	1.0
v_ə	i	1.0
p	p	1.0
n_#>	ɸ_#>	1.0
m	m	1.0
k_ˈaː	kʷ	1.0
j_ˈa	ˈe	1.0
i	-	1.0
h	x	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_v	<#_xʷ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
s	s	0.96
ʀ	r	0.952
f	ɸ	0.917
t	t	0.889
l	l	0.848
k	k	0.824
ˈɒ	ˈɑ	0.818
ʀ_#>	r_#>	0.818
ˈɔu̯	-	0.75
ˈɒː	ˈɑ	0.75
v	w	0.72
lʲ	l	0.714
nʲ	n	0.667
d	d	0.636
z	s	0.6
ˈyː	ˈɑu̯	0.556
tʲ	t	0.545
ˈuː	ˈɑu̯	0.538
j	ɣ	0.538
ə	ɑ_n	0.531
n	n	0.514
ˈʏ	ˈuː	0.5
ˈɛː	ˈe	0.5
ˈɛi̯	ˈɛː	0.5
ˈœː	ˈuː	0.5
ˈœː	-	0.5
ˈeː	ˈɑ	0.5
ˈai̯	ˈi	0.5
ˈai̯	j	0.5
ə_ʀ	r	0.5
dʲ	ð_ɑ	0.5
<#_t	<#_θ	0.5
<#_t	<#_t	0.5
ˈɔː	ˈu	0.455
ˈɛ	ˈɔː	0.444
ˈyː	-	0.444
d̥	ð	0.444
ˈi	ˈiː	0.429
ˈi	ˈi	0.429
#>	ɑ̃_#>	0.421
z	t	0.4
ˈa	ˈi	0.389
ŋ	ɡ	0.385
ŋ	ŋ_ɡ	0.385
ˈiː	ˈɑi̯	0.37
ˈɔː	ˈɑ	0.364
ˈʊ	ˈu	0.333
ˈɛ	-	0.333
ˈœ	ˈɔː	0.333
ˈiː	ˈeu̯	0.333
nʲ	d	0.333
d̥	-	0.333
ˈʏ	ˈu	0.312
ˈuː	ˈɑ	0.308
<#	<#_x	0.308
<#	<#_w	0.308
#>	ɑ_z_#>	0.289
lʲ	l_d	0.286
ˈa	ˈɑ	0.278
tʲ	t_s	0.273
d	θ	0.273
ˈɛː	ˈɑ	0.25
ˈɛː	-	0.25
ˈɛi̯	ˈɔː	0.25
ˈɛi̯	ˈɑ	0.25
ˈɔu̯	ˈɛː	0.25
ˈɒː	-	0.25
ə_ʀ	r_ɑ	0.25
ə_ʀ	r_u	0.25
dʲ	θ	0.25
dʲ	ð	0.25
#>	z_#>	0.242
ŋ	ŋ	0.231
<#	<#_ˈɑ	0.231
ˈɛ	ˈi	0.222
ˈœ	ˈu	0.222
d̥	ð_i	0.222
n	n_d	0.216
ˈeː	ˈu	0.214
ˈeː	ˈe	0.214
ˈʏ	-	0.188
ˈɔː	ˈe	0.182
ˈɒ	-	0.182
ʀ_#>	#>	0.182
tʲ	θ	0.182
ˈʊ	ˈu_ŋ	0.167
ˈʊ	-	0.167
ˈœ	ˈɑ	0.167
ˈœ	-	0.167
ˈa	ˈu	0.167
n	nː	0.162
v	β	0.16
ˈuː	-	0.154
j	ˈeu̯	0.154
j	ˈe	0.154
j	-	0.154
<#	<#_l	0.154
ˈi	-	0.143
ə	ɔːː	0.125
v	w_ˈi	0.12
k	-	0.118
ˈʊ	ˈɑ_ŋ	0.111
ˈʊ	ˈɑ	0.111
ˈʊ	ˈe	0.111
ˈœ	ˈɑ_n	0.111
ˈiː	ˈɑu̯	0.111
ˈiː	ˈɑi̯_w	0.111
ˈa	-	0.111
l	ɑ_l	0.091
d	ɣ_j	0.091
f	-	0.083
ˈiː	ˈe_xʷ	0.074
ˈeː	ˈeː	0.071
ə	ɛː	0.062
ə	ɔː	0.062
ə	ɑ	0.062
ə	u	0.062
l	l_ɑ	0.061
k	kː	0.059
ˈa	ˈĩː	0.056
t	tː	0.056
t	-	0.056
n	x_n	0.054
n	u_n	0.054
