Old Frisian	Dutch	probability
ˈa_l	ˈɑu̯	1.0
ʦ	k	1.0
ʣ	χ	1.0
ɣ	χ	1.0
ɡː	χ	1.0
ə_x	ə_χ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	d	1.0
x	χ	1.0
w	ʋ	1.0
tː	t	1.0
t	t	1.0
s_w	z	1.0
r_x	ɾ_χ	1.0
r_t	ɾ_t	1.0
r_d	ɾ_d̥	1.0
pː	p	1.0
p	p	1.0
nː	n	1.0
n_t	n_t	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	ɫ	1.0
l	ɫ	1.0
kː	-	1.0
j_ə	ə_n	1.0
iː	i	1.0
i	ɪ	1.0
h_ˈa	ɦ_ˈaː	1.0
h	ɦ	1.0
dː	d	1.0
bː	b	1.0
b	b	1.0
a	ə	1.0
k	k	0.953
r	ɾ	0.909
ˈi̯aː	ˈi	0.892
ˈa	ˈɑ	0.87
ˈiː	ˈɛi̯	0.797
ˈoː	ˈu	0.786
ˈi	ˈɪ	0.74
ˈo	ˈɔ	0.728
f	v	0.723
ˈuː	ˈœy̯	0.719
z	z̥	0.709
ˈaː	ˈoː	0.703
e	ə	0.703
θ	d	0.686
ˈu	ˈɔ	0.638
v	v	0.629
ˈɛː	ˈeː	0.622
s_k	s_χ	0.612
ˈeː	ˈaː	0.579
d	d	0.565
s	z	0.556
j	χ	0.455
ə	-	0.444
s	s	0.444
ˈi̯uː	-	0.405
ˈɔː	ˈoː	0.403
ˈe	ˈɛ	0.399
d	d̥	0.397
s_k	s	0.388
ˈi̯uː	ˈyː	0.38
ˈɔː	ˈɑ	0.373
v	v̥	0.371
θ	d̥	0.314
ə	ə	0.313
e	-	0.297
z	-	0.291
f	v̥	0.277
ˈo	ˈoː	0.272
ə	ə_n	0.243
ˈɛː	ˈoː	0.233
ˈɔː	ˈaː	0.224
j	-	0.217
ˈi̯uː	ˈeː	0.215
ˈoː	ˈɑ_n	0.214
ˈeː	ˈu	0.21
ˈu	ˈoː	0.191
ˈaː	ˈeː	0.191
ˈe	ˈɑ	0.189
ˈe	ˈeː	0.186
ˈu	-	0.171
j	j	0.169
j	χ_ə	0.159
ˈuː	-	0.155
ˈɛː	ˈɛi̯	0.145
ˈuː	ˈɔ_n	0.126
ˈi	ˈɛ	0.12
ˈi̯aː	-	0.108
ˈaː	ˈaː	0.106
ˈiː	ˈi	0.103
ˈiː	-	0.101
ˈi	ˈeː	0.095
ˈeː	ˈi	0.088
ˈa	ˈaː	0.088
ˈe	ˈʏ	0.085
ˈe	ˈaː	0.082
ˈeː	-	0.075
ˈe	-	0.057
