Proto-Germanic	Proto-Germanic	probability
θ_r	ɾ	1.0
β_ɑ	ʋ	1.0
ˈɛː	ˈoː	1.0
ˈɔː_ð	ˈuː	1.0
ˈɑː	ˈoː	1.0
ˈɑu̯_ð	ˈøː	1.0
ˈɑu̯	ˈøː	1.0
ˈɑi̯_w	ˈøː	1.0
ˈɑ_ŋ	ˈɑ	1.0
ˈɑ_ð	ˈɑː	1.0
ˈɑ_x	ˈoː	1.0
ˈɑ_t	ˈɑ	1.0
ˈɑ_m	ˈɑ	1.0
ˈuː	ˈʉː	1.0
ˈu_ŋ	ˈʉ	1.0
ˈu_kː	ˈʏ	1.0
ˈĩː	ˈɛ	1.0
ˈiː	ˈiː	1.0
ˈiu̯	ˈyː	1.0
ˈi_ŋ	ˈɪ	1.0
ˈeː	ˈæː	1.0
ˈe_ɣ	ˈæɪ̯	1.0
ˈe_w	ˈeː	1.0
ɸ_#>	#>	1.0
ɣ_ɑ	ɡ	1.0
ɣ_j	ɡː	1.0
ɡʷ	ˈʏ	1.0
ɡ_ɑ_z_#>	#>	1.0
ɡ	ŋː	1.0
ɔ̃ː	ə	1.0
ɔːu̯	-	1.0
ɑ̃_#>	#>	1.0
ɑː_n	ə	1.0
ɑ_z_#>	#>	1.0
ɑ_n	ə	1.0
ŋ_k	kː	1.0
z_#>	#>	1.0
wː	-	1.0
tː	-	1.0
t_ɑ	t	1.0
t_s	t	1.0
s_k	ʂ	1.0
s_#>	#>	1.0
r_ˈɑu̯	ɾ_ˈœ	1.0
r_ˈi	ɾ_ˈɛ	1.0
r_ɑ	ɾ	1.0
r_u	ə_ɾ	1.0
r_t	ʈː	1.0
r_n	ɳ	1.0
r_i	ɾ	1.0
pː	-	1.0
p_ɑ	p	1.0
p	p	1.0
nː	nː	1.0
n_θ	nː	1.0
n_ɑ	n	1.0
n_d	nː	1.0
mː	mː	1.0
lː	lː	1.0
l_θ	lː	1.0
l_β	lː	1.0
l_d	lː	1.0
kʷ_ɑ	k	1.0
kʷ	kʰ	1.0
k_ɑ	k	1.0
k_s	k	1.0
k_i	k	1.0
jː	ɡː	1.0
j	-	1.0
iː	-	1.0
e	ə	1.0
d	d	1.0
b	b	1.0
a	ɪ	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ˈu	<#_ˈɔ	1.0
<#_ˈe	<#_j	1.0
<#_x	<#	1.0
<#_t	<#_tʰ	1.0
<#_p	<#_pʰ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
#>	ə_#>	1.0
r	ɾ	0.959
s	s	0.914
ɸ	f	0.913
l	l	0.906
u	-	0.882
ɔːː	ə	0.846
ɔː	-	0.846
i	-	0.846
ˈeu̯	ˈyː	0.833
m	m	0.808
ð	-	0.75
x_t	tː	0.714
x	h	0.704
t	t	0.68
θ	tʰ	0.636
n	n	0.633
ˈɔː	ˈuː	0.625
w	-	0.625
ˈi	ˈɪ	0.619
β	-	0.6
ɛː	-	0.6
ŋ	-	0.6
xʷ	ʋ	0.6
<#_w	<#_ʋ	0.6
ɣ	ɡ	0.571
ɑ	-	0.55
n_ɑ̃_#>	#>	0.545
z	ɾ	0.5
z	-	0.5
k	k	0.5
n_ɑ̃_#>	ə_#>	0.455
ˈɑi̯	ˈæɪ̯	0.438
β	ʋ	0.4
ɛː	ə	0.4
ŋ	ŋː	0.4
xʷ	-	0.4
<#_w	<#	0.4
w	ʋ	0.375
θ	-	0.364
ˈɑ	ˈɑ	0.359
ˈe	-	0.346
ˈɑi̯	ˈɛ	0.312
ˈu	ˈʉ	0.308
ɑ	ə	0.3
x_t	k_t	0.286
k	ç	0.286
ˈe	ˈɛ	0.269
ˈɑ	ˈɑː	0.256
ˈɔː	ˈøː	0.25
ð	d	0.25
t	tː	0.24
ɣ	-	0.238
k	-	0.214
ˈɑ	ˈɛ	0.205
m	mː	0.192
ˈi	ˈiː	0.19
ˈi	-	0.19
ɣ	j	0.19
x	-	0.185
ˈeu̯	ˈʉː	0.167
ˈu	ˈʏ	0.154
ˈu	ˈœ	0.154
ˈe	ˈæː	0.154
ɔːː	-	0.154
ɔː	ə	0.154
i	ə	0.154
ɑ	ʋ	0.15
n	nː	0.133
n	-	0.133
ˈu	ˈuː	0.128
ˈɔː	ˈœ	0.125
ˈɑi̯	ˈeː	0.125
ˈɑi̯	-	0.125
u	ə	0.118
x	j	0.111
ˈu	-	0.103
n	ˈiː	0.1
l	lː	0.094
ɸ	-	0.087
t	ʈ	0.08
ˈɑ	ˈɔ	0.077
ˈu	ˈʊ	0.077
ˈu	ˈɔ	0.077
ˈe	ˈɔ	0.077
ˈe	ˈeː	0.077
ˈe	j	0.077
s	ʂ	0.052
ˈɑ	ˈoː	0.051
ˈɑ	-	0.051
